Page ID,Page Name,Disclaimer,Amount Spent (PLN)
111123892282533,Wydawnictwo Insignis,Wydawnictwo Insignis,10026
109793703689436,Prawdziwa Polska,Prawdziwa Polska,9991
8340223883,Avaaz,Avaaz,9955
114453729684,gazetaprawna.pl,gazetaprawna.pl,9796
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,9790
732473396814232,Columbus Energy,These ads ran without a disclaimer,9701
1945383395767575,Włodzimierz Cimoszewicz,KKW Koalicja Europejska PO PSL SLD .N Zieloni,9680
262228993842853,Lidl Polska,Lidl Polska,9657
104330734389743,Wolnorynkowy.pl,Willa Anielin,9593
295161506338,AKADEMIA PRZYSZŁOŚCI,AKADEMIA PRZYSZŁOŚCI,9442
15087023444,Nike,These ads ran without a disclaimer,9415
481798668902322,Fundacja Dobroczynna Serce Anioła,Fundacja Dobroczynna Serce Anioła,9336
229797220398331,Kampania Przeciw Homofobii,Kampania Przeciw Homofobii,9303
1252581054798999,Cezary Andrzej Jurkiewicz,Komitet Wyborczy Prawo i Sprawiedliwość,8924
163488137165461,innogy Polska,Innogy Poland,8777
1613320612064848,Dedoles.pl,These ads ran without a disclaimer,8721
105503962819832,Bank Żywności SOS w Warszawie,Bank Żywności SOS Warszawa,8705
209963076513421,Niepodległa. Miejsce spotkań,Niepodległa,8270
405326618416,Parlament Europejski - Biuro w Polsce,Parlament Europejski - Biuro w Polsce,8157
103189994608689,20stopnidlaklimatu.pl,Konceptlab,8153
150412465290475,Kamila Gasiuk-Pihowicz,Koalicyjny Komitet Wyborczy Koalicja Obywatelska PO .N IPL ZIELONI,8150
110109212411292,VELUX,VELUX,8104
513969188677442,Compassion Polska,Compassion Polska,8093
105670971142883,Dresler Consulting - wspieramy rozwój biznesu,Marek Watoła,7900
176114889652,Kancelaria Premiera,These ads ran without a disclaimer,7848
2106489523012864,Anna-Maria Żukowska,KW Sojusz Lewicy Demokratycznej,7648
503202659703049,Centrum UNEP/GRID-Warszawa,Centrum UNEP/GRID-Warszawa przy użyciu kuponów reklamowych Facebooka,7573
317722036029,K MAG,K MAG,7560
257593184447834,Władysław Kosiniak-Kamysz,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Władysława Kosiniaka-Kamysza,7505
