Page ID,Page Name,Disclaimer,Amount Spent (PLN)
110109212411292,VELUX,VELUX,7053
230754547069436,Michał Woś,These ads ran without a disclaimer,6988
1633295256959238,Wojciech Nitwinko,KW Sojusz Lewicy Demokratycznej,6638
15087023444,Nike,These ads ran without a disclaimer,6407
425196744741236,Lepiej bez smogu,Isover,6363
146655395680362,Grzegorz Tobiszowski,KW Prawo i Sprawiedliwość,6299
314225156073572,Zdzisław Wolski,KW Sojusz Lewicy Demokratycznej,6237
257593184447834,Władysław Kosiniak-Kamysz,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Władysława Kosiniaka-Kamysza,6229
267695190536620,Jerzy Polaczek,Komitet Wyborczy Prawo i Sprawiedliwość,6178
103189994608689,20stopnidlaklimatu.pl,Konceptlab,6099
250387950908,Tygodnik Solidarność,Tygodnik Solidarność,6096
1613320612064848,Dedoles.pl,These ads ran without a disclaimer,6065
173086948664,Infor.pl,Infor.pl,5899
405326618416,Parlament Europejski - Biuro w Polsce,Parlament Europejski - Biuro w Polsce,5795
261234447384286,Nabici we Franki,These ads ran without a disclaimer,5745
732473396814232,Columbus Energy,These ads ran without a disclaimer,5664
176114889652,Kancelaria Premiera,These ads ran without a disclaimer,5628
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,5612
185801044849040,Amazon Fulfillment Jobs,These ads ran without a disclaimer,5547
392825617399575,wGospodarce.pl,wGospodarce.pl,5505
114453729684,gazetaprawna.pl,gazetaprawna.pl,5478
104884392877324,Alivia - Fundacja Onkologiczna,These ads ran without a disclaimer,5456
255100403945,Polityka,Polityka,5285
150873051654314,Mirosława Nykiel Posłanka na Sejm RP,KKW Koalicja Europejska Platforma PSL SLD .N Zieloni,5251
798249970192065,Edukacja dla Dobrego Klimatu,Pracownia na rzecz Wszystkich Istot,5225
1496105257172584,"Ministerstwo Rozwoju, Pracy i Technologii","Ministerstwo Rozwoju, Pracy i Technologii",5149
196722357090264,Polskie Stowarzyszenie Energetyki Wiatrowej - PSEW,Polskie Stowarzyszenie Energetyki Wiatrowej,5109
503202659703049,Centrum UNEP/GRID-Warszawa,Centrum UNEP/GRID-Warszawa przy użyciu kuponów reklamowych Facebooka,5073
513969188677442,Compassion Polska,Compassion Polska,5015
105670971142883,Dresler Consulting - wspieramy rozwój biznesu,Marek Watoła,5010
1389430631355482,Dobromir Sośnierz,KWW KONFEDERACJA KORWIN BRAUN LIROY NARODOWCY,4988
145405785523396,Sage,These ads ran without a disclaimer,4981
229797220398331,Kampania Przeciw Homofobii,Kampania Przeciw Homofobii,4931
141833139301,Krzysztof Bosak,KW Kandydata na Prezydenta Rzeczypospolitej Polskiej Krzysztofa Bosaka,4867
999568213449974,"Niezależni PV - Fotowoltaika dla domu, firmy i rolnictwa",Łukasz Zbigniew Czerwiński,4831
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,4795
2039652406129097,Lekko. PL,Lekko.,4770
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro - Prawo do Życia,4734
380485532115847,Ministerstwo Rodziny i Polityki Społecznej,Ministerstwo Rodziny i Polityki Społecznej,4708
2223341244574915,Wioletta Koper-Staszowska,Komitet Wyborczy Prawo i Sprawiedliwość,4698
447190942074880,Polskie Stowarzyszenie Obrońców Życia Człowieka,Polskie Stowarzyszenie Obrońców Życia Człowieka,4653
295161506338,AKADEMIA PRZYSZŁOŚCI,AKADEMIA PRZYSZŁOŚCI,4644
153098244704447,Jan Olbrycht,Jan Olbrycht,4463
111123892282533,Wydawnictwo Insignis,Wydawnictwo Insignis,4446
934929276593605,Jerzy Janoska - Radny MiG Ogrodzieniec,KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,4366
100276381956414,ESPC,These ads ran without a disclaimer,4314
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,4297
100560075131498,Arrena.pl,ARRENA.PL,4273
1491476861156693,Marie Zélie,These ads ran without a disclaimer,4257
1646484855624337,KATO WIDZ,These ads ran without a disclaimer,4251
213911122748997,Goodvalley,These ads ran without a disclaimer,4188
118309719575561,Coway Polska,Coway Polska,4167
49490583862,Cropp,These ads ran without a disclaimer,4159
1576591379231457,Paweł Kobyliński - Poseł na Sejm RP VIII kadencji,KKW Koalicja Obywatelska PO .N iPL Zieloni,4102
1181684038602267,Niepodległa,Niepodległa,4060
107898832590939,European Commission,These ads ran without a disclaimer,4026
