Page ID,Page Name,Disclaimer,Amount Spent (PLN)
481798668902322,Fundacja Dobroczynna Serce Anioła,Fundacja Dobroczynna Serce Anioła,5520
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,5431
552661358110680,Krzysztof Kubów Sekretarz Stanu KPRM,Komitet Wyborczy Prawo i Sprawiedliwość,5426
102931488739,Platforma Obywatelska,KKW Koalicja Obywatelska PO .N iPL Zielon,5405
1586727111625119,Agnieszka Dziemianowicz-Bąk,KW Sojusz Lewicy Demokratycznej,5189
2120416424876335,Grzegorz Macko - radny Sejmiku Województwa Dolnośląskiego,Takie Studio,5139
2039652406129097,Lekko. PL,Lekko.,5091
141366725876424,European Greens,European Greens,5075
109793703689436,Prawdziwa Polska,Prawdziwa Polska,4994
106552182752379,Fortum Polska,Fortum Polska,4951
105573710832960,Edyta Płaneta-Siewierska,KW Sojusz Lewicy Demokratycznej,4923
174480419336,Wyborcza.pl Wrocław,Wyborcza.pl Wrocław,4856
573994789747274,Janka Ochojska,KKW Koalicja Europejska PO PSL SLD .N Zieloni,4811
198092287759134,Wrocławskie Fakty,Wrocławskie Fakty,4796
176114889652,Kancelaria Premiera,These ads ran without a disclaimer,4776
110109212411292,VELUX,VELUX,4765
888587617855300,Elżbieta Stępień,KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI,4748
104330734389743,Wolnorynkowy.pl,Willa Anielin,4648
173086948664,Infor.pl,Infor.pl,4638
104884392877324,Alivia - Fundacja Onkologiczna,These ads ran without a disclaimer,4636
966671346710115,Agnieszka Soin - Poseł na Sejm RP,Mieczyslaw Jan Maj,4634
414910312613849,Miedziowe Fakty,Miedziowe Fakty,4599
1624944414400266,Gmina Siechnice,Łukasz Jaworski,4538
1613320612064848,Dedoles.pl,These ads ran without a disclaimer,4537
1231484993545202,Foton Technik,These ads ran without a disclaimer,4528
145405785523396,Sage,These ads ran without a disclaimer,4278
250387950908,Tygodnik Solidarność,Tygodnik Solidarność,4233
700965633372134,Bogdan Zdrojewski,KKW Koalicja Obywatelska PO .N IPL Zieloni,4206
103189994608689,20stopnidlaklimatu.pl,Konceptlab,4199
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,4189
1716935421867788,Michał Górski,KKW Koalicja Obywatelska PO .N i PL Zieloni,4099
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,4083
255100403945,Polityka,Polityka,4082
105670971142883,Dresler Consulting - wspieramy rozwój biznesu,Marek Watoła,4060
257593184447834,Władysław Kosiniak-Kamysz,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Władysława Kosiniaka-Kamysza,4052
1550061501790606,Andrzej Kisielewicz,KW Prawo i Sprawiedliwość,4028
295161506338,AKADEMIA PRZYSZŁOŚCI,AKADEMIA PRZYSZŁOŚCI,4006
8340223883,Avaaz,Avaaz,4004
1454333274894957,Małgorzata Tracz,KKW Koalicja Obywatelska PO .N IPL Zieloni,3983
141661125895236,Związek Gmin Zagłębia Miedziowego,Związek Gmin Zagłębia Miedziowego,3977
259598664192802,Sudeckie Fakty,Sudeckie Fakty,3943
2253756708241979,Dariusz Stasiak - Radny Województwa Dolnośląskiego,Fundacja Bezpartyjni i Samorządowcy,3935
261838328008541,Marek Obrębalski - Wiceprzewodniczący Sejmiku Województwa Dolnośląskiego,Fundacja Bezpartyjni i Samorządowcy,3920
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro - Prawo do Życia,3916
1496105257172584,"Ministerstwo Rozwoju, Pracy i Technologii","Ministerstwo Rozwoju, Pracy i Technologii",3898
513969188677442,Compassion Polska,Compassion Polska,3895
370290913095405,Aldona Młyńczak Poseł na Sejm RP,KKW Koalicja Obywatelska PO .N iPL Zieloni,3874
1491476861156693,Marie Zélie,These ads ran without a disclaimer,3868
460729608076509,Trip Energy,Paweł Mikołaj Szczepaniak,3848
325513294882569,Patryk Wild Radny Sejmiku,Fundacja Bezpartyjni i Samorządowcy,3840
503202659703049,Centrum UNEP/GRID-Warszawa,Centrum UNEP/GRID-Warszawa przy użyciu kuponów reklamowych Facebooka,3796
297394714392739,Robert Maślak,Robert Maślak,3795
107898832590939,European Commission,These ads ran without a disclaimer,3786
114453729684,gazetaprawna.pl,gazetaprawna.pl,3715
229797220398331,Kampania Przeciw Homofobii,Kampania Przeciw Homofobii,3694
420227048536701,Małgorzata Sekuła - Szmajdzińska,Katarzyna Kijakowska,3607
392825617399575,wGospodarce.pl,wGospodarce.pl,3567
942132265820280,Krzysztof Tuduj - Poseł na Sejm RP,KW Konfederacja Wolność i Niepodległość,3551
1480269672246339,Piotr Jan Dytko,Komitet Wyborczy Prawo i Sprawiedliwość,3523
196722357090264,Polskie Stowarzyszenie Energetyki Wiatrowej - PSEW,Polskie Stowarzyszenie Energetyki Wiatrowej,3522
405326618416,Parlament Europejski - Biuro w Polsce,Parlament Europejski - Biuro w Polsce,3484
373903230004337,30. ROK WOLNOŚCI,These ads ran without a disclaimer,3458
111123892282533,Wydawnictwo Insignis,Wydawnictwo Insignis,3458
380485532115847,Ministerstwo Rodziny i Polityki Społecznej,Ministerstwo Rodziny i Polityki Społecznej,3451
171114382968728,Anna Zalewska,Grupa EKR - Anna Zalewska MEP,3431
425196744741236,Lepiej bez smogu,Isover,3407
1716935421867788,Michał Górski,These ads ran without a disclaimer,3374
430323810469014,Razem,"KKW Lewica Razem - Razem, Unia Pracy, RSS",3346
1077045142306060,Grzegorz Schetyna,Platforma Obywatelska RP,3307
100560075131498,Arrena.pl,ARRENA.PL,3264
447190942074880,Polskie Stowarzyszenie Obrońców Życia Człowieka,Polskie Stowarzyszenie Obrońców Życia Człowieka,3184
3116013818724635,Koalicja Obywatelska Dolny Śląsk,KKW Koalicja Europejska PO PSL SLD .N Zieloni,3157
39589683944,U.S. Embassy Warsaw,U.S. Embassy Warsaw,3154
139576942808077,Telewizja Dami Region,Slawomir Tomasz Zieba,3101
1181684038602267,Niepodległa,Niepodległa,3068
144808095552639,ING Polska,ING Polska,3053
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,3008
103864847663095,Waldek Olik - Wrocław,KW Sojusz Lewicy Demokratycznej,3000
383296170843,Puls Biznesu,Puls Biznesu,2986
49490583862,Cropp,These ads ran without a disclaimer,2952
798249970192065,Edukacja dla Dobrego Klimatu,Pracownia na rzecz Wszystkich Istot,2947
397133490487852,Dawid Bagiński,These ads ran without a disclaimer,2938
118890385502947,"Sprawdź, kto oferuje Ci prąd i gaz",Clickad Interactive,2878
297394714392739,Robert Maślak,KW Sojusz Lewicy Demokratycznej,2800
403820169762537,Renergy - odnawialna energia słoneczna,Krzysztof Rodak,2782
324265621300613,Paweł Wybierała - Członek Zarządu Województwa Dolnośląskiego,"Takie Studio",2702
250008548428800,PanPablo.pl,PanPablo.pl,2697
157255317751718,Kancelaria Mentzen,Kancelaria Mentzen,2696
305975952942673,Marcin Krzyżanowski - Wicemarszałek Województwa Dolnośląskiego,Takie Studio,2696
158877910847285,Andrzej Buła,KKW Koalicja Europejska PO PSL SLD .N Zieloni,2660
260807840628894,Agencja Rozwoju Przemysłu S.A.,Agencja Rozwoju Przemysłu S.A.,2620
213911122748997,Goodvalley,These ads ran without a disclaimer,2587
219506175065988,Wypożyczalnia Samochodów Wojtałowicz,These ads ran without a disclaimer,2574
1476482495991048,Agnieszka Ścigaj - Poseł na Sejm RP,Komitet Wyborczy Wyborców KUKIZ15,2548
342536459089859,Beata Kempa,KW Prawo i Sprawiedliwość,2485
107365260996577,Gmina Miasto Boguszów-Gorce,Maciej Paweł Czajka,2464
1782125158778273,WASTA - Odnawialne Źródła Energii,These ads ran without a disclaimer,2463
118055394941878,ABB,OS3 sp. z o.o.,2436
141833139301,Krzysztof Bosak,KW Kandydata na Prezydenta Rzeczypospolitej Polskiej Krzysztofa Bosaka,2434
127619873953536,Stefczyk.info,Stefczyk.info,2424
207653439276138,Fundusze Europejskie dla Dolnego Śląska,Fundusze Europejskie dla Dolnego Śląska,2411
342956762998558,KlimatAlert,Wojciech Makowski,2402
467533997081719,Kamil Zieliński,Kamil Krzysztof Zieliński,2390
373330199849811,Murapol- Najlepsze miejsca na świecie,Murapol,2357
729627343834501,Kialo,These ads ran without a disclaimer,2349
1502386149877674,Tomasz Kulczyński,Tomasz Kulczyński,2340
221077284662,Kwartalnik Przekrój,Fundacja Przekrój,2326
111291566899523,Artur Adamski,Mieczyslaw Jan Maj,2302
959387840744974,Bezpartyjni Samorządowcy,Komitet Wyborczy Wyborców Koalicja Bezpartyjni i Samorządowcy,2300
