Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
133681223330258,"No volveré a comer pulpo, si España gana el Mundial!",These ads ran without a disclaimer,16560,13
149453872358870,Jéssica Albiach Satorres,En Comú Podem,15051,133
676028735740716,Rexona,Rexona,14948,16
356491188244058,La Política Online ES,La Política Online,14752,895
276999106249,Asociación Española Contra el Cáncer,These ads ran without a disclaimer,13975,13
161616883888862,Parlamento Europeo - Oficina en España,Parlamento Europeo - Oficina en España,13909,174
310081965717560,PSOE de Castilla-La Mancha,PSOE de Castilla-La Mancha,13758,216
128341470548824,BNG - Bloque Nacionalista Galego,Bloque Nacionalista Galego,13681,481
307355087798,Joan Laporta,These ads ran without a disclaimer,13634,12
115481008480109,LG Global,Good Rebels,13633,18
2420487738043690,Energie-solaire.io,These ads ran without a disclaimer,13463,4
115046403227198,Más País,Más País,13324,52
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,13221,13
57973661707,WWF España,These ads ran without a disclaimer,13201,102
2380293252013134,Carlos Carrizosa Torres,Ciudadanos,13000,19
120222944745734,Nestlé,Nestlé (ES),12836,13
636317853521657,Tonic App,These ads ran without a disclaimer,12714,13
183202371808498,EH Bildu,EH Bildu,12521,251
115046403227198,Más País,Más País - Equo,12174,52
148269501881188,Plataforma per la Llengua,Plataforma per la Llengua,12110,91
1425684341065612,Manuela Carmena,Más País - Equo,11666,10
366619768708,Plan International España,Jose Manuel Bran Garcia,11629,71
306840072990831,Socios Cruz Roja,These ads ran without a disclaimer,11572,91
116952045157,Cruz Roja Española,Jose Manuel Bran Garcia,11062,147
131231529742,Fundación Anesvad,Miren Ferreras,10895,132
113760931412,Acción contra el Hambre España,These ads ran without a disclaimer,10593,176
792238440859918,Podem,Unides Podem-Esquerra Unida,10285,30
183718528322316,MÉS per Mallorca,MÉS per Mallorca,10270,103
170970449608409,PSOE Aragón,PSOE Aragón,10200,7754
205610086124991,Emakunde,These ads ran without a disclaimer,9966,188
824110414271095,Lain Garcia Calvo,These ads ran without a disclaimer,9964,29
229579770543482,Arroz Nomen,Arroz Nomen,9951,157
604479052919754,Diputación de Alicante,Diputación de Alicante,9949,23
586540488142205,Ingredientes que Suman,These ads ran without a disclaimer,9829,45
216290708406257,Alianza por la Solidaridad,Alianza por la Solidaridad,9789,83
284024768327720,Frigo,Frigo,9662,12
116136108464509,CaixaBank,CaixaBank,9599,63
141366725876424,European Greens,European Greens,9567,15
135747903142262,Populares de Valencia,These ads ran without a disclaimer,9522,18
683481128368110,Íñigo Errejón,Más País,9505,23
467127060059387,VOX España,Vox,9474,106
