Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,15328,16
270788920480,Europees Parlement Nederland,Europees Parlement Nederland,15326,157
100428112069846,Psst,Stichting Psst,15000,12
147006749798,Ben & Jerry's,Unilever Nederland B.V.,14924,16
105516159523693,Wilde Ganzen,These ads ran without a disclaimer,14889,59
103244341131787,GO Realisme & Daadkracht,GO,14606,31
200254747130034,Patagonia,Patagonia,14554,36
263935850440177,Vandebron,These ads ran without a disclaimer,14527,9
200969413280005,Shell,These ads ran without a disclaimer,14328,21
112246298811452,Jonge Socialisten in de PvdA,Jonge Socialisten in de PvdA,14316,190
379837259062033,Thierry Baudet,Thierry Baudet,14257,11
150580708294362,AD.nl,AD.nl,14095,24
288700097949818,Mijn Stem,Citisens,13997,57
107898832590939,European Commission,European Commission,13839,199
428670174395114,Vattenfall Nederland,These ads ran without a disclaimer,13788,8
102099948102088,Maskr,Maskr,13599,889
113072077160368,Consuwise,consuwise.nl,13513,175
156571571036057,Natuur & Milieu,Natuur & Milieu,13107,57
105516159523693,Wilde Ganzen,Wilde Ganzen,13041,115
347623668624706,50PLUSpartij,ZH i.o.v. 50PLUS,13022,86
104937521634354,Watmagnu,"Ministerie van Volksgezondheid, Welzijn en Sport",12761,31
1853495178284518,MBRC,These ads ran without a disclaimer,12556,46
124282324250399,Klaas Dijkhoff,VVD,12555,182
212529958771436,VELUX,VELUX,11962,15
118754531489898,Artsen zonder Grenzen,Artsen zonder Grenzen Nederland,11891,83
222002188405093,Silvio Erkens,Silvio Erkens,11631,135
38957713985,VPRO,VPRO,11563,149
104392777921014,WorldWatchers_Nederland,These ads ran without a disclaimer,11354,139
114824741963035,Kom over en help,St. Kom over en help,11304,458
578319302259182,ENGIE Energie Nederland,These ads ran without a disclaimer,10877,4
141366725876424,European Greens,European Greens,10691,17
1586038428202115,Siriz,Stichting Siriz,10586,19
57729029960,Amnesty International Nederland,These ads ran without a disclaimer,10444,62
194170320600024,"Ministerie van Volksgezondheid, Welzijn en Sport",These ads ran without a disclaimer,10055,7
104392777921014,WorldWatchers_Nederland,WorldWatchers,10051,105
823537391322678,Henk Jan Ormel,CDA,9986,28
268288036539711,HospitaalBroeders,HospitaalBroeders,9973,110
280888908702707,Stichting leerKRACHT,Stichting leerKRACHT,9966,59
132272050127848,de Volkskrant,de Volkskrant,9663,7
133720236695807,Werken voor Nederland,Werken voor Nederland,9653,34
100112178513271,CASsummit2021,These ads ran without a disclaimer,9577,17
122620689140585,Ongehoord Nederland,Ongehoord Nederland,9520,79
130133230331245,Wereld Natuur Fonds - WWF,These ads ran without a disclaimer,9412,43
102689673106543,Belvilla,These ads ran without a disclaimer,9281,16
167638236597192,EenVandaag,EenVandaag,9189,109
122498317789637,Libelle,DPG Media,9182,20
969158383214898,Wybren van Haga,Van Haga,9177,16
164448196903465,Simavi,Simavi,8888,67
128869313810652,Eerlijke Geldwijzer,Eerlijke Geldwijzer,8864,700
106535794288642,Skyworld in your hands,These ads ran without a disclaimer,8859,3
447218628670592,UNHCR Nederland,Sasha Lukasik,8773,37
126052760507,Mama Cash,Mama Cash,8756,635
112530232090434,NPO,NPO,8727,5
198486356863605,Longfonds,Longfonds,8713,111
147006749798,Ben & Jerry's,These ads ran without a disclaimer,8635,12
291034160913952,Gemeente 's-Hertogenbosch,Gemeente 's-Hertogenbosch,8378,138
404247949634770,CARE Nederland,CARE Nederland,8325,159
110540418715,VIER VOETERS,These ads ran without a disclaimer,8282,166
433611050005553,SGP,SGP,8170,56
359516964092417,This is The Hague,This is The Hague,8100,10
93325661430,Joods Cultureel Kwartier,Joods Cultureel Kwartier,8071,167
166171703430115,Argos,Argos,7822,144
210064882534707,KNCV Tuberculosefonds,KNCV Tuberculosefonds,7801,43
268776409835328,GSA Netwerk,COC Nederland,7748,40
187867417914875,Greenchoice,These ads ran without a disclaimer,7710,31
1705660683039799,Raymond Knops,CDA,7626,16
497854107276090,Solease Zonnepanelen,These ads ran without a disclaimer,7584,1
413281425545742,PitPoint NL,These ads ran without a disclaimer,7583,60
825800654145354,Martijn van Helvert,CDA,7510,19
333939901218,Het Parool,Het Parool,7494,13
109781030519393,Pensioenverlies,Bee Interactive,7288,77
34880713930,ACN - Kerk in Nood,Kerk in Nood Nederland,7251,61
183747651651348,Hivos,Hivos,7239,47
464562260997665,NOW,Joey Spreeuwenberg,7233,72
455793745240639,Go. Green. Easy,Rabobank,7227,17
145580068834607,Veteranendag,Veteranendag,7154,102
192692240869852,Groasis,Groasis,7144,350
984274581639504,Algemene Onderwijsbond,Algemene Onderwijsbond,7138,7
783282565123892,Cultuur onder Vuur,Stichting Civitas Christiana,7134,92
200567513290560,Postcode Loterij,Unicef Nederland,7014,8
105339817717917,Gezin in Gevaar,Stichting Civitas Christiana,6943,40
1714641885505076,Zootje Geregeld,Milieu Centraal,6861,143
512252945544565,asr,These ads ran without a disclaimer,6827,6
115077391879906,"Ministerie van Onderwijs, Cultuur en Wetenschap","Ministerie van Onderwijs, Cultuur en Wetenschap",6815,86
596966847464585,HappySoaps,These ads ran without a disclaimer,6752,73
234057736713747,Tubantia,Tubantia,6744,9
287380574636835,De Stentor,DPG Media,6730,12
164165566951558,Brabants Dagblad,Brabants Dagblad,6685,8
196908516995945,Volvo Car Nederland,Volvo Car Nederland,6678,6
181375052003138,Blendle,These ads ran without a disclaimer,6631,47
189236901116604,easyJet,These ads ran without a disclaimer,6612,4
229810283742087,BN DeStem,DPG Media,6552,7
147710335240518,Eindhovens Dagblad,DPG Media,6509,7
159156314210762,Nationaal Comité 4 en 5 mei,These ads ran without a disclaimer,6499,12
159449970751999,Save the Children Nederland,These ads ran without a disclaimer,6462,161
1438054859744079,NIDA,NIDA,6415,47
580705665372664,De Nederlandse Kluis,These ads ran without a disclaimer,6389,17
208578955894331,Bas Eickhout,GroenLinks,6343,45
338722872830080,NTR,NTR,6282,30
232299273461028,Gemeente Utrecht,Gemeente Utrecht,6265,71
125628694126042,De Gelderlander,DPG Media,6253,5
100720453432485,PZC,DPG Media,6252,5
384101518433208,Waterklaar,InovaMedia B.V.,5976,34
111472788936772,Naturalis,Naturalis Biodiversity Center,5958,15
339053470139582,Watt Nou,Frisse Blikken,5956,50
200256353823316,Cycle for Plan,These ads ran without a disclaimer,5864,29
120034538112114,Stichting Vluchteling,These ads ran without a disclaimer,5862,17
478022368897483,The Ocean Cleanup,The Ocean Cleanup,5816,133
436101979807727,Pointer (KRO-NCRV),De Monitor KRO-NCRV,5789,236
171982746553130,iCompario,These ads ran without a disclaimer,5753,1
403772503084759,Rijksdienst voor Ondernemend Nederland - RVO,Rijksdienst voor Ondernemend Nederland - RVO,5640,43
120802704732060,Elsa Rozendal,Elsa Rozendal,5599,169
218119402341534,Shampoo Bars Nederland,These ads ran without a disclaimer,5456,3
353021651500970,Nestlé,Nestlé,5421,8
165625476919894,CNV Vakmensen,CNV Vakmensen,5411,8
105023282868133,Simyo,Simyo,5400,10
1380397158956994,Stichting Bootvluchteling,Stichting Bootvluchteling,5362,55
222029491143966,Free Press Unlimited,Free Press Unlimited,5347,13
193307084068597,WNL,WNL,5297,2
206592029351928,ABN AMRO,These ads ran without a disclaimer,5175,11
105061501209763,Gekleurdemondkapjes.nl,Gekleurde Mondkapjes,5174,100
100455310014019,Solidaridad,Solidaridad,5160,21
120235394673887,Tijdschrift,These ads ran without a disclaimer,5102,63
196118303833398,NRC,NRC,5093,45
196678880377286,International Justice Mission,International Justice Mission,5079,542
111834750560059,NLBeter,Nederland Beter,5036,75
1501788100127143,Jonge Klimaatbeweging,Jonge Klimaatbeweging,5020,63
436101979807727,Pointer (KRO-NCRV),These ads ran without a disclaimer,5009,112
201751609836046,Dokters van de Wereld (NL),These ads ran without a disclaimer,4977,27
190673534300937,Expat Republic,These ads ran without a disclaimer,4953,32
103219178489070,Klimaatalarm,WeDigital,4927,46
115027651906533,Wakker Dier,Stichting Wakker Dier,4906,10
347623668624706,50PLUSpartij,Zoekhelden B.V.,4902,25
1041897309271361,Thierry Aartsen,Thierry Aartsen,4896,17
135642563196256,"CDJA, CDA-jongeren",CDJA,4873,31
117977750048740,KUMUN,KUMUN,4805,92
609816282477420,Forum voor Democratie -FVD,These ads ran without a disclaimer,4787,16
371014006815988,Unilever Benelux,Unilever,4786,151
499125670146491,Augeo,Augeo Foundation,4778,99
235995615357,NTR Wetenschap,NTR,4770,20
245644432148792,ING Nederland,These ads ran without a disclaimer,4722,5
288658201253571,GGD Noord- en Oost-Gelderland,GGD Noord- en Oost-Gelderland,4666,85
250905165324207,Erasmus MC Foundation,Stichting Erasmus MC Foundation,4665,19
28312410177,World Food Programme,These ads ran without a disclaimer,4504,29
221292842061953,Love my country,These ads ran without a disclaimer,4495,1096
