Page ID,Page Name,Disclaimer,Amount Spent (HUF)
102142801159959,Szabó András,These ads ran without a disclaimer,39880
856433318046663,Tekauer Norbert önkormányzati képviselő - VÉD egyesület,Tekauer Norbert,39879
1855311791415561,Nurofen Magyarország,These ads ran without a disclaimer,39523
107898832590939,European Commission,These ads ran without a disclaimer,38434
76945222898,Startlap,Centrál Médiacsoport,38430
555868611244245,Dr. Márton Roland,These ads ran without a disclaimer,38316
160102384102712,Szél Bernadett,Szél Bernadett,38169
781030738624077,Gyöngyösi Márton,Jobbik Magyarországért Mozgalom,38160
108988690853942,Kásler Miklós,Kásler Miklós,38011
113375923695023,Fidesz Budapest,Fidesz Budapest,37996
578879042488646,Ercsi Falanszter,Fischer Ádám,37713
191946490841225,Dúró Dóra,These ads ran without a disclaimer,35729
102596577758857,Új Polgármestert Kulcsnak,These ads ran without a disclaimer,35427
342603152912176,Mujkó intelmei,These ads ran without a disclaimer,35147
281145782594238,Fehérvári Polgári Közélet,These ads ran without a disclaimer,35027
1429914920563493,Nunkovics Tibor,Országgyűlés Hivatala Jobbik Frakció,34884
132720449036,Magyar Kerékpárosklub,Magyar Kerékpárosklub,34790
781943918834238,Utazási Központ,These ads ran without a disclaimer,34763
123565977690316,Együtt Balatonfűzfőért,Pintér András,34114
129382163754757,Jobbik Ifjúsági Tagozat,Jobbik Magyarországért Mozgalom,33876
109117190565423,Számok - a baloldali álhírek ellenszere,Számok - a baloldali álhírek ellenszere,33178
134984140045777,Stummer János,Országgyűlés Hivatala Jobbik Frakció,32809
237088069704442,Ádám Kósa MEP,"Adam Kosa, Member of the European Parliament",32225
126893087354793,Európai Parlament,Európai Parlament Tájékoztatási Irodája,32137
1084749598210454,Dr. Szabó Tünde,Dr. Szabó Tünde,31860
206160682739388,Harrach Péter,Harrach Péter,31760
1122781531137859,Ellenszél,Ellenszél,31566
200748583613469,Mi Hazánk Mór és Környéke,Schmidt Roland,31309
164978027477602,József Felföldi,József Felföldi,31214
362277097183663,VELUX,VELUX,31206
1433332953628843,"Debreceni Állatkert, Növénykert és Vidámpark","Debreceni Állatkert, Növénykert és Vidámpark",31126
243470906428319,Juhász Hajnalka,Juhász Hajnalka,30751
128573907819549,Fekete-Győr András,Momentum Mozgalom,30598
100103228401991,Axióma,Axióma Kulturális Alapítvány,30493
129382163754757,Jobbik Ifjúsági Tagozat,Országgyűlés Hivatala Jobbik Frakció,30371
620030171664750,Mi Hazánk Mozgalom,These ads ran without a disclaimer,30340
103024827750491,Mi Várunk,Országgyűlés Hivatala Jobbik Frakció,29352
422399638586608,Indítsuk Be Magyarországot Alapítvány,Indítsuk Be Magyarországot Alapítvány,29004
1461534750733248,Schmuck Erzsébet,Zöld Baranya Kft._,28329
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,28200
111858283936607,Igaz Hang,József Felföldi,27816
104337347681259,4trees,4trees,27661
183174515027839,Szilágyi György,Országgyűlés Hivatala Jobbik Frakció,27506
162344823835042,atlatszo.hu,atlatszo.hu,27433
