Page ID,Page Name,Disclaimer,Amount Spent (HUF)
108061120908329,EzaLényeg.hu - Dél-Pest megye,EzaLényeg.hu,230602
893102994164960,Hohn Krisztina,Zöld_Baranya_Kft_Ügynökség,228861
193338710873126,Horinka László,Horinka László,226369
977398622334966,Aliatic,These ads ran without a disclaimer,219369
478437308977740,MSZP Nagykőrös,László Ferenc,217710
856433318046663,Tekauer Norbert önkormányzati képviselő - VÉD egyesület,Tekauer Norbert,216948
106332960773994,Kék Bolygó Alapítvány,Kék Bolygó Klímavédelmi Alapítvány,215628
306318386058001,Dr. Molnár Csaba,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,212248
829440097414740,Szabó József,Szabó József polgármester,212201
322489177926734,Verseghi-Nagy Miklós,Fidesz Szentendre,210000
246722998817639,Rónai Sándor,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,208699
246722998817639,Rónai Sándor,Rónai Sándor,207272
1622954144645540,Századvég Gazdaságkutató,Századvég Gazdaságkutató,207072
2243241552431889,Kolozs Csaba képviselő,Kolozs Csaba,205540
1588782514740130,Grundfos Magyarország,Grundfos Magyarország,205082
525574220799452,Alfahír,Alfahír Hírportál,198398
599485673455396,Magyar Éremkibocsátó Kft.,Magyar Éremkibocsátó Kft.,196190
100268121697631,EzaLényeg.hu - Ferihegy,EzaLényeg.hu,195566
191461774219575,hirado.hu,hirado.hu,194565
1461534750733248,Schmuck Erzsébet,LMP - Lehet Más a Politika,183657
897497500592621,Gyuricza László polgármester,Gyuricza László Róbert,183598
110950560288891,A Hely az Érték Városvédő Egyesület,Bajkó Norbert,181365
268042136672212,Századvég,Századvég Politikai Iskola Alapítvány,179497
545872002109034,Matkovich Ilona,Matkovich Ilona Zsuzsanna,177998
587249854964760,Sipos Dávid - Dunakeszi alpolgármestere,These ads ran without a disclaimer,176590
152408681635243,Hírklikk.hu,Hírklikk.hu,175685
2243241552431889,Kolozs Csaba képviselő,Bartók Marcell,174933
35634348348,Greenpeace Magyarország,These ads ran without a disclaimer,174417
829440097414740,Szabó József,These ads ran without a disclaimer,173292
329107800543535,Sneider Tamás,Országgyűlés Hivatala Jobbik Frakció,172275
101028767982783,Ne dolgozz ingyen,PDSZ - Pedagógusok Demokratikus Szakszervezete,171409
112879632128020,Novák Előd,Mi Hazánk Mozgalom,168926
122801817729926,Vodafone Hungary,These ads ran without a disclaimer,165817
1431472540477496,Dr. Fülöp Erik,Országgyűlés Hivatala,165521
510078013063912,Rózsa László Péter,Rózsa László Péter,165497
228731803847927,Semjén Zsolt,KDNP frakció,165253
1555419321354996,Dr. Csáky Andrást válasszuk Cegléd polgármesterévé,Nahimi Aman Péter,164909
132593883577930,Dr. Keresztes László Lóránt,LMP - Lehet Más a Politika,164548
191946490841225,Dúró Dóra,Sipos,163548
224964221492530,Magyar Turisztikai Ügynökség,Magyar Turisztikai Ügynökség,162174
598207586888643,Liptay Gábor,Liptay Gábor,161872
306318386058001,Dr. Molnár Csaba,Demokratikus Koalíció,161778
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,158047
85568463466,Mérce,Mérce,157314
112265210317688,Drinki,Drinki,157052
407695802676878,Nyitottak vagyunk,Nyitottak vagyunk,155944
1405665623004645,"Földi László, országgyűlési képviselő","Földi László, országgyűlési képviselő",151874
1802723739964861,Merkwart Krisztián,Merkwart Krisztián,150622
1215492498464496,Angyal Károly,Angyal Károly Tibor,148869
103492610994760,Tetlák Örs,LMP - Magyarország Zöld Pártja,144676
149061108240,Kocsis Máté,Fidesz frakció,141741
506348326210466,Ungár Péter,Ungár Péter,140428
257711127995971,Érem Művészeti Kiadó Kft.,These ads ran without a disclaimer,139729
301295993869613,Kiszelné Mohos Katalin polgármester,Kiszelné Mohos Katalin,138314
106066450785377,Parrag-Kovács Ágnes,Parrag-Kovács Ágnes,137945
104124327619425,Diósdiak A Városért,Nagy Gábor Imre,134667
160102384102712,Szél Bernadett,Szél Bernadett,134526
484401051735475,Príma,Príma,132673
453253875264,Vágó Gábor,LMP - Lehet Más a Politika,132650
142116653162328,Márki-Zay Péter,Márki-Zay Péter,131549
114173103624040,EzaLényeg.hu - Vácipoly,EzaLényeg.hu,131362
1372750529476614,Demeter Márta,LMP - Lehet Más a Politika,131266
721976974593091,Solar Express KFT,These ads ran without a disclaimer,131264
2341539762837341,Vác Város Önkormányzata,Vác Város Önkormányzata,131239
1461534750733248,Schmuck Erzsébet,Zöld Média Ügynökség Kft.,130729
407084009419897,Dr. Szakács László,Dr. Szakács László,127851
150836998898897,aHang,aHang,127303
1787315024615211,Czerván György,Czerván György,126992
230982470584005,Elek Sándor polgármester,Elek Sándor,126976
128573907819549,Fekete-Győr András,Momentum Mozgalom,126005
682448271826776,Cseh Katalin,Cseh Katalin,125595
525574220799452,Alfahír,Kiegyensúlyozott Médiáért Alapítvány,125267
1828572300805912,Rosatom Global,These ads ran without a disclaimer,125034
105732844476472,EzaLényeg.hu - Pilis,EzaLényeg.hu,122312
628784737147887,Xkobagodollo,Kovács Barnabás,120529
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,120382
632806306818605,Novák Katalin,Novák Katalin,120247
126893087354793,Európai Parlament,Európai Parlament,118562
193702058028595,Lázár János hivatalos oldala,Lázár János hivatalos oldala,118361
853618601425615,Dedoles,These ads ran without a disclaimer,115305
1045756865438142,Szabó Ákos,Szabó Ákos,115136
104601244244922,Haraszti Bálint,Haraszti Bálint,113735
364516780648357,Szolnoki Gábor polgármester,Szolnoki Gábor Károly,110740
390232091384,Habitat for Humanity Magyarország,Habitat for Humanity Magyarország,110675
112407120345686,Farkas Örs,Farkas Örs,110337
211156277497,WWF Hungary,WWF Hungary,106874
134477239724,Bringázz a Munkába,Magyar Kerékpárosklub,106194
587249854964760,Sipos Dávid - Dunakeszi alpolgármestere,Sipos Dàvid,104636
100688334643220,Tonzor Péter,Péter Tonzor,104355
438674070213065,Magyar Állampapír,These ads ran without a disclaimer,102489
107317040615512,Sziklai Zsolt,Sziklai Zsolt,102294
781030738624077,Gyöngyösi Márton,Országgyűlés Hivatala Jobbik Frakció,101434
108988690853942,Kásler Miklós,Kásler Miklós,100714
183454358333460,Jobbik Pest megye,Jobbik Magyarországért Mozgalom,100000
2902591973149124,CÉL Egyesület - Tegyük Városunkat Naggyá,Szakál András,98982
101340151247587,Spéth Géza polgármester,Nagy Gábor Imre,98408
718237064915895,Szőke Péter Törökbálint Holnap,Szőke Péter,97058
751133218288660,XXI. Század Intézet,Közép- és Kelet-európai Történelem és Társadalom Kutatásáért Közalapítvány,96113
2367481733536787,MSN Magyarország,These ads ran without a disclaimer,94753
112064378854586,Terror Háza Múzeum / House of Terror Museum,Terror Háza Múzeum / House of Terror Museum,93425
2074269302652716,Menczer Tamás,These ads ran without a disclaimer,92526
132593883577930,Dr. Keresztes László Lóránt,Dr. Keresztes László Lóránt,91785
53447723449,Publicus Intézet,Publicus Kutató és Tanácsadó Kft.,91724
113183730045421,Momentum Klímakörök,Momentum Mozgalom,91679
1429914920563493,Nunkovics Tibor,Országgyűlés Hivatala Jobbik Frakció,90863
445527232223443,Gyenes Levente,Gyenes Levente Zoltán,90639
1580459282191804,Agrármarketing Centrum,Agrármarketing Centrum,90158
682102398537057,Dióssi Csaba,Dióssi Csaba,90000
206160682739388,Harrach Péter,Harrach Péter,87883
230385242742,KDNP és Frakciója,KDNP és Frakciója,87447
230385242742,KDNP és Frakciója,Országgyűlés Hivatala KDNP frakció,86811
107150584017067,Pomázi Fidesz-KDNP jelöltjei,Fidesz-KDNP pomázi alapszervezet,86691
109117190565423,Számok - a baloldali álhírek ellenszere,Számok - a baloldali álhírek ellenszere,86167
543788999005363,ORIGO,New Wave Media Goup Kft.,84651
607398386415342,Nemesi Pál,Nemesi Pál,84349
112443543552972,Szövetség a szólásszabadságért,szovetsegtorokbalintert.blogspot.com,84176
228731803847927,Semjén Zsolt,Országgyűlés Hivatala KDNP frakció,83972
451084968283411,Klímainnovációs Közösség,Pannon Pro Innovations,83259
100103228401991,Axióma,Axióma Kulturális Alapítvány,81869
104337347681259,4trees,4trees,81357
745695918854943,Nyugati Fény,Nyugati Fény,80837
108271872940329,Ara-Kovacs Attila,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,80690
36511036382,Central European University,These ads ran without a disclaimer,79408
109503892404998,Világgazdaság,Világgazdaság,79221
1560795780732708,"Székely Sándor, az Igen Szolidaritás országgyűlési képviselője",Országgyűlés Hivatala,79193
781150971947219,Jakab Péter,Jobbik Magyarországért Mozgalom,77903
109944060357878,Szabó Zsolt Budakesziért,Szabó Zsolt,77739
320701218553533,Alternatíva Párt,Alternatíva párt,76427
734217673259088,Ujhelyi István dr.,MSZP,75691
102753291819852,Europálya,Europálya,75499
237088069704442,Ádám Kósa MEP,"Adam Kosa, Member of the European Parliament",75162
76945222898,Startlap,Centrál Médiacsoport,75001
378262582292757,Vécsey László,Vécsey László József,74220
1084749598210454,Dr. Szabó Tünde,Dr. Szabó Tünde,73803
116759269720530,Simon Tamás,Simon Tamás Ferenc,73731
107898832590939,European Commission,These ads ran without a disclaimer,73244
428382307200042,Budapesti Kereskedelmi és Iparkamara (BKIK),Budapesti Kereskedelmi és Ipari Kamara,72807
893102994164960,Hohn Krisztina,Hohn_Krisztina_Zöld_Baranya_Kft_Ügynökség,71856
125401401483195,Pál Gábor,Jobbik Magyarországért Mozgalom,71801
102336777827685,Mészáros Attila - független önkormányzati képviselőjelölt,Mészáros Attila,71351
92932085233,TASZ,TASZ,71280
191946490841225,Dúró Dóra,These ads ran without a disclaimer,71215
103492610994760,Tetlák Örs,LMP - Lehet Más a Politika,71000
167577480539687,Endre Dávid,Endre Dávid Bence,70618
180924612473518,Dr. Brenner Koloman,Országgyűlés Hivatala Jobbik Frakció,70405
144590332354953,Összefogás Szigethalomért Egyesület,Összefogás Szigethalomért Egyesület,70000
243470906428319,Juhász Hajnalka,Juhász Hajnalka,68094
132720449036,Magyar Kerékpárosklub,Magyar Kerékpárosklub,67855
126893087354793,Európai Parlament,Európai Parlament Tájékoztatási Irodája,67600
781030738624077,Gyöngyösi Márton,Jobbik Magyarországért Mozgalom,67141
122159141138679,Magyar Helsinki Bizottság / Hungarian Helsinki Committee,Magyar Helsinki Bizottság / Hungarian Helsinki Committee,66999
1433332953628843,"Debreceni Állatkert, Növénykert és Vidámpark","Debreceni Állatkert, Növénykert és Vidámpark",66526
101382944578702,Szilágyi László,László Szilágyi,66335
206829842043,Rétvári Bence,Rétvári Bence,65758
748348838626461,888.hu,888.hu,65664
155560531137359,Dorosz Dávid,Párbeszéd Magyarországért,65342
158693564916446,Zero Hero,Zero Hero,64786
164978027477602,József Felföldi,József Felföldi,64512
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,64415
912312902298827,Rózsapark Team,Szebeni Márton,64402
362277097183663,VELUX,VELUX,64327
1193391110688366,Highlights of Hungary,Highlights of Hungary,64163
101383114803675,Szabó Csaba,Szabó Csaba,63963
346353972180224,Bia Futura Egyesület,Fazekas Zoltán József,63899
334194676744991,Varga Zoltán Péter,Varga Zoltán Péter,63556
1122781531137859,Ellenszél,Ellenszél,63004
2168456040134535,Momentum Szigetszentmiklós és környéke,Momentum Mozgalom,62000
1377431695828132,Nagy István,Dr. Nagy István,61649
562712570560978,Azbej Tristan ن,Azbej Tristan,61073
257493761428728,Simó Károly,Összefogás Egyesület,59963
108941857376911,Igen Szolidaritás,Igen Szolidaritás,59786
260927000625137,VARJU László Újpest-Angyalföld,VARJU László Újpest-Angyalföld,59777
162344823835042,atlatszo.hu,atlatszo.hu,59261
253114601689663,Vasas Szakszervezeti Szövetség,Vasas Szakszervezeti Szövetség,59097
129382163754757,Jobbik Ifjúsági Tagozat,Jobbik Magyarországért Mozgalom,58527
129382163754757,Jobbik Ifjúsági Tagozat,Országgyűlés Hivatala Jobbik Frakció,58343
926533784164579,Szemző Áron,Szemző Áron Gábor,57190
193338710873126,Horinka László,These ads ran without a disclaimer,57156
965209410258616,Horváth István Attila,Horváth István Attila,56685
893102994164960,Hohn Krisztina,LMP - Lehet Más a Politika,56280
447556782025193,Magyar Munkáspárt,Magyar Munkáspárt,56008
183174515027839,Szilágyi György,Országgyűlés Hivatala Jobbik Frakció,55871
128210328817041,NoMorePlastic,Dialogue Creatives,55802
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,54996
100145531349308,Kontrapro.hu,Kontrapro.hu Kft.,54294
105094080902846,dr. Tóth Ferenc,dr. Tóth Ferenc,53994
134984140045777,Stummer János,Országgyűlés Hivatala Jobbik Frakció,53871
1920158678081160,Nemzetpolitikai Államtitkárság,Nemzetpolitikai Államtitkárság,53741
1438995906323127,Bősz Anett,Bősz Anett,53684
108442367290274,Farkas Krisztina,Jobbik Magyarországért Mozgalom,53010
111858283936607,Igaz Hang,József Felföldi,52576
157270314427371,Simonka György,Simonkáné Gábor Marianna,51933
115230488549915,Political Capital (HU),Political Capital (HU),51681
2243182252662867,Semmi Szemét - Hulladékmentes tisztítószerek,Semmi Szemét Hulladékmentes tisztítószerek,51634
435073246594237,Csenger-Zalán Zsolt,Csenger-Zalán Zsolt,51090
314501110585,Kék Vonal,Kék Vonal,51053
283605605855438,Új Március,El a kezekkel a Kádár-sírtól,50672
422399638586608,Indítsuk Be Magyarországot Alapítvány,Indítsuk Be Magyarországot Alapítvány,50594
107308957298825,Fülöp Zoltán,Fülöp Zoltán,50519
116573845044900,Playersroom,These ads ran without a disclaimer,50101
206160682739388,Harrach Péter,Országgyűlés Hivatala KDNP frakció,49885
