Page ID,Page Name,Disclaimer,Amount Spent (HUF)
117961442942614,Álljunk ki Borkai Zsolt mellett,Éljen Borkai,99549
35634348348,Greenpeace Magyarország,These ads ran without a disclaimer,97904
107430690645216,Kovács Attila - bőnyi polgármester-jelölt,Lőrincz Ildikó,97083
191461774219575,hirado.hu,hirado.hu,96396
106332960773994,Kék Bolygó Alapítvány,Kék Bolygó Klímavédelmi Alapítvány,95107
106607667417772,Borkai szégyent hozott Győrre,Szeretem Győrt,93306
191946490841225,Dúró Dóra,Sipos,91883
224964221492530,Magyar Turisztikai Ügynökség,Magyar Turisztikai Ügynökség,90755
1622954144645540,Századvég Gazdaságkutató,Századvég Gazdaságkutató,87916
101028767982783,Ne dolgozz ingyen,PDSZ - Pedagógusok Demokratikus Szakszervezete,86822
101899688012247,EzaLényeg.hu - Győr,EzaLényeg.hu,85732
85568463466,Mérce,Mérce,85369
132593883577930,Dr. Keresztes László Lóránt,LMP - Lehet Más a Politika,82767
306318386058001,Dr. Molnár Csaba,Demokratikus Koalíció,81800
121422155912492,Naturhouse Győr,These ads ran without a disclaimer,81496
281527466391,Magyar Zoltán,Jobbik Magyarországért Mozgalom,79733
599485673455396,Magyar Éremkibocsátó Kft.,Magyar Éremkibocsátó Kft.,79465
329107800543535,Sneider Tamás,Országgyűlés Hivatala Jobbik Frakció,79450
112265210317688,Drinki,Drinki,78682
1078158995561613,Jakál Adrienn,Párbeszéd Magyarországért,78513
1855311791415561,Nurofen Magyarország,These ads ran without a disclaimer,77958
134477239724,Bringázz a Munkába,Magyar Kerékpárosklub,77557
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,76872
1431472540477496,Dr. Fülöp Erik,Országgyűlés Hivatala,75925
268042136672212,Századvég,Századvég Politikai Iskola Alapítvány,73565
106949510691783,Szülőföldünkért Egyesület,Molnár Ferenc,70698
257711127995971,Érem Művészeti Kiadó Kft.,These ads ran without a disclaimer,70664
1372750529476614,Demeter Márta,LMP - Lehet Más a Politika,70362
150836998898897,aHang,aHang,69973
203288443178475,Takács Krisztián,Krisztiàn Takàcs,69806
682448271826776,Cseh Katalin,Cseh Katalin,69782
112879632128020,Novák Előd,Mi Hazánk Mozgalom,69597
484401051735475,Príma,Príma,68843
1802336140034095,Győri Fidesz,Győri Fidesz,67625
193640214178356,Gyopáros Alpár,Gyopáros Alpár,65471
1828572300805912,Rosatom Global,These ads ran without a disclaimer,64168
853618601425615,Dedoles,These ads ran without a disclaimer,63091
