Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
378553112882548,Демократична България - Варна,Демократична България,1488,8
104106688390461,Читанка,Читанка,1478,28
48034275355,EPP - European People's Party,EPP - European People's Party,1467,36
104296628174169,Димитър за България Православна Свята,Димитър Савов,1404,106
1560928537284555,Vladislav Panev,Vladislav Panev,1401,29
762986410409232,За Петър Чобанов,Chobanov Petar,1343,74
561187070718518,ПП Движение Напред България,ПП Движение "Напред България",1336,19
401257899988429,Иван Портних,These ads ran without a disclaimer,1335,23
398343726922160,Костадин Костадинов,Възраждане,1286,16
103439391741697,П.П.  Пряка Демокрация,Димитър Савов,1272,102
1679461339043861,Възраждане,Възраждане,1247,8
170616756314388,Iveta Cherneva - Author,These ads ran without a disclaimer,1221,20
103793487652536,Владимир Петров,БСП СОФИЯ,1208,16
1458743741116627,Асоциация на индустриалния капитал в България,These ads ran without a disclaimer,1205,22
125816068816547,Андон Тодоров,Лилия Мечева,1187,53
116521996388197,Промяната започва с действие,These ads ran without a disclaimer,1179,7
170315589442,Gospodari,Gospodari,1149,32
454278658081734,Йордан Иванов,Yordan Ivanov,1126,57
100319374708769,Елеонора Николова,Йоана Димитрова,1087,9
102572881152332,Тодор Тенев,Todor Tenev,1084,9
106241110790030,Атанас Медникаров - кандидат за кмет на район Студентски,VMRO - BND,1073,5
190741571096581,Петър Славов,Peter Slavov,1070,115
998454013641041,Демократична България - Силистра,Ivanov Hristo,1063,36
99823115305,Поглед Инфо,Поглед Инфо,1062,117
28312410177,World Food Programme,These ads ran without a disclaimer,1044,26
190316344375565,БЗНС,БЗНС,1040,13
163350039852,Европейски парламент в България,These ads ran without a disclaimer,1037,3
253210631434135,ПОЛИТИКА и КОРУПЦИЯ !,These ads ran without a disclaimer,1008,5
1438204226503681,Партия на ЗЕЛЕНИТЕ,Соня Ставрева,997,61
117649926303037,Георги Валентинов Георгиев - общински съветник,Георги Георгиев,991,24
110540099038355,SOS Детски селища България,SOS Детски селища България,973,1
1260394000692583,ПП ГЕРБ ЯМБОЛ,Kristian Georgiev,969,3
444930982267001,Цвета Кирилова,Цвета Кирилова,963,148
117472351629932,БСП СОФИЯ,БСП СОФИЯ,961,33
228481527617566,Демократична България - Стара Загора,Демократична България - Стара Загора,949,60
357101931120801,Любомир Чакъров,Любомир Чакъров,945,52
113734730023753,Добромир Добрев,Добромир Добрев,932,22
651747871952382,Кристиян Шкварек,Oblakov Nikolay,917,31
106275630751495,Сега е времето,These ads ran without a disclaimer,907,40
694942987200347,Любомир Дреков,Borislava Hristova-Abadjieva,898,15
