Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
1620240484900612,Åländsk Demokrati,Stephan Toivonen,4692,123
164624737027350,Petri Sarvamaa,Petri Sarvamaa,4659,32
7692825311,Suomen World Vision,These ads ran without a disclaimer,4599,4
2110443792388818,Kaksin - Tvåsamhet,Kaksin - Tvåsamhet,4500,24
149985558872,Suomen Pakolaisapu - Finnish Refugee Council,Suomen Pakolaisapu - Finnish Refugee Council,4496,158
1449434138617787,Ida Schauman,Schauman Ida Emilia Axelsdotter,4464,377
180192098660221,Helsingin Vihreät,Helsingin Vihreät,4343,104
1235776649910885,Plastic Free Picks,Plastic Free Picks,4280,73
259256970891807,Kaisa Vatanen,Kaisa Penny,4240,32
326994988016772,Climate Cycling,Climate Circle ry,4203,27
922311201130062,Miapetra Kumpula-Natri,The S&D group / Finnish delegation / Miapetra Kumpula-Natri,4184,28
144426382263604,Kokoomusopiskelijat,Kokoomuksen opiskelijaliitto Tuhatkunta,4169,57
105959064729622,Sanna-Maria Bertell,Sanna-Maria Bertell,4123,57
153374888023578,Fingo - Suomalaiset kehitysjärjestöt,Fingo - Suomalaiset kehitysjärjestöt,4046,266
551762328271013,Oikeusministeriö - Justitieministeriet,Oikeusministeriö - Justitieministeriet,3871,21
181095798908231,Fressi Olo,These ads ran without a disclaimer,3697,7
628970754230502,AKT liitto,These ads ran without a disclaimer,3694,19
1959958620944505,Savon Aurinkoenergia Oy,These ads ran without a disclaimer,3645,50
183967251674413,Myllärin,Myllärin,3600,2
617733068345315,Mikkel Näkkäläjärvi,Nakkalajarvi Mikkel Antte Iisakki,3577,48
354424931606915,Janne Parkkila - Vasemmistoliitto,Janne Parkkilan tukiyhdistys ry,3461,24
2211545855568908,Tomi Kontkanen,Finlands svenska socialdemokrater,3345,19
116399773126,Suomen Punainen Risti,Suomen Punainen Risti,3320,32
291117849202,Yle Areena,These ads ran without a disclaimer,3317,16
283762588316103,Pohjois-Karjalan Osuuskauppa,Pohjois-Karjalan Osuuskauppa,3271,34
111390105539312,Turun kaupunki - Åbo stad - City of Turku,Turun kaupunki - Åbo stad - City of Turku,3253,36
591986911282315,Pekka Shemeikka,Nokela Matti Juhani Philip,3246,26
1558046884420724,Caruna,Caruna Oy,3237,57
270567833058986,"Piia Malmberg, ent. Kurki",Piia Kurki,3196,37
360860753953531,Fortum Suomi,These ads ran without a disclaimer,3120,25
145401631365,SSAB,These ads ran without a disclaimer,3038,24
363641203686571,Ted Apter,Ted Apter,3001,22
100457931735103,Marjo Koistinen Talous,Marjo Koistinen,2978,126
302413363266999,K-Ruoka,These ads ran without a disclaimer,2964,1
116399773126,Suomen Punainen Risti,These ads ran without a disclaimer,2869,36
107561782596489,My Helsinki,My Helsinki,2864,46
1743749662339481,Hyvinvointiala HALI ry,Hyvinvointiala HALI ry,2837,70
129286757147002,Tehy ry,These ads ran without a disclaimer,2824,18
231250833663601,SDP Helsinki,Helsingin Sosialidemokraatit ry,2798,30
116348448402875,Liberalerna på Åland,Liberalerna på Åland,2789,64
113398820097,Pelastakaa Lapset,These ads ran without a disclaimer,2780,7
154256701288026,Petteri Orpo,Kokoomus,2757,30
438938299583730,Ilmatar,These ads ran without a disclaimer,2668,7
101476337951070,Avoin Puolue,Jarvenpaa Riia Terhikki,2667,100
106079954128313,Minska,Minska,2659,68
133459136755839,Ihmisoikeusliitto,Ihmisoikeusliitto,2656,49
28469960111,Kokoomusnuoret,Kokoomusnuoret,2641,124
185166421528433,Turun vihreät,Turun vihreä kunnallisjärjestö ry,2512,84
107898832590939,European Commission,European Commission,2509,195
510346432432044,Paula Aikio-Tallgren EU-vaaliehdokas,Pohjoisen asian osaajat ry,2509,46
552430984770368,Kymen Seudun Osuuskauppa,S-ryhmä,2500,1
249263121771099,Ympäristöministeriö,Ympäristöministeriö,2500,24
1691115251107247,Stephan Toivonen,Stephan Toivonen,2487,67
303924349757,Paulig,These ads ran without a disclaimer,2480,3
571276759551377,HBO Nordic,These ads ran without a disclaimer,2470,15
360575481205047,Camilla Gunell,Socialdemokraterna på Åland,2445,17
335430733218134,MSD Finland,These ads ran without a disclaimer,2430,1
179616462125382,Oatly,These ads ran without a disclaimer,2410,1
227283607398150,FIM,FIM,2407,18
804330503290879,Leena Zittling - Politician - KOK,Miettinen Pasi Olavi,2380,7
188738699934,Miessakit ry,Miessakit ry,2365,2
134934386349,Amnesty International - Suomen osasto,These ads ran without a disclaimer,2348,62
105523299470698,DNA,These ads ran without a disclaimer,2330,3
281523996677,Suomen Yrittäjät,Suomen Yrittäjät,2308,33
285083938272584,Henrik Vuornos,These ads ran without a disclaimer,2270,30
252243572053482,Tiina Kyllönen,Heikkinen Tiina Maria,2259,1
611696415923639,Satu Jaatinen 216,These ads ran without a disclaimer,2257,11
1427085273986253,National Geographic TV Suomi,National Geographic TV Suomi,2250,2
74247674998,SAK - Suomen Ammattiliittojen Keskusjärjestö,SAK - Suomen Ammattiliittojen Keskusjärjestö,2240,7
237130593122439,Mirja Vehkaperä,Vehkaperä Mirja Tellervo,2217,20
337865799564409,K-ryhmä,These ads ran without a disclaimer,2201,3
342706932416036,Ruokaa omasta maasta,Ruokatieto Yhdistys,2189,19
334478033363842,Loiste Energia,Loiste,2155,17
696226580391206,Teknologiateollisuus,Teknologiateollisuus ry,2154,52
254403722807,BirdLife Suomi,BirdLife Suomi,2110,16
252498358197157,Mia Haglund,Mia Haglund MEPiksi -kampanja,2105,27
424023570951528,Reima,Reima,2093,20
2089076467990914,Huijausinfo,Kuluttajaliitto,2089,19
177939666416553,Mauri Pekkarinen,Mauri Pekkarinen,2086,5
1527478777519070,Arto Luukkanen,Riekkovaara Niko Tapani,2083,16
198979100169761,Teuvo Hakkarainen,Riekkovaara Niko Tapani,2033,19
747915358921075,Hans Adolf Ehrnrooth,Turvallinen ja vakaa Eurooppa ry,2032,26
258208220887595,Perttu Mikael Hillman,Hillman Perttu Mikael,2012,51
447795955285515,Long Play,Long Play,2002,14
1083597725003936,Neste,These ads ran without a disclaimer,2000,1
1680771958806411,Kulta Katriina,Kulta Katriina,1998,4
101476337951070,Avoin Puolue,Avoin puolue,1982,71
296668661689,Eurooppanuoret (JEF-Finland),Eurooppanuoret ry,1980,46
109935777675058,Kari Jääskeläinen,Kari Jääskeläinen,1963,15
430195364409025,Matilda af Hällström,af Hällström Matilda Linnea Alice,1956,21
345922778446,Keskustaopiskelijat,Keskustan Opiskelijaliitto ry,1950,25
376203269442,Finlands Lucia,Folkhälsan,1950,26
414145572025195,Turku Energia,Turku Energia,1946,17
2211654885785838,Olli Kotro PS,Kauko Niko Aleksanteri,1942,33
357502994332188,Aura Salla,Salla Aura Maria,1933,23
166764656737212,Christoffer Hällfors,Christoffer Hällfors,1933,15
411612645521465,MAF Suomi,MAF Suomi,1929,22
60390955171,Vasemmistoliitto,Vasemmistoliiton eduskuntaryhmä,1927,30
1764140410506268,Kansallinen senioriliitto ry,Kansallinen senioriliitto ry,1921,17
178003665577087,VTT Technical Research Centre of Finland,VTT Technical Research Centre of Finland,1856,23
274800030869,Pohjanmaan Kokoomus,Pohjanmaan Kokoomus,1852,68
448116415229902,Henrik Wickström,Wickström 2019,1811,72
388310037923245,Varuboden-Osla,S-ryhmä,1800,9
381290523932,VIKES Viestintä ja kehitys -säätiö,Viestintä ja kehitys -säätiö,1779,148
111005869699,Kirkon Ulkomaanapu,These ads ran without a disclaimer,1745,31
190042298268350,Elsi Katainen,Katainen Elsi Kaarina,1743,20
607768462682601,Vegaanihaaste,Vegaanihaaste,1727,4
387812258475026,Jouni Kemppainen,Kemppainen Jouni Petteri,1716,3
517311964948182,J. Rinta-Jouppi Oy,These ads ran without a disclaimer,1714,38
176678846392107,Tankesmedjan Agenda - Ajatushautomo Agenda,Tankesmedjan Agenda Ajatushautomo,1713,36
545309265626080,Kela - Fpa,These ads ran without a disclaimer,1699,7
48034275355,EPP - European People's Party,EPP - European People's Party,1694,52
377011865574,Väestöliitto,Väestöliitto,1670,7
220884089007,Suomen luonnonsuojeluliitto,Suomen luonnonsuojeluliitto,1670,17
153186884700042,Ville Niinistö,Ville Niinistö,1670,7
393536527693016,Markus Myllyniemi,Markus Myllyniemi,1668,170
18321101785,Paavo Arhinmäki,Vasemmistoliiton eduskuntaryhmä,1663,30
249263121771099,Ympäristöministeriö,Valve Branding Oy,1659,22
488913327839998,Dove,Dove,1656,1
1357638954294467,Fatim Diarra,Fatim Diarra,1639,5
327193342274,Pohjois-Pohjanmaan Vasemmisto,Kohonen Olli Ilmari,1624,13
110959555683831,Akavan Erityisalat,Akavan Erityisalat,1623,44
352163704869030,Oikotie Työpaikat,These ads ran without a disclaimer,1613,5
2488995047981000,Oma Ilmanlaatu,Niini Janne Jyri,1608,11
244224963187036,Suomiduunari,Riekkovaara Niko Tapani,1607,7
1337176579662419,Niko Eskelinen poliitikko,Eskelinen Niko Olavi,1605,54
860106373999721,Elina Lepomäki,Elina Lepomäki,1599,26
312837175579728,Riku Eskelinen,Riku Eskelisen eurovaalien tukiyhdistys Herttoniemen Keskustaseura ry,1594,13
103673691285173,Juho Jokinen,Juho Jokinen,1589,17
514404168751040,Matias Pajula,Matias Pajula,1588,152
292014514307250,Ålands socialdemokrater,Ålands Socialdemokrater,1573,43
100708817989315,AurinkoVarma,AurinkoVarma Oy,1571,104
28194048353,Madventures,Gimmeyawallet,1565,2
167131836664321,Eettisen kaupan puolesta,Eettisen kaupan puolesta,1555,14
329520117139440,Jaakko Mustakallio,Jaakko Mustakallio,1553,114
118610942333,VALONIA,Valonia,1545,23
575908612596562,Antton Rönnholm,Rekilä Piia Annikki,1543,14
351679088241560,Janne Heikkinen,Janne Heikkinen,1538,24
2130226653737235,Eurovaaliehdokas Kari Kallonen,Kallonen Kari Markku,1525,28
76709532890,Tradenomit,Tradenomit,1524,3
300059733998436,Karri Ollila Europarlamenttiin 2019,Karri Ollila,1510,30
151697688839398,Niko Aleksanteri Kauko,Kauko Niko Aleksanteri,1502,70
1106285056054221,Vaasan Sähkö - Vasa Elektriska,Vaasan Sähkö - Vasa Elektriska,1502,13
162434360626494,WSOY,These ads ran without a disclaimer,1500,2
249421507648,Uudenmaan Kokoomus,Uudenmaan Kokoomus,1493,40
118875498172695,Suur-Seudun Osuuskauppa SSO,S-ryhmä,1489,16
113318593673339,AurinkoVarma Oy - Aurinkosähkö palvelut Uudellamaalla,AurinkoVarma Oy,1488,33
138249058393,S-ryhmä,S-ryhmä,1486,5
60390955171,Vasemmistoliitto,These ads ran without a disclaimer,1477,5
55312855747,Keskusta,Suomen Keskusta r.p.,1461,12
298060500819,Kainuun Kokoomus,Kainuun Kokoomus ry,1457,16
126768630726940,Miikka Keränen,Keranen Miikka Markus,1454,7
1479508498994670,Heikki Vestman,Vestman Heikki Matti Viljami,1445,34
150470741712965,Sfp i Kyrkslätt,SFP i Kyrkslätt,1442,30
276456079047756,Uudenmaan Vihreät,Uudenmaan Vihreät ry,1432,4
104956548092996,Aku Leijala,Aku Leijala,1428,21
189269999292,Wärtsilä Corporation,Wärtsilä Corporation,1416,7
432450826819256,Filip Björklöf,Filip Björklöfs understödsförening,1396,38
122600251127701,Sari Sarkomaa,Sari Sarkomaa,1380,40
1529007540681072,Espoon Keskusta,Keskustan Espoon kunnallisjärjestö ry,1378,30
803596373025380,Satu Taavitsainen,Taavitsainen Satu Johanna,1357,46
163869833651514,Rauhanliitto - Fredsförbundet,Rauhanliitto,1353,20
541646375868442,Kuopion Keskusta,Keskustan Kuopion kunnallisjärjestö ry,1351,234
141238695910775,Annika Saarikko,Suomen Keskusta,1343,17
162050703823354,Turun yliopisto,Turun yliopisto,1342,23
118031422919870,Ilmastokummit,Ilmastokummit Oy,1339,160
105868880982170,Ilmastonmuutosvoima,Kaisa Matikainen,1336,11
28312410177,World Food Programme,These ads ran without a disclaimer,1334,28
