"","x"
"515","101994644528756"
"516","101994815232373"
"517","102003294835777"
"518","102017727923411"
"519","102025778125741"
"520","102028844949340"
"521","102030337882383"
"522","102030638270755"
"523","102039015028903"
"524","102046567832126"
"525","102051544521446"
"526","102061707856542"
"527","102062354889119"
"528","1020628358009021"
"529","102064075040828"
"530","1020667971327947"
"531","102067524594950"
"532","102070208402971"
"533","102071971167393"
"534","102073575020303"
"535","102077835186179"
"536","102081592078"
"537","102083991340817"
"538","102084091843798"
"539","102087510135950"
"540","1020911631368143"
"541","102092364549204"
"542","102100548483002"
"543","102101991514825"
"544","1021021657945447"
"545","1021045267962619"
"546","1021054924692197"
"547","102121168587254"
"548","102126314524559"
"549","102131960140089"
"550","102135271539449"
"551","102146246492040"
"552","102153384550335"
"553","102157777816071"
"554","102163011830126"
"555","102165631139761"
"556","102171051524748"
"557","102171797832303"
"558","102174108565745"
"559","102174514951860"
"560","102178054969710"
"561","102179328217634"
"562","102180986488391"
"563","1021840037839693"
"564","102200394473807"
"565","102202551159923"
"566","102203798533728"
"567","102218207961876"
"568","102224901203452"
"569","102226961331560"
"570","102246106484235"
"571","102248747853060"
"572","102256451721464"
"573","102259457878446"
"574","102260548015498"
"575","102265154581933"
"576","102268428428778"
"577","102275234855934"
"578","102287806490622"
"579","102288345027527"
"580","102291951259667"
"581","102292645193899"
"582","102294314843049"
"583","102301911556133"
"584","102304994766011"
"585","102313728549130"
"586","102313828200206"
"587","102314018029578"
"588","102315481301076"
"589","102320851125399"
"590","102326128069304"
"591","102340528343325"
"592","102343874870461"
"593","102345121219045"
"594","102359488487850"
"595","102360154557970"
"596","1023608807697819"
"597","102361744958867"
"598","1023617851143344"
"599","102362348038978"
"600","102369591128002"
"601","102372401849108"
"602","102378981346448"
"603","1023800171056309"
"604","102382565016726"
"605","102405338356217"
"606","102414309949126"
"607","102414657846952"
"608","102419134887228"
"609","102427523150245"
"610","102433978197339"
"611","1024348440961882"
"612","102437931477691"
"613","102439894709840"
"614","102441254898051"
"615","102443388494644"
"616","102453659895245"
"617","102454094549750"
"618","102454814787419"
"619","102457007791062"
"620","102458468235501"
"621","102459227929518"
"622","102460394513853"
"623","102461583862500"
"624","102464598027640"
"625","102465844488386"
"626","102466261436758"
"627","102478601332408"
"628","102481581405883"
"629","102484431276310"
"630","102490708532341"
"631","102493131238177"
"632","1025003297639834"
"633","102505911172634"
"634","102508417787858"
"635","1025086447521656"
"636","102511101494804"
"637","102523877772289"
"638","102527584822224"
"639","1025282390879638"
"640","1025408990823719"
"641","102548668277631"
"642","102556191461116"
"643","102573181133123"
"644","102575101091560"
"645","102578961123229"
"646","102579958198451"
"647","102581791781795"
"648","102587621296099"
"649","102594448540769"
"650","102597971341115"
"651","102610141864604"
"652","102610444914583"
"653","102619571674842"
"654","1026202547412043"
"655","1026259434088431"
"656","102635841331806"
"657","102645536550201"
"658","102651264538218"
"659","102654346518564"
"660","1026756537459603"
"661","102680474587102"
"662","102685475056184"
"663","102688177891218"
"664","102693241324204"
"665","102699421204259"
"666","102702261651304"
"667","102707161440303"
"668","1027077037480608"
"669","102713838471608"
"670","102718705065586"
"671","102721361493467"
"672","102724325036192"
"673","102729317844041"
"674","102729407851426"
"675","102732371098256"
"676","102740614534684"
"677","102760393111399"
"678","102760939837650"
"679","102763253131232"
"680","102768571653125"
"681","102770454787754"
"682","102775594531430"
"683","102784067817097"
"684","102791064640802"
"685","102796094859163"
"686","102800971293270"
"687","102801504491444"
"688","102801508112566"
"689","102802171132588"
"690","102804021612779"
"691","102814784693051"
"692","102821294758057"
"693","102829741166944"
"694","102832487850920"
"695","102834911085203"
"696","102836818481184"
"697","102842044995456"
"698","1028428697211383"
"699","102844685102730"
"700","102845381787757"
"701","102846954406635"
"702","102846954406635"
"703","102847967898015"
"704","102848847976981"
"705","102851961710553"
"706","102852507765146"
"707","102856335159830"
"708","102861258378389"
"709","102866251727710"
"710","102867994459198"
"711","102869168235365"
"712","102870284895340"
"713","102871673163893"
"714","102873574431073"
"715","102878094699976"
"716","102885217999864"
"717","102894134398510"
"718","102895024828471"
"719","102915537922650"
"720","102915858288308"
"721","102919694550965"
"722","102925631160420"
"723","102925808393819"
"724","102930334836904"
"725","102930484807691"
"726","102931488739"
"727","102941768264905"
"728","102947217757765"
"729","102948434882161"
"730","102949654629968"
"731","102962474825185"
"732","102966238146659"
"733","102980664769619"
"734","102981787729246"
"735","102985075128367"
"736","102990234984674"
"737","102993664561742"
"738","102994704427936"
"739","102996797809641"
"740","103001244758296"
"741","1030026913869030"
"742","103004791306418"
"743","103006878106616"
"744","1030108713765354"
"745","103012141573657"
"746","103020714495044"
"747","103024827750491"
"748","103025673101606"
"749","103029254416234"
"750","103043308183132"
"751","1030472763816931"
"752","103059064927636"
"753","103077258131608"
"754","103084060026604"
"755","103091697814493"
"756","103092704745921"
"757","103095447779775"
"758","103106961252518"
"759","103107244538450"
"760","103108298323166"
"761","103109561175378"
"762","103111208188378"
"763","103119051048859"
"764","103128644763067"
"765","103133528430869"
"766","103139458342957"
"767","103139487719985"
"768","103148184736670"
"769","103151834404551"
"770","103155228251226"
"771","103160791128945"
"772","103167695032246"
"773","103169071775170"
"774","1031691070224388"
"775","103170447987623"
"776","103171544945884"
"777","103173141240444"
"778","103176581079348"
"779","103178807825356"
"780","103185044437485"
"781","103189035091108"
"782","103194184472686"
"783","103197491475223"
"784","103229701234174"
"785","103230187734619"
"786","103230374920343"
"787","103231624653730"
"788","103232354477058"
"789","103233964987474"
"790","1032353066780968"
"791","103236314903240"
"792","103243528044598"
"793","103246236416384"
"794","103253941476675"
"795","103257168112944"
"796","103259471503517"
"797","103261251503976"
"798","103266854902914"
"799","1032679746785035"
"800","103273471217192"
"801","103274051517800"
"802","103275904506451"
"803","103278663447730"
"804","103283881049480"
"805","103297868467170"
"806","103302721060713"
"807","103304204464315"
"808","103308431054927"
"809","103322428468667"
"810","103325004765281"
"811","1033352336704147"
"812","103340221509875"
"813","103341471414385"
"814","1033457073332454"
"815","103345941471893"
"816","103347891043817"
"817","103352231015633"
"818","103355664387336"
"819","103369988138169"
"820","103370424540210"
"821","103373884640518"
"822","103375741147163"
"823","103377414898129"
"824","103389037682672"
"825","103389357718393"
"826","103392931542518"
"827","103407468242469"
"828","103412558241611"
"829","103424691248564"
"830","103426311472585"
"831","103429617929239"
"832","1034330763259943"
"833","103439644532124"
"834","103441898144544"
"835","103444177766528"
"836","103449961016967"
"837","103450968335880"
"838","103457111315098"
"839","103463457678300"
"840","103468534528358"
"841","103484624344404"
"842","103486317806881"
"843","103487509736810"
"844","103490157887634"
"845","103492610994760"
"846","103501647760638"
"847","103503651556461"
"848","103507984898696"
"849","103509191227559"
"850","103511604714794"
"851","103511667938848"
"852","103511761063493"
"853","103525145083540"
"854","103539861208213"
"855","103543587877045"
"856","103557468456489"
"857","103558289679671"
"858","103561081037377"
"859","103564655024021"
"860","103573331391814"
"861","1035757379850845"
"862","103578158050770"
"863","103580178012993"
"864","103584727686021"
"865","103586388435793"
"866","103588507975356"
"867","103588564450090"
"868","103591687668484"
"869","103593837807255"
"870","103619261083543"
"871","1036236793121965"
"872","103628514507500"
"873","103633087667910"
"874","103640667782532"
"875","1036507319873148"
"876","103655877676085"
"877","103656297767890"
"878","103660031618798"
"879","103665834552095"
"880","103670281004702"
"881","103674390998485"
"882","103675361378837"
"883","103682868214533"
"884","103683491290079"
"885","103685141391385"
"886","103689814790895"
"887","1036916083074871"
"888","103693741752117"
"889","1036986463173677"
"890","103699608173131"
"891","103702154562110"
"892","103709661118140"
"893","103714778279755"
"894","103733836434849"
"895","103734988420839"
"896","103746756361685"
"897","103756744493754"
"898","103757233129920"
"899","103760847634894"
"900","1037714773070522"
"901","103776430995054"
"902","103779644735178"
"903","103786493473967"
"904","103793487652536"
"905","103795371579380"
"906","103799821163593"
"907","103812698197998"
"908","103831224792859"
"909","103835119648706"
"910","103838862986502"
"911","1038388789518213"
"912","103839361706592"
"913","1038425926323402"
"914","103852234366555"
"915","1038556759501467"
"916","103861724424432"
"917","103864108123267"
"918","103864847663095"
"919","103894154558163"
"920","1038999749636625"
"921","103903577875249"
"922","1039100582773459"
"923","1039226352935616"
"924","103931738394003"
"925","103932007769315"
"926","103932881301294"
"927","103933537826382"
"928","103933554719737"
"929","103935286360012"
"930","103950034444585"
"931","103952218063028"
"932","103953787888087"
"933","103954990981609"
"934","103955061071909"
"935","103956307815942"
"936","103958561435760"
"937","103971088258940"
"938","1039768889387198"
"939","103980371377896"
"940","1039840406189567"
"941","103986244488917"
"942","103987600985471"
"943","103991434506196"
"944","1039915392797357"
"945","1039971842703013"
"946","104001154763925"
"947","104004414751883"
"948","1040090759342707"
"949","104013904653428"
"950","104013991253384"
"951","104016407777714"
"952","104016671363260"
"953","104020054627112"
"954","104023304507220"
"955","104024417686758"
"956","104025481058821"
"957","104032688094105"
"958","104037954512322"
"959","104039374688035"
"960","104045034270100"
"961","104045741503310"
"962","104046157748423"
"963","104049844611789"
"964","104051671411333"
"965","104053394759745"
"966","1040577706078198"
"967","104058724760341"
"968","104058874290164"
"969","104063477761715"
"970","104065676296316"
"971","104066327845221"
"972","104078952968627"
"973","104079828103302"
"974","104080731681227"
"975","104086770978679"
"976","104097091570809"
"977","104100817616808"
"978","104108951117938"
"979","104112037942576"
"980","104116481720032"
"981","104145414310"
"982","104145976305577"
"983","104156631199460"
"984","104163021547610"
"985","104163394950866"
"986","104169468003357"
"987","104173795066945"
"988","104174482949821"
"989","104176261206652"
"990","104179454270698"
"991","104180510955807"
"992","104184178177025"
"993","104185624475687"
"994","104202822949982"
"995","104203394698955"
"996","104206843051873"
"997","104207115020630"
"998","104216164261359"
"999","104226269645123"
"1000","104229677628575"
"1001","104232571329705"
"1002","104235897750223"
"1003","104242189650899"
"1004","104245791059484"
"1005","104254297749998"
"1006","104270638205064"
"1007","104270960946641"
"1008","104271321083334"
"1009","104277331239489"
"1010","104277964753675"
"1011","104285237742651"
"1012","104287102937751"
"1013","104289124691945"
"1014","1043011275746191"
"1015","104301651021204"
"1016","104302738046321"
"1017","104303913261902"
"1018","104311147778329"
"1019","104311511150742"
"1020","104316427769342"
"1021","104316494315058"
"1022","104317671687260"
"1023","104329768023289"
"1024","104350151550801"
"1025","104353331624138"
"1026","104359546288183"
"1027","104374164773639"
"1028","104375332966622"
"1029","104375981028468"
"1030","104377364465803"
"1031","104379451066298"
"1032","104381463046213"
"1033","104393964687688"
"1034","104401952226"
"1035","104405104362112"
"1036","104408111629161"
"1037","104408264641919"
"1038","104423064312546"
"1039","104433581610647"
"1040","104442305044892"
"1041","104444467587766"
"1042","104450468082310"
"1043","104454844495338"
"1044","104461024632469"
"1045","104474351154863"
"1046","104474547975226"
"1047","104475234521287"
"1048","104478114566308"
"1049","104478957667830"
"1050","104480624261163"
"1051","104482281616858"
"1052","104484254797326"
"1053","104493871053293"
"1054","104499821336873"
"1055","104499892929845"
"1056","104506394730836"
"1057","104512867995056"
"1058","104514344709232"
"1059","104522411499501"
"1060","104525286650489"
"1061","104536221555827"
"1062","104537314785431"
"1063","104554531446339"
"1064","104555094358765"
"1065","1045578865637583"
"1066","104558342917434"
"1067","104558747948656"
"1068","1045756882124385"
"1069","104581044289098"
"1070","104582471301296"
"1071","104583928192941"
"1072","104585784318521"
"1073","1045913778931144"
"1074","104592591422090"
"1075","104598324496558"
"1076","104600127557684"
"1077","104604012928735"
"1078","104609564676260"
"1079","104612117801187"
"1080","1046128382080700"
"1081","104618684565596"
"1082","104619514630645"
"1083","1046357232153394"
"1084","104644150948703"
"1085","104649124486252"
"1086","104649229661694"
"1087","104649844473306"
"1088","104652392900508"
"1089","104655791595188"
"1090","104659471147991"
"1091","104660890986403"
"1092","104665004817943"
"1093","104665394237521"
"1094","104667664365097"
"1095","104667694677860"
"1096","104674980966970"
"1097","104681087698732"
"1098","104684614482199"
"1099","104685761622715"
"1100","104685868299489"
"1101","104692921564419"
"1102","104695404710124"
"1103","104697373664786"
"1104","1046999735507968"
"1105","1047040148650402"
"1106","104706724703655"
"1107","104709772896559"
"1108","104709917815051"
"1109","104711457960709"
"1110","104715157733151"
"1111","104717232959218"
"1112","1047221682152437"
"1113","104726457868487"
"1114","104730014601694"
"1115","104736662944886"
"1116","104739364698855"
"1117","104740107649878"
"1118","104743904867134"
"1119","104751124332270"
"1120","104754397947849"
"1121","1047572938769702"
"1122","1047658422027323"
"1123","104769467724653"
"1124","104770341138009"
"1125","104773084406862"
"1126","104774828033070"
"1127","1047842275299128"
"1128","104795931317250"
"1129","104800430980628"
"1130","104804618250214"
"1131","104818217997445"
"1132","104818366267902"
"1133","1048193208658132"
"1134","104824124853030"
"1135","104833081131910"
"1136","104849318325905"
"1137","104852281106620"
"1138","104854207846414"
"1139","104870104623014"
"1140","104873814955240"
"1141","104875141481200"
"1142","104891978084314"
"1143","104893204667733"
"1144","104895171452029"
"1145","104895374411353"
"1146","104903867821771"
"1147","104911231132102"
"1148","1049190938446017"
"1149","104925644599798"
"1150","104933304663352"
"1151","104948128008915"
"1152","104959239627407"
"1153","104960911145027"
"1154","104963598002320"
"1155","104964987718477"
"1156","104979051428668"
"1157","104986434217948"
"1158","104997312869720"
"1159","105004151267330"
"1160","105005127575470"
"1161","105005624750132"
"1162","105011160900792"
"1163","105016401285044"
"1164","105028021624856"
"1165","105028957723250"
"1166","1050291201665065"
"1167","105029427633193"
"1168","105030707638384"
"1169","105034604832067"
"1170","105039534409058"
"1171","105043424200792"
"1172","105046131459353"
"1173","105069244182862"
"1174","105085477541116"
"1175","105095629945067"
"1176","105098291361811"
"1177","105098998252146"
"1178","105100511553915"
"1179","105104834521094"
"1180","105124444623528"
"1181","1051256995010064"
"1182","105128011415371"
"1183","105131144594180"
"1184","105131848260548"
"1185","105133724236339"
"1186","105137737736316"
"1187","1051463781700200"
"1188","105149037946872"
"1189","105151752909840"
"1190","105151911203890"
"1191","105153000877460"
"1192","1051537758265686"
"1193","105170417594278"
"1194","1051724328352386"
"1195","105173264586483"
"1196","105179647637652"
"1197","105181787847596"
"1198","105182047975386"
"1199","105182717591064"
"1200","105192161475407"
"1201","1051959924846528"
"1202","105198014911134"
"1203","105213424811146"
"1204","105215094483025"
"1205","105217444217456"
"1206","105217934559315"
"1207","105257071307565"
"1208","105258144421584"
"1209","105265727495033"
"1210","105279341391415"
"1211","105298734723652"
"1212","105300564644272"
"1213","105305677652375"
"1214","105319997664897"
"1215","105322958200874"
"1216","105323447586076"
"1217","105331217727857"
"1218","105333934497926"
"1219","1053397528074164"
"1220","105341839673997"
"1221","105353438008289"
"1222","105357054290479"
"1223","105357450943293"
"1224","105359326163036"
"1225","105375097548161"
"1226","105377414167843"
"1227","105377908088106"
"1228","105381424268870"
"1229","105387700824053"
"1230","105392284891988"
"1231","105394038051425"
"1232","105394986671828"
"1233","1054027864699072"
"1234","105404177530881"
"1235","105409377585264"
"1236","105410686588"
"1237","105420141017224"
"1238","1054217334684129"
"1239","105422274685438"
"1240","105424110914565"
"1241","105428091037360"
"1242","105428308043466"
"1243","105429444182462"
"1244","105438501012933"
"1245","1054446287907131"
"1246","105448137489878"
"1247","105466024190187"
"1248","105469062912351"
"1249","105469194622867"
"1250","105477604208081"
"1251","1054785984554788"
"1252","105487117864430"
"1253","105501274168670"
"1254","105503560988880"
"1255","105505167524475"
"1256","1055079281188145"
"1257","1055101664610946"
"1258","105516467622306"
"1259","105518487947877"
"1260","105520781551491"
"1261","105524024674474"
"1262","1055340414493730"
"1263","105537757585128"
"1264","105538111224943"
"1265","1055529747802000"
"1266","105561381218085"
"1267","105563771403045"
"1268","105568870924472"
"1269","105573710832960"
"1270","105575967663940"
"1271","105583126202684"
"1272","105585548010380"
"1273","105586287727373"
"1274","105586340900313"
"1275","105598407489301"
"1276","105598574231026"
"1277","105601070879239"
"1278","105608904934550"
"1279","105619957610049"
"1280","105620414514422"
"1281","105622420947742"
"1282","105624234677430"
"1283","105628137883032"
"1284","105631957475750"
"1285","105641114531323"
"1286","105642807913089"
"1287","105643031328400"
"1288","105644774248609"
"1289","105673356223370"
"1290","105686871014829"
"1291","105690337659121"
"1292","105691041499496"
"1293","1057020590987528"
"1294","105707146231201"
"1295","105707997635295"
"1296","105709444658355"
"1297","1057135480987413"
"1298","105714874377017"
"1299","105718774543302"
"1300","105725474748369"
"1301","105738044591154"
"1302","105740474673919"
"1303","105755296132267"
"1304","105758050796225"
"1305","105759890814235"
"1306","105761409451782"
"1307","105771790785527"
"1308","105775804506673"
"1309","105777687566248"
"1310","105784487562982"
"1311","105786621499356"
"1312","1057923730988837"
"1313","105796938004261"
"1314","105797224238738"
"1315","1057975671007680"
"1316","105798944886883"
"1317","105807864569144"
"1318","1058116737612843"
"1319","105813218000409"
"1320","105814374396210"
"1321","1058189624203745"
"1322","105819560797369"
"1323","105824067907689"
"1324","105825057859571"
"1325","105832580847848"
"1326","105841644101004"
"1327","105843370822509"
"1328","105848287460366"
"1329","105852470883057"
"1330","105854321461399"
"1331","105855061351311"
"1332","105857164298849"
"1333","105859672879525"
"1334","105860880805461"
"1335","105875787460168"
"1336","105884960947623"
"1337","105885794612718"
"1338","105887274193467"
"1339","105894830952846"
"1340","105899201036932"
"1341","105905160878397"
"1342","105909227822322"
"1343","105915844603440"
"1344","105929894189734"
"1345","105935827450184"
"1346","105937247811170"
"1347","105959931114296"
"1348","1059624814072730"
"1349","105974137853470"
"1350","1059763040824007"
