Page ID,Page Name,Disclaimer,Amount Spent (DKK)
59143726810,Psykiatrifonden,These ads ran without a disclaimer,49987
287306323369,Børnecancerfonden,Børnecancerfonden,49085
547601668763372,Lizette Risgaard,Lizette Risgaard,49068
408582579294175,UK government,These ads ran without a disclaimer,48397
2047554945456852,Climaider,RenSti,48397
164752600281593,Joachim B. Olsen,Joachim B. Olsen,47909
128700897207990,Europa-Parlamentet i Danmark,Europa-Parlamentet i Danmark,47306
334318366655425,Facebook,Facebook,46815
309867232515766,Mette Abildgaard,Mette Abildgaard,46545
665216113917321,Rent Hero,These ads ran without a disclaimer,45934
1866357980295379,AkademikerPension,MP Pension,45111
728307113871618,Klaus Riskær Pedersen,Parti Borgerlisten,44391
12787473132,Berlingske,These ads ran without a disclaimer,44156
17428770950,Ræson,Clement Kjersgaard,43429
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,42355
106118147843145,CO2HERO,CO2HERO,41904
167891603415958,Lederne,Lederne,41067
100952085083394,Fremtidens Bæredygtige Landskaber,Fremtidens Bæredygtige Landskaber,40995
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,40730
187552947958482,Dansk Iværksætter Forening,Dansk Iværksætter Forening,40130
114195323371432,Handicap og job,Styrelsen for Arbejdsmarked og Rekruttering,38842
852608988134698,Tikko,Tikko,38136
529124290474705,Nikolaj Villumsen,Nikolaj Villumsen,37605
102589177944454,Fælles handling. Færre sygedage,Beskæftigelsesministeriet,37477
867877683280051,Weekendavisen,These ads ran without a disclaimer,36486
267297590272820,Jakob Ellemann-Jensen,"Venstre, Danmarks Liberale Parti",36435
111394892261429,Morten Messerschmidt,Morten Messerschmidt,36004
990998001028850,Folkekirken Vesterbro,Folkekirken Vesterbro,35963
100161418032681,EcoTree International,EcoTree International,35350
2071183673144991,Pernille Weiss,Det Konservative Folkeparti,35235
111012618953788,Danmarks Iværksætteruge,Dansk Iværksætter Forening,35168
199699810115067,Forbrugerrådet Tænk,Forbrugerrådet Tænk,34644
718327901589937,Mette Thiesen,Mette Thiesen,34365
1704424023182897,Politiken Historie,Politiken Historie,34315
229585537051606,DM Akademikerbladet,Magisterbladet,33619
33510214383,Pia Kjærsgaard,Dansk Folkeparti,33090
124375627628891,SEAS-NVE,SEAS-NVE,32910
12212835049,Syddansk Universitet – University of Southern Denmark,Syddansk Universitet,32613
112664272109384,Skagenfood,These ads ran without a disclaimer,32370
10558703166,Ibyen,Politiken,32272
28159151157,FOF København,FOF København,32002
24352982198,Ida Auken,Ida Auken,30981
113588132144811,Ruben Kidde,Ruben Kidde,30726
461906303966227,Stig Grenov,Kristendemokraterne,30600
69985338410,Jacob Mark,SF,30476
311398977614,Ben & Jerry's,Ben & Jerry's,30456
138978072648,Dansk Vegetarisk Forening - DVF,Dansk Vegetarisk Forening - DVF,30313
153708144675646,PFA,PFA,30284
34290022401,Kristeligt Dagblad,These ads ran without a disclaimer,30037
221746618023209,Arbejdernes Landsbank,Arbejdernes Landsbank,29902
112613428815157,CEPOS,CEPOS,29645
799753056713196,Lars Sandahl Sørensen,Dansk Industri - DI,29505
694774630542305,TryghedsGruppen,TryghedsGruppen,29175
98135994249,Diabetesforeningen,Diabetesforeningen,28986
1830039373940039,Sara Vergo,Djøf,28809
221239504574504,Bo Godt,BeboerBladet,28675
100452371679699,Øropa - Dit indblik i EU,Enhedslisten,28616
104845427961964,Smag på Danmark,These ads ran without a disclaimer,28310
8432708678,Clio,Clio,28285
657491824390744,Spring Copenhagen,Claus Nielsen,27886
2026943437576033,plusimpact.io,plusimpact,27744
532412506910835,HOFOR,HOFOR,27622
67571270393,Red Barnet,These ads ran without a disclaimer,27490
100836634954174,SletDet,Red Barnet,27304
1340640942618234,Copenhagen Contemporary,Copenhagen Contemporary,26949
646746285466931,Nye Borgerlige,Nye Borgerlige,26776
748887235210811,Obton A/S,Obton A/S,26422
429072850823476,Akademikerne - AC,Akademikerne,25640
108099197264611,VoksenVaccination,MSD Danmark,25194
1489320827982521,Simon Emil Ammitzbøll-Bille,Liberal Alliance,24863
359674067377201,BUPL,BUPL,24607
304554445813,Bolius,Bolius,24436
100155351806014,Æra,Ræson,24212
38203759052,GOSH COPENHAGEN,E. Tjellesen,23992
127178647715,Julemærkefonden,Julemærkefonden,23710
145989963343,Lise Müller,Müller Lise,23517
313024569028540,Mino Danmark,Mino Danmark,23348
216311481960,Bill Gates,These ads ran without a disclaimer,23278
56810821434,HK Privat,HK Privat,23123
2798719490153637,Kuzma Pavlov Jensen,Det Konservative Folkeparti,23018
339937129764672,Steffen Sjørslev - Liberal Alliance,Sjorslev Steffen,22994
1427831394175028,Mælken.dk,Mælken.dk,22378
917531384985846,Anne Lawaetz Arhnung Adm. direktør i Landbrug & Fødevarer,Landbrug & Fødevarer,22259
400691640097383,Sine Olsson Heltberg,Olsson Sine Orgaard,22029
1902044243366919,Stop HPV - bliv vaccineret,Kræftens Bekæmpelse,21800
329413910880676,Jan E. Jørgensen,These ads ran without a disclaimer,21659
194452460650048,Global Aktion,Global Aktion,21627
