Page ID,Page Name,Disclaimer,Amount Spent (DKK)
102589177944454,Fælles handling. Færre sygedage,Beskæftigelsesministeriet,16104
314676938743,DM din akademiske fagforening,Dansk Magisterforening,16051
127178647715,Julemærkefonden,Julemærkefonden,15975
676061179094769,Alternativet,Alternativet,15323
100836634954174,SletDet,Red Barnet,15256
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,15019
32416796716,Lindhardt og Ringhof,Lindhardt og Ringhof,14828
304554445813,Bolius,Bolius,14578
98486774725,Djøf,Djøf,14405
125832481208156,Per Husted i Folketinget,Nielsen Per Husted,14334
2186079465008254,Velliv Foreningen,Velliv Foreningen,14204
167891603415958,Lederne,Lederne,14156
408582579294175,UK government,These ads ran without a disclaimer,13906
917531384985846,Anne Lawaetz Arhnung Adm. direktør i Landbrug & Fødevarer,Landbrug & Fødevarer,13881
783709408832368,De Grønne - Danmarks Grønne Liberale Parti,Holm Jonas,13704
359674067377201,BUPL,BUPL,13549
221239504574504,Bo Godt,BeboerBladet,13440
112664272109384,Skagenfood,These ads ran without a disclaimer,13356
108099197264611,VoksenVaccination,MSD Danmark,12802
111012618953788,Danmarks Iværksætteruge,Dansk Iværksætter Forening,12702
683682235062292,Jens-Henrik Kirk,Kirk Jens-Henrik,12395
59143726810,Psykiatrifonden,These ads ran without a disclaimer,12290
376442055780548,"Søren Søndergaard, formand for Landbrug & Fødevarer",Landbrug & Fødevarer,12227
114195323371432,Handicap og job,Styrelsen for Arbejdsmarked og Rekruttering,12168
231609407194100,Isabella Arendt,Kristendemokraterne,12117
253132104886911,Kvisten,Kvisten,11939
329236874385098,Marianne Vind,Marianne Vind,11919
199699810115067,Forbrugerrådet Tænk,Forbrugerrådet Tænk,11880
187552947958482,Dansk Iværksætter Forening,Dansk Iværksætter Forening,11862
128700897207990,Europa-Parlamentet i Danmark,Europa-Parlamentet i Danmark,11835
190576781304993,Realdania,These ads ran without a disclaimer,11786
867877683280051,Weekendavisen,Weekendavisen,11681
387148271761142,WESHAREAALBORG,VisitAalborg,11614
249905415420406,Det Konservative Folkeparti på Læsø,These ads ran without a disclaimer,11581
