Page ID,Page Name,Disclaimer,Amount Spent (DKK)
59143726810,Psykiatrifonden,These ads ran without a disclaimer,19747
32416796716,Lindhardt og Ringhof,Lindhardt og Ringhof,19702
100836634954174,SletDet,Red Barnet,19654
146956228206,Red Barnet Ungdom,These ads ran without a disclaimer,19538
529124290474705,Nikolaj Villumsen,Enhedslisten,19530
671022293105597,Alex Vanopslagh,Liberal Alliance,19164
867877683280051,Weekendavisen,Weekendavisen,19083
127178647715,Julemærkefonden,Julemærkefonden,18843
404683979561081,Bertel Haarder,Haarder Bertel Geismar,18746
98135994249,Diabetesforeningen,Diabetesforeningen,18731
107331721164,Djøf Studerende,Djøf,18609
646746285466931,Nye Borgerlige,Nye Borgerlige,18521
153708144675646,PFA,PFA,18281
530069377053107,Henrik Sass Larsen,Socialdemokratiet,18147
221239504574504,Bo Godt,BeboerBladet,18005
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,17837
114195323371432,Handicap og job,Styrelsen for Arbejdsmarked og Rekruttering,16926
167891603415958,Lederne,Lederne,16900
154415494575789,IDA,IDA,16816
108099197264611,VoksenVaccination,MSD Danmark,16809
359674067377201,BUPL,BUPL,16695
852608988134698,Tikko,Tikko,16447
314676938743,DM din akademiske fagforening,Dansk Magisterforening,16444
304554445813,Bolius,Bolius,16206
408582579294175,UK government,These ads ran without a disclaimer,16110
287306323369,Børnecancerfonden,Børnecancerfonden,16107
112664272109384,Skagenfood,These ads ran without a disclaimer,16066
657491824390744,Spring Copenhagen,Claus Nielsen,15429
17428770950,Ræson,Clement Kjersgaard,15339
1804968669720898,Rasmus Brandstrup Larsen,Larsen Rasmus Brandstrup,15259
100452371679699,Øropa - Dit indblik i EU,Enhedslisten,15165
128700897207990,Europa-Parlamentet i Danmark,Europa-Parlamentet i Danmark,15160
8432708678,Clio,Clio,15097
366165650071333,Enhedslisten Køge,Rolskov Niels,14716
862049590591113,Lærerstandens Brandforsikring,Lærerstandens Brandforsikring,14630
170902079673829,Ørsted,Ørsted,14287
121660121250866,Spar Nord Fonden,Spar Nord Fonden,13831
187552947958482,Dansk Iværksætter Forening,Dansk Iværksætter Forening,13269
748887235210811,Obton A/S,Obton A/S,13182
1995019340791443,Naser Khader,These ads ran without a disclaimer,13082
22030968736,Anima,Anima,13050
111012618953788,Danmarks Iværksætteruge,Dansk Iværksætter Forening,13000
56810821434,HK Privat,HK Privat,12986
104695404710124,Frie Grønne - Danmarks Nye Venstrefløjsparti,"Frie Grønne, Danmarks Nye Venstrefløjsparti",12741
2071183673144991,Pernille Weiss,Det Konservative Folkeparti,12646
199699810115067,Forbrugerrådet Tænk,Forbrugerrådet Tænk,12591
102233134700942,"Store Bøffer, Små Hjerter",Thorkild Holmboe-Hay,12519
98486774725,Djøf,Djøf,12258
12212835049,Syddansk Universitet – University of Southern Denmark,Syddansk Universitet,12227
149239523456,Dansk Fjernvarme,Dansk Fjernvarme,12108
1327403023996368,Hovmand Energi,Hovmand Energi,12034
917531384985846,Anne Lawaetz Arhnung Adm. direktør i Landbrug & Fødevarer,Landbrug & Fødevarer,12029
1902044243366919,Stop HPV - bliv vaccineret,Kræftens Bekæmpelse,11898
924692171033381,"UNHCR, FN’s Flygtningeorganisation","UNHCR, FN’s Flygtningeorganisation",11635
899897623364350,Frederik Damgaard,Damgaard Frederik,11245
529124290474705,Nikolaj Villumsen,Nikolaj Villumsen,11217
799753056713196,Lars Sandahl Sørensen,Dansk Industri - DI,11178
221746618023209,Arbejdernes Landsbank,Arbejdernes Landsbank,10880
127374293943963,HK HANDEL,HK HANDEL,10762
728307113871618,Klaus Riskær Pedersen,Parti Borgerlisten,10682
