Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,Filipe Dos Santos Oliveira,370,9
102523877772289,François Benoy,déi gréng,354,8
234678520217447,"Ministère de l'Agriculture, de la Viticulture et du Développement rural",101STUDIOS,352,7
155913575037227,Mischel Sylvie,These ads ran without a disclaimer,342,4
1933096830349891,Reporter,These ads ran without a disclaimer,322,13
1390745591150821,NRC - Norwegian Refugee Council,These ads ran without a disclaimer,317,121
106781054009320,Ministère de la Protection des consommateurs,These ads ran without a disclaimer,309,1
441313569220539,Charles Goerens,Kevin Schoos,308,14
939738696158447,Chargy,Creos Luxembourg,300,3
338630389482201,Luxemburger Wort,Luxemburger Wort,300,13
181924628560212,SumOfUs,These ads ran without a disclaimer,286,2
450522351807266,CARE Luxembourg Asbl,Frédéric Haupert,276,31
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,Ministère de l'Égalité entre Femmes et Hommes,263,5
112235777007810,klyme,Nicolas Robert Georges Hentgen,258,7
390962737619967,Piraten Gemeng Péiteng,These ads ran without a disclaimer,257,26
143237373145276,Marc Spautz,These ads ran without a disclaimer,254,8
1573291612962183,ANIL,Anne-Marie Hanff,250,31
544194668967361,Piraten Gemeng Déifferdeng,These ads ran without a disclaimer,248,21
612615252203041,Ville de Dudelange,These ads ran without a disclaimer,241,2
590715168017939,Martine Hansen,CSV,240,7
291062361740576,Eco-Vert,These ads ran without a disclaimer,228,2
141480992729926,Piraten Bezierk Osten,Frères Daniel,227,4
1584247274989811,Alain Weins,Alain Weins,223,14
119283008140727,Pela Case,These ads ran without a disclaimer,223,59
1695889637360770,Hempire,These ads ran without a disclaimer,223,21
203197030603239,8 Billion Trees,These ads ran without a disclaimer,222,29
280875378609326,DP - Demokratesch Partei,These ads ran without a disclaimer,219,5
2030837110465431,World Of Nordic,Schmit Kevin René Albert,207,14
462665857488803,Vesali Amir,Amir Vesali,206,26
1741186706147215,MMTP: Ministère de la Mobilité et des Travaux publics,101Studios,205,7
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,Carole Deunet,200,6
233432826842224,Plooschter Projet,These ads ran without a disclaimer,200,1
105699367875819,Mieterschutz LU / Défense des locataires LU,Jean-Michel Campanella,199,8
107063500775615,Partei,Jeff Cigrand,196,8
47216059667,LSAP,These ads ran without a disclaimer,195,7
119259865347592,Réimecher Piraten,Frères Daniel,191,2
2237071006551353,Mouvement Patrimonial,Mouvement Patrimonial,191,13
56016549775,CSV,These ads ran without a disclaimer,187,6
328921041030393,La revue économique,These ads ran without a disclaimer,186,17
1642790472662830,Passerell,Catherine Anne Sophie Warin,184,3
1033648053366381,Claude Wiseler,These ads ran without a disclaimer,180,3
213131828890955,101Studios,101STUDIOS,180,2
107063500775615,Partei,PARTEI,177,8
757812257889290,Gemeng Mamer,AC Mamer,176,2
234678520217447,"Ministère de l'Agriculture, de la Viticulture et du Développement rural",Landwirtschaftsportal,176,5
103906184488694,Rthell,d'PARTEI,168,1
118614251515164,CSJ - Chrëschtlech-Sozial Jugend,CSJ - Chrëschtlech-Sozial Jugend,165,9
971979619558895,MEC asbl,These ads ran without a disclaimer,163,1
478314385062,Ford Belgium,These ads ran without a disclaimer,161,1
120928434781983,Comité pour une Paix Juste au Proche Orient,Martine Kleinberg,160,12
734660406636837,Roy Reding,These ads ran without a disclaimer,155,7
209584699504583,DP Walfer,These ads ran without a disclaimer,152,22
502788950262785,Frank Diderich,Frank Diderich,152,3
115916035102253,ADR  - Alternativ Demokratesch Reformpartei,These ads ran without a disclaimer,150,1
275080130713,LCGB,LCGB,150,1
231839814316073,Dan Kersch,Dan Kersch,146,10
1598902586805122,Esch2022,These ads ran without a disclaimer,145,1
527351247377965,European Committee of the Regions,European Committee of the Regions,145,121
1584247274989811,Alain Weins,These ads ran without a disclaimer,144,14
141366725876424,European Greens,These ads ran without a disclaimer,142,4
73144437219,Gary Diderich,Gary Diderich,138,3
2237071006551353,Mouvement Patrimonial,These ads ran without a disclaimer,138,6
186850465279206,ADR Norden,These ads ran without a disclaimer,138,1
1711463605805326,Inter-Actions / MDJ AMIGO,Jenni Toepke,138,1
729627343834501,Kialo,These ads ran without a disclaimer,136,323
1416482758579918,Jean-Laurent Redondo,Jean-Laurent Redondo,135,9
408582579294175,UK government,These ads ran without a disclaimer,134,6
224076477722454,YUYU Bottle,These ads ran without a disclaimer,133,4
134418416573300,déi Lénk Déifferdeng,Gary Diderich,129,3
0,Instagram User 7388993865,These ads ran without a disclaimer,124,11
1536575976607805,Nemme Mat Eis Asbl,These ads ran without a disclaimer,123,2
163909507424327,Christopher Lilyblad,Christopher Lilyblad,120,1
109092713784592,Lamesch Suez,These ads ran without a disclaimer,120,7
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,119,70
171972036995630,Piratepartei Gemeng Diddeleng,These ads ran without a disclaimer,119,15
387000121769174,Europa-Union Luxemburg,Stefan Kohler,118,18
1505184473073824,Give Us A Voice Lëtzebuerg,Give Us A Voice Lëtzebuerg,117,4
