Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
178362315106,European Parliament,European Parliament,803199,863
39435457457,Greenpeace France,Greenpeace France,759289,1517
110264154014366,Les Gargouilles,Les Gargouilles,528681,205
1981871332106127,Programme pour la Transition Energétique,Transition Energie,357919,3405
179106818789009,Facebook,Facebook,354816,3
122037308191612,Make.org,Make.org,317697,924
886390848092524,TGV INOUI,These ads ran without a disclaimer,301901,116
314443337102,GRDF,GRDF,276511,179
173159234432,UNICEF France,UNICEF France,268753,609
480418118654568,E.Leclerc,E.Leclerc,256108,109
335868279790722,CIWF France,CIWF France,243887,405
1854457991285846,Eco Energie,Transition Energies,226172,1873
112169710179612,L'innovation Responsable,Tom Gilbert Marc Raynaud,223424,1988
107898832590939,European Commission,European Commission,219420,250
426832457756357,Mes Soutiens,ORIXA MEDIA,211415,5530
1456586344652734,MAIF,MAIF,204392,1015
265420476920,Médecins du Monde France,Médecins du Monde France,203025,5717
112547358788607,CCFD-Terre Solidaire,CCFD-Terre Solidaire,193557,3094
392341217527576,Gouvernement,Gouvernement,189070,375
840901192703231,Groupe Identité et Démocratie - France,Groupe Identité et Démocratie - France,149148,437
285190805468917,Meilleur Placement,Philippe Jaen Aime,147963,54
176105152520900,Carrefour,Carrefour,143484,461
108943410672988,WeSpring,These ads ran without a disclaimer,143037,671
1329380840472696,Panneaux solaire,Conseil Solaire,141483,754
381564575243650,Région Auvergne-Rhône-Alpes,Région Auvergne-Rhône-Alpes,140107,41
312006269003808,ilek,ilek,139127,475
14053295787,Oxfam France,Oxfam France,138078,3757
108824017345866,Facebook,Facebook Inc.,133625,30
707656492726028,Le Crédit Malin,These ads ran without a disclaimer,132564,11
155492235848,30 Millions d'Amis (Officiel),30 Millions d'Amis (Officiel),123381,1
165039663531531,Minecraft,These ads ran without a disclaimer,115076,70
528000693909356,Rôle Energies,Rôle Energies,106395,70
1815507421886752,Primes Éco 2021,Eco home,103443,1008
122037308191612,Make.org,Fondation Agir Contre l'Exclusion,99827,18
1539166179460431,Isolation des combles,These ads ran without a disclaimer,99140,217
1022379694635099,Primes Energie France,Energie FRANCE,98928,549
433170297221149,2 Min Ecologie,These ads ran without a disclaimer,98841,226
583755248443877,L'École Française,These ads ran without a disclaimer,97510,22
9025047571,Amnesty International France,Amnesty International France,95362,1475
100812558525125,Bon Plan Habitat,Transition Energie,94603,10
1863804550583555,Iso Service,Alon Tebeka,92358,129
