Page ID,Page Name,Disclaimer,Amount Spent (RON),Number of Ads in Library
1657273667820719,USR București,USR București,66505,161
150967671609795,Victor Ponta,PRO România,66417,33
174291436685142,Gabriel Valer Zetea,Coalitia pentru Maramures,65847,67
309525925854654,Cristian Chirteș,Cristian Chirtes,65268,262
602280189818804,Mihai Goţiu,Gotiu Remus Mihai,64874,180
106620659474852,Tanase Stamule,Tănase Stamule,64405,123
107543802616247,Dacian Cioloş,PLUS,64338,13
2380746071976634,USR Județul Hunedoara,Partidul Uniunea Salvați România,63397,160
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,62312,14
298765223557508,Ionel Arsene,Ionel Arsene,62286,156
412473149183859,PSD Judetul Constanta,PSD Filiala Constanța - 11200020,62165,40
678840505584990,PNL Bucuresti,PNL Bucuresti,62162,125
185088338177066,PNL IASI,PNL IASI,60660,438
528408150903547,Stelian Ion,USR Constanța,60655,189
105522854133423,Radu Panait,Alianta USR PLUS Satu Mare,60253,56
1514760912172050,Marius Bodea,USR,59093,330
160389004118249,Iulian Dumitrescu,PNL Filiala Prahova,58877,62
654183651296677,Mircea Diaconu,Alianta UN OM,58755,25
288202044934655,Rasaliu Marian,PSD Brasov,58535,126
121759081312663,Cătălina Bozianu,PMP Prahova,58508,265
731035500293728,Siegfried Muresan,Siegfried Muresan,57757,31
795022763862618,Viorel Cataramă,Handyman SRL,57712,147
183575085437327,Ionut Catalin Stancu,Uniunea Salvați România - USR,57267,36
984794278331401,Ionel Palăr,Branding Digital Strategy,56933,73
100281298230215,Alianța USR PLUS Ilfov,"Partidul Libertate, Unitate și Solidaritate",55665,150
543681502428738,PSD Dolj,PSD Dolj,54311,85
1549073781993174,PNL Sector 5,PNL Sector 5,54309,351
182546041796641,Costel Alexe,Partidul Naţional Liberal,54210,229
159850657881928,Costel Fotea,Costel Fotea,54081,76
1065353630146161,Ionut Simionca,Ionut Simionca,53904,193
220579784732993,Daniel Buda,Buda Daniel,53716,1549
1434447230188071,Rizia Tudorache,Partidul Mișcarea Populară Ilfov,53653,71
1780528075550888,USR Vrancea,Uniunea Salvați România - USR,53596,139
