Page ID,Page Name,Disclaimer,Amount Spent (RON),Number of Ads in Library
102948414847493,Monica Iacob-Ridzi,Monica Iacob-Ridzi,541,11
106690714562345,George Catean,George Catean,540,10
575881099537222,PNL Popesti-Leordeni,These ads ran without a disclaimer,540,4
103220937838853,Florin Hrebenciuc,Florin Alexandru Hrebenciuc,540,9
1160922100613272,Bende Sándor,Gyergyó Területi RMDSZ,540,9
937248019750800,Dinu Socotar,Partidul Social Democrat filiala Mureș,539,3
318661262176503,"Dep. Județului Arad pentru Mediul de Afaceri, Comerț și Antreprenoriat",These ads ran without a disclaimer,539,6
1626474160775999,Femeile se implica,These ads ran without a disclaimer,539,4
108991850901502,Plesa Radu Marius,Plesa Marius,538,8
104461411124740,Radu Fărcaș România Cluj Floresti,These ads ran without a disclaimer,538,7
333394503719657,Bistrita Express,Bistrita Express,538,14
330090813729366,Vasile Gliga,Vasile Gliga,538,1
100175981624342,Koronavírus-infó - Erdély,These ads ran without a disclaimer,538,3
434904053541193,Mihail Genoiu,PSD DOLJ,537,15
111706550617008,PSD Bala,PSD Bala,537,9
158402677555776,European External Action Service - EEAS,These ads ran without a disclaimer,536,5
1533260410268341,Primaria Poiana Teiului,Media PR Grup,536,14
112363250518629,Cristina Nasoi,USR Neamt,536,3
232486986822622,Cseke Attila,Heus Media Service,536,5
340770676112984,PMP Galați,These ads ran without a disclaimer,535,4
494711030543606,Beraria H,These ads ran without a disclaimer,534,4
102069831368112,Marin Florin Litoi,Marin-Florin Litoi,533,7
104882274569583,Achim Robert,Achim Robert Vasile,533,14
100804905055443,Ciprian Mocanu,Ciprian Mocanu,532,4
350888674962511,European Investment Bank,These ads ran without a disclaimer,532,2
108099250769004,DanPentruStefanesti,USR Ilfov,531,3
104415037763808,Ionuț Rusu,VRAI,530,18
433649136834565,PSD - Curtici,PSD Arad CMF21200019,530,9
110788310642130,Emanuel Zanoschi,PLUS Iași,530,4
100379054876941,PRO România Gherla,Megasoft Systems,530,15
101703611635785,PREDA Radu,Radu Preda,529,29
113631860020755,Andrei Stan,Andrei Stan,529,17
100821681521765,Nistor Tatar,Nistor Tatar,529,9
227676960679243,Iulian Sirbu,Loopaa,529,5
106040737635269,Igrow - Marian Bucur,Petrisor-Marian Bucur,528,9
342162172507672,Youth Can Do It,Cosmin Lungu,528,6
387590311429497,PER Municipiul Săcele,Damian Aurelian,528,3
643721659594029,Viorel Demian,Wallenthal Kino,528,10
282970895585094,USR Glina,USR Ilfov,526,5
252645211745994,Traian Bodea,Adsome,526,13
1305418182809740,Csoma Botond,Diversity Advertising,526,13
102028844949340,PNL Homorod,PNL Brasov,526,2
371511120359966,USR PLUS Jucu,These ads ran without a disclaimer,526,7
103107244538450,Cristian Dan Pasca,Teodora-Maria Pasca,525,8
732931243476469,PSD Olt,Partidul Social Democrat,525,4
1910307952614121,Cristian Bulfon,Cristian-Laurentiu Bulfon,525,10
1240320639321257,Heius Lucian Ovidiu,Agentia de publicitate Confort Media (Aldo Detail Direct SRL) pentru Partidul National Liberal - Filiala Hunedoara,525,1
300250564197703,Tonomatul cu știri,These ads ran without a disclaimer,525,3
106258724252308,Vasile Pacșa,Vasile Pacșa,524,12
200783907535107,CityHealth,These ads ran without a disclaimer,524,10
724374504307994,Vladimir Petruț,Vladimir Petrut,524,20
104395077754792,Pârv Mihai,Mihai Parv,524,11
198394520717736,Bălan Florin,Balan Florin,523,5
1208991195806796,PSD Botoșani,These ads ran without a disclaimer,523,1
1772039399702006,Alternativa Dreapta Galati,Naltabar Ionut,523,4
1557562174501195,PNL Suceava,These ads ran without a disclaimer,523,21
384649835421367,News Track,Newstrack.ro,523,5
241573062569469,Tefal,These ads ran without a disclaimer,522,2
953278791374631,Mihai Macaveiu,Turcanu Catalin Nicolae,522,2
654183651296677,Mircea Diaconu,DGI Multimedia Design,522,2
501525003586271,Natură Cultură Societate civilă,These ads ran without a disclaimer,522,2
1733127303572333,PNȚCD TIMIŞ,Valentin Moldovan,521,13
114251270211131,Inași Ionuț-Denis,USR Timiș,521,8
1682907338653630,Erdélyi Magyar Szövetség Sepsiszentgyörgy,EMSZ,521,11
150527751674751,Greens/EFA in the European Parliament,These ads ran without a disclaimer,520,10
119288846415743,Aurel Bira,Aurel Bîra,520,6
107472810795416,Partidul Verde București-Ilfov,These ads ran without a disclaimer,520,1
113943953774168,Pintea Tiberiu - Candidat Independent Primaria Viile Satu Mare,Pintea Tiberiu,520,3
656550197723203,Asociatia Mod of Life,Catalin Mihailescu,519,11
103997937885331,Alianța pentru Unirea Românilor Timiș,Simion George-Nicolae,519,6
495866263807900,Editura Cetatea de Scaun,Margarit Dan,519,7
102659588029379,Alianța pentru Unirea Românilor Arad,Simion George-Nicolae,518,6
215328865181171,Borboly Csaba,These ads ran without a disclaimer,518,4
103481418092292,Iancu Mircea,PRO România Dâmbovița,518,7
433108743884486,ALDE Orașul Târgu Ocna,Plătită de Partidul Alianța Liberalilor și Democraților - ALDE,518,1
331466273180,PSD Oltenita,Partidul Social Democrat FILIALA CALARASI,517,1
100388638298973,Alianța pentru Unirea Românilor Bacău,Simion George-Nicolae,517,6
739546396098237,Rompetrol - KMG International,These ads ran without a disclaimer,517,1
102414657846952,Mihai Mihailescu,USR Argeș,517,3
189728367297,WWF-Romania,These ads ran without a disclaimer,517,5
100179444924565,Ady Hobjilă - USR Botoșani,Petru-Ady Hobjila,516,9
106730011213508,Valeriu-Ciolan Nicolae,Nicolae Valeriu Ciolan,516,10
115915593115876,Delicatessen,These ads ran without a disclaimer,516,3
119580058093959,Andy Szekely,These ads ran without a disclaimer,516,3
116936411831925,Partidul Miscarea Populara Sector 3,These ads ran without a disclaimer,516,10
100589677963837,Petrovan Ionut,Petrovan Ioan-Marian,516,22
1421891964711270,Valerian Vreme,Valerian Vreme,515,6
111692536997405,USR Matasari,Partidul Uniunea Salvati Romania,515,6
863812627086752,Rosu Vasile,Vasile Rosu,515,12
171269757089977,Radu Sidea,SIDEA RADU-IULIAN,515,14
1376982875659603,Aciocarlanoae Andrei,Atelierul Media,514,4
1582289078750093,Topan Gelu,Topan Gelu,514,10
560400854158794,Antoneta Ioniță,TrueZone Media,514,6
994143390723921,Cristina Coroblea,Cristina Coroblea,514,11
100209028508727,Timpul prezent,Matei-Marcel Martin,514,28
108426703906567,PLUS Baia Sprie,PLUS Maramureș,513,4
434422389926419,PNL Sector 2,These ads ran without a disclaimer,512,15
126060760828576,24Bottles,These ads ran without a disclaimer,512,6
1983789615225849,Partidul Adevăr și Dreptate - PAD - România,These ads ran without a disclaimer,512,3
2233378443540927,Pamflet de Constanța,These ads ran without a disclaimer,511,32
106653721036545,Dumitru Caragheorghe,USR Constanța,511,3
379906119021669,Novák Csaba Zoltán,These ads ran without a disclaimer,510,6
992108164147003,PNL Orăștie,Agentia de publicitate Confort Media (Aldo Detail Direct SRL) pentru Partidul National Liberal - Filiala Hunedoara,510,4
425879067570544,Florica Chereches,ETIS Design,510,1
446198175563566,Marilen Gabriel Pirtea,ETIS Design,510,1
209340592846640,Andrei Voicu Hipnotistul,These ads ran without a disclaimer,510,1
102531931541629,Mihaela Duta,Mihaela Duta,510,25
361778553992812,Bârgău Marian,These ads ran without a disclaimer,510,11
821269587938298,Alina Gorghiu,Partidul Național Liberal filiala Timiș,510,8
101016455042060,Birtalan István,RMDSZ Maros megye,510,9
582397865304291,Cupşa Ioan,ETIS Design,510,1
105522727964400,Ecologistul,Elena Vrabie,509,5
101599035236192,SOV Consulting,SOV Consulting,509,2
131027970242795,Capital România,These ads ran without a disclaimer,509,4
151432455549316,USR Novaci - Gorj,Partidul Uniunea Salvati Romania,508,6
743295509104193,CARJA Cosmin Ioan,Uniunea Salvati România - filiala județeană Arad,508,7
840140639407583,Eugen Pîrvulescu,These ads ran without a disclaimer,508,6
2399205093469033,Irish Tax Agency,These ads ran without a disclaimer,507,2
102978931191863,Alianta pentru Unirea Romanilor - Hunedoara,Simion George-Nicolae,507,6
111325420714200,PNL Maracineni,Iuliana Lupuleasa,507,3
760675273992136,Federovici Doina - Președinte PSD Botoșani,These ads ran without a disclaimer,507,3
106974924195814,Ioan - Virgil Stuparu,These ads ran without a disclaimer,506,11
382073785979317,Andrei Şomoi,Şomoi Andrei-Alexandru,505,12
104144904296553,Daniel Predoiu,Valentin Daniel Predoiu,505,6
105628137883032,Ionașcu Laurențiu Irinel,ALDE Buzau,505,7
545080748992528,Ciprian Ciucu,These ads ran without a disclaimer,505,7
181221645364365,Carmen Avram,Carmen Avram,505,3
653829231700467,Mihai Leontescu,Leontescu Mihai,504,18
2237102673235835,PLUS Dolj,These ads ran without a disclaimer,504,6
101474661428581,Partidul Neamul Romanesc - Organizatia Navodari,These ads ran without a disclaimer,504,4
108361724156884,Alianța pentru Unirea Românilor Gorj,Simion George-Nicolae,504,5
163076814300722,Romania1.ro,These ads ran without a disclaimer,504,3
100411058119293,PRO România - Organizația de tineret Timiș,SAINO DIGITAL MARKETING SRL,504,4
189021242003131,One Milion Subscribers,Bogdan V. Draghici,503,9
107853774339927,Sorin Ciobanu,Partidul National Liberat - Filiala Brasov,503,5
371653372928133,Panait Alin,Radu-Alin Panait,502,20
1585170161775563,PSD Galati,These ads ran without a disclaimer,501,2
113029233808588,Alegeri Locale - Apahida 2020,Marius Corîci,501,7
2060602467532601,PNL Bals,PNL Olt,500,4
221135531634848,Sebastian POPA,Sebastian Popa,500,1
103311624932261,Andreea-Nicoleta Băilă,Partidul Ecologist Roman - cod mandatar 11200031,500,2
101045811669923,Forumul German Sighișoara,Rudolf Poledna,500,1
107727294053001,PRO România Sânmartin,Adsome SRL,500,14
243766206829628,Constantin Fierăscu,PLUS Teleorman,500,1
2314247368823226,Adelin Rotariu,DAC MEDIA ADVERTISING,500,1
101853814506730,Centre mixte transfrontaliere,Istratie Florina,500,1
112699777171970,Kroncast,Alexandru Anghel,500,1
719780158165645,Claudiu Daniel Catana,Startupbusiness,500,1
104927287719165,Dorian Curcanu,PLUS,500,1
107604304392270,Gianina Costea,Gianina Costea,500,7
2332034217029587,USR Huși,Alianța USR PLUS,500,1
109774647451977,OFA UGIR,Mirabela Miron,500,1
1746422882243817,PNL Gilau,TMK Research Services,500,1
545556542249685,PER Oras Eforie,Carlos Boşogeanu,500,3
103676307886732,Olt Media TV,Ionut Cristescu,500,2
1761072584201728,"Camera de Comerț, Industrie și Agricultură Botoșani","Camera de Comert, Industrie si Agricultura Botosani",500,1
1048023298562392,BacauNews,Simona-Laura Pichiu,500,1
941005572643851,Lucian Caprariu,These ads ran without a disclaimer,500,1
957697044264281,Partidul Bunului Simț=Partidul Normalitații Internaționale,These ads ran without a disclaimer,500,15
105709444658355,Subprefect Ana-Maria Ciaușu,PNL Olt,500,3
644108472676492,Violeta Alexandru,ETIS Design SRL,500,2
105999601301943,Ana Cătăuță,Ana Cătăuță,500,1
217864789122860,PLUS Roșiorii de Vede,PLUS Rosiorii de Vede,500,3
157305331646935,Aripi de Înger,Lazăr Laurenţiu,500,1
106891711207280,Cezar Cristian Vizitiu,Partidul Miscarea Populara,500,5
110283463895399,Alexandru Puscas,Partidul Verde,500,10
1531103237142501,Sorin Lacatusu,Lacatusu Sorin,500,1
109764447096365,Gheorghe Sârbu,George Sarbu,500,2
1376982875659603,Aciocarlanoae Andrei,Andrei Aciocarlanoae,500,2
108781027617703,Nicolas Stroe consilier pentru Constanta,Discover Design,500,3
137220323046736,Marian Petrache,Marian Petrache,500,5
382073785979317,Andrei Şomoi,PLUS Arad,500,15
102964848246351,Vetuța Stănescu,Agentia de publicitate Confort Media (Aldo Detail Direct SRL) pentru Partidul National Liberal - Filiala Hunedoara,500,1
265680850758588,PLUS Bistrița-Năsăud,PR&Media Atelierul de imagini,500,11
289453307765055,Vlad Costea,"Candidat Independent Vlad Costea, CUI AEP 14200064, Circumscripția Electorală Nr. 23 Ialomița",500,1
101820941648859,Nistor Ovidiu,Partidul Verde,500,9
582434518754787,Radu Boloveschi,Partidul Uniunea Salvati Romania,500,1
101255241694636,Partidul Oamenilor Liberi - POL Cristian,Partidul Oamenilor Liberi,500,2
404903797002546,USR Sântămăria-Orlea,Uniunea Salvați România - USR,500,1
105465701234042,Pro România Nucet,PRO România Dâmbovița,499,8
904147399649934,Active4Sibiu,These ads ran without a disclaimer,499,11
107003557556889,Știri Locale,STIRILOCALE.EU,499,3
137317717027118,Sirbu Dani,Peppermint Agency API SRL,499,4
1510619875899132,Octavian Partac,USR Neamt,498,3
382587621933901,PNȚCD Iași,Ion Motea,498,6
792908570826773,Stiri de Galati,These ads ran without a disclaimer,498,2
101060748272522,Politica Dezastrului,Politica Dezastrului,498,31
104280298126943,Raluca Maria Marcu,Raluca Maria Marcu,498,19
106977887628728,Alianța pentru Unirea Romanilor Ialomița,Simion George-Nicolae,498,6
164777633914078,Gabriel Vasile Harabagiu,These ads ran without a disclaimer,498,7
108047477699355,AgigeaLazu.info,Gabriel Ciobanu,497,1
348610102203573,Radu Miruţă,Uniunea Salvați România,497,7
108912420833522,Eduard Koler,Mihaly Szilagyi,497,11
247959255375057,Magyarország Főkonzulátusa Csíkszereda,These ads ran without a disclaimer,497,1
680648219258627,Lucian Achimas,Cristian-Lucian Achimas,497,22
352476732097797,Viorel Tamba,USR Bacău,496,5
111936040217493,USR Sinaia,USR Prahova,496,3
104781517922430,"Re:Start România, Filiala Buzău",Cristian Chitei,496,1
194832771045182,Sergiu Papuc,These ads ran without a disclaimer,495,7
107617090778783,Folescu Cornel,MINCULEASA CLAUDIU-NICOLAE,495,7
109219267650851,Patriciu Achimaș-Cadariu,Zbabing,495,3
255044258387148,PRO România Ilfov,Mircea Ionita,494,54
116939713483940,Ropan Mihai - Un primar pentru dezvoltarea Coltaului,Mihai Ropan,494,7
338162706246081,I Love Buhusi,I Love Bacau,494,15
863174443869979,USR Mioveni,Adrian Cîrstea,494,2
1665056826841975,Anisoara Stanculescu,These ads ran without a disclaimer,493,17
203522683752565,Stelian Bujduveanu,These ads ran without a disclaimer,493,4
1081443441969434,Maricel Popa,These ads ran without a disclaimer,493,10
107888227698204,Șargan Iosif,PSD Timis prin Code ui,492,12
105018444622826,Partidul Puterii Umaniste - Social Liberal Poarta Alba,PPU-SL Poarta Alba,492,4
113851543321518,Mario De Mezzo,Tepes Catalin-Gheorghe,492,9
186958144977523,Adrian Nicolae David,These ads ran without a disclaimer,492,3
1746545138976406,Dan Ghiurco,These ads ran without a disclaimer,491,6
160584494122619,Daniel Cîrjan,These ads ran without a disclaimer,491,11
2031709537086928,Știri la secundă,These ads ran without a disclaimer,491,3
104024201157680,Alianta pentru Unirea Romanilor - AUR Lumina,Alexandru Simion,491,8
383392702202395,USR Lunca Ilvei,USR Lunca Ilvei,491,9
100137264933494,Violeta Moraru,These ads ran without a disclaimer,491,13
117472339887099,Cristian Gentea,PSD Arges,491,4
346460776086017,USR Beclean,USR Beclean,490,11
114292950362630,Rodica Boancă - un Primar de AUR pentru Slobozia,Rodica Boanca,490,4
339973510194748,Departamentul pentru Turism - Partidul Social Democrat,Partidul Social Democrat,490,1
1574527219528594,Dinu Constantin,Constantin Dinu,490,16
356582831057941,Cristian Matei,These ads ran without a disclaimer,489,3
115672156640835,Cătălin Stochiță Independent,These ads ran without a disclaimer,489,14
103696934629151,Alianța pentru Unirea Românilor Vâlcea,Simion George-Nicolae,489,4
109603390834510,PRO România Podari,Oltenia Star,489,18
104423064312546,Horia Țuțuianu - Împreună Dezvoltăm Județul Constanța,These ads ran without a disclaimer,488,15
422557637930206,Orosanu Marius-Leonardo,Oroșanu Marius-Leonardo,488,8
124783585715703,Andrei Leonte Ghiață,Andrei-Leonte Ghiaţă,488,4
143552105745124,Vegis,These ads ran without a disclaimer,488,1
314527482435112,Eforie PMP,SEO VISION,488,5
1786604448275491,Reporteris,These ads ran without a disclaimer,486,5
106999577535559,Pentru o Dunare cu apele curate,Cismart Engines,486,19
104878374623715,Erdélyi Magyar Szövetség Karcfalva és Jenőfalva,Erdélyi Magyar Szövetség,486,7
105522727964400,Ecologistul,These ads ran without a disclaimer,486,5
104755957723388,PLUS Târgu Bujor,"Partidul Libertate, Unitate și Solidaritate",485,4
156966332768002,"Robert-Flavius Sajgó, MA",Robert Flavius Sajgó,485,14
820758587943177,Iulius Bedea - Primar Simeria,Bedea Iulius,485,4
1783172358461946,USR Dorohoi,USR Botoșani,485,1
1668078800161073,Alexandru Gâdiuță,These ads ran without a disclaimer,485,4
1744237159127703,Elvis Grigorovici,Elvis Grigorovici,484,9
112792630517232,Cristian Cimpanu,USR Botoșani,484,3
434422389926419,PNL Sector 2,Partidul Național Liberal - Filiala Sector 2,484,2
380732082049106,Erdélyi Magyar Nemzeti Tanács,Erdélyi Magyar Nemzeti Tanács,484,5
149371012371397,Newsweek Romania,These ads ran without a disclaimer,483,1
107371137344664,Împreună Pentru Moldova - Vrancea,Sorin Mădulărea,483,9
106133104358809,TELESHOPTV.ro,These ads ran without a disclaimer,483,1
1631381097148097,PNL Gherla,TMK Research Services SRL,482,3
1236451333063726,Ingrid Sofia Höhr,Ingrid Sofia Höhr,482,4
108123574341928,Rareș Cătălin Ștefănie,HD24.ro,482,4
224020515714118,Paula Corbu,These ads ran without a disclaimer,481,2
788960034452071,Potápi Árpád János,These ads ran without a disclaimer,481,3
111998817311167,Doru Traistar - Consiler Local,Doru Traistar,481,11
109245440980093,Alexandru Marcoci,Alexandru Marcoci,481,18
118721813262259,Larisa Claudia Coste,HD24.ro,481,3
1459378114299373,LOJIGAN Dorin Nicolae,Adrian Jurca,481,5
1585503788418339,Felix Cozma,Felix Cozma,480,20
278318719032543,Barti Tihamér,These ads ran without a disclaimer,480,8
1473038926165383,Generația PLUS,PLUS,480,2
1460571894265803,USR Sector 5,These ads ran without a disclaimer,480,7
102016861712700,Banciu Daniel,Lollipop Advertising,480,9
100432621502823,Larisa Barbarasa,These ads ran without a disclaimer,479,7
112479373774600,Marius Constantin Budăi,These ads ran without a disclaimer,479,3
107929894069275,Alianţa pentru Unirea Românilor Cluj,Simion George-Nicolae,478,7
2062357400451089,USR Crevedia,USR Dâmbovița,478,13
110827020832011,Furdui Lucian,Lucian Furdui,478,6
102981787729246,USR - Vârfu Câmpului,Ovidiu Midvighi,477,16
618447572134017,Argentina Loredana Tonca,ABSOLUT MEDIALIKE PRODUCTION SRL,477,3
127001841427742,Cristian Sauciuc,Sauciuc Cristian,477,9
473666386032244,Gabriel si Genoveva Gorcea - Official,These ads ran without a disclaimer,477,5
107483111173131,Cristian Sefer,ROGER GRAPHIC DESIGN,476,3
1499256023623621,Lumea Presei,Lumea Presei,475,9
106739977698088,Marius Eugen Ostaficiuc,These ads ran without a disclaimer,474,7
199635566715473,Claudiu Manda,These ads ran without a disclaimer,474,1
101813931439611,Gheorghe Tudosoiu,Gheorghe Tudosoiu,474,5
110963307360145,ADN Bumbesti-Jiu,Ivanisi Nicolae,473,12
195140568018525,PRO România București Sector 3,These ads ran without a disclaimer,473,5
471608199716583,Universitatea de Medicina si Farmacie "Carol Davila",These ads ran without a disclaimer,472,2
1473834012883264,PNL Balotesti,Mirela Florescu,472,3
159890030696028,PNL Timiş,PNL Timiş,472,17
561082167391564,Ion Lungu,These ads ran without a disclaimer,472,6
531624910567030,Andrei Cosuleanu,These ads ran without a disclaimer,471,5
243961986020807,Turos Lóránd,Lorand Turos,471,10
404509656755644,USR Șieuț,USR Șieuț,470,9
1454404311541247,altexpress.ro,Maher Tarazi,469,10
1293998210733021,Gânduri politice cu Laurențiu Pleșca,Laurențiu Pleșca,469,8
354052508000510,Dan Ciotoi Generic,These ads ran without a disclaimer,469,1
112365747213795,Petrisor Constantin,Petrisor Constantin,469,21
586281345388011,Alexandru Ciochină,Alex Ciochina,469,4
2188819711444995,USR Sântana,Uniunea Salvati România - Filiala Județeană Arad,468,10
103579871470375,Teo Hira,Partidul Național Liberal filiala Constanța,468,4
100834088446939,Mihăiță Lupulică,These ads ran without a disclaimer,468,7
458397014327039,Adrian Mocanu,These ads ran without a disclaimer,467,6
112220080611617,Partidul Verde Organizatia Judeteana Iasi,60fpsstudio,467,1
2368740899858517,Asociația Pro Apahida,Asociația Pro Apahida,467,3
121265151226126,Norica Nicolai,These ads ran without a disclaimer,466,4
1341038645918998,Sabotorii,Sabotorii Gorjului,466,12
101121004988151,Dumitrescu Daniel,Partidul Național Liberal filiala Constanța,466,4
116193870112852,Bogzoiu Claudiu Marian,Bogzoiu Claudiu-Marian,465,6
100147408101065,Ancuța Elena Suciu,ABSOLUT MEDIALIKE PRODUCTION SRL,465,1
101020878374313,Marius Munteanu,Plus Brașov,464,16
265781023507354,Facebook London,These ads ran without a disclaimer,464,1
757155141064687,Ionuț Vulpescu,These ads ran without a disclaimer,464,3
104844421119382,Anca Elena Bălășoiu,These ads ran without a disclaimer,464,25
339450220069932,Plicuşor Ban,These ads ran without a disclaimer,463,5
440902859280970,GodSaidManSaid,These ads ran without a disclaimer,463,24
419754151479935,Sorin Cornilă,Sorin Cornilă,462,8
106495464294508,Ana-Maria Vintila,Ana-Maria Vintila,462,3
2785833164778875,MAKAB,MAKAB,462,3
103616728211536,Cristian Dumitrescu - PPU-sl,Maria Elena Manu,462,27
213019223461605,Timur Alex,CASIOMA CREATIVE DESIGN S.R.L.,462,2
984794278331401,Ionel Palăr,These ads ran without a disclaimer,461,8
1447073538898175,ALDE Iasi,ALDE Iași,461,15
100973741739349,Constantin Daraban,Constantin Daraban,461,5
421366421263777,Marius Ioan Marginean,PNL Mures,460,14
687589164666184,MasterClass,These ads ran without a disclaimer,460,27
217477648591232,Împreună pentru Vladimirescu,Kempf Francisc,460,7
1709141819306271,Cosmin Buruc,Buruc Cosmin-Alexandru,460,8
2418869954806667,PIRAT Caransebes,These ads ran without a disclaimer,460,4
101210641546881,Alianța Pentru Unirea Românilor Suceava,Simion George-Nicolae,460,5
101267261703103,Politica in Arges,PSD Arges,459,3
105045301157642,Alianța Pentru Unirea Românilor AUR Prahova,Simion George-Nicolae,459,5
772823779394341,Mugur Cozmanciuc,Mugur Cozmanciuc,459,6
135705689004,Vodafone Romania,These ads ran without a disclaimer,458,1
358842954229021,Tomis the Cat,These ads ran without a disclaimer,458,3
110741950422417,Alianța pentru Unirea Românilor București,Simion George-Nicolae,457,4
103486317806881,Partidul Mișcarea Populară - Berceni,Mihnea Eugen Pospai,457,1
113503643659931,Stemer Andrei-Ioan,Stemer Andrei,456,19
103823577777514,Alianța pentru Unirea Românilor - filiala Galați,Simion George-Nicolae,456,5
101017605136880,Dragoş Popescu,PLUS Dambovita,456,4
205153910227534,Stefan Balta,These ads ran without a disclaimer,456,11
207673790490,Marian-Jean Marinescu,These ads ran without a disclaimer,455,13
100104881900774,Nicoleta Matilda Goleac,Popescu Cristian,455,34
2125138604189213,Partidul Social Democrat - Departamentul pentru Politică Externă,Partidul Social Democrat,455,1
106085800911447,ILnews - Ialomita News,Adrian Boioglu,455,8
125179374733697,Big News Buzz,These ads ran without a disclaimer,455,5
101561315014621,Daniel Constantin Cocoară,"Partidul Libertate, Unitate și Solidaritate",454,7
1362765070466111,PMP Prahova - Oficial,Partidul Mișcarea Populară,454,5
532492010145546,Minority SafePack,These ads ran without a disclaimer,454,2
101924714638849,Alianta pentru Unirea Romanilor - Filiala Sibiu,Simion George-Nicolae,453,5
100495844954538,Alianța pentru Unirea Românilor Argeș,Simion George-Nicolae,453,4
102929151672942,Revista Patronatului Roman,These ads ran without a disclaimer,453,2
588181485194766,PER Miresu Mare,Rogoz Bogdan,453,7
391242587571787,George Teseleanu,George Teseleanu,453,13
815735411826201,Socioblog.ro,ZODIAN ALEXANDRU-SERBAN,453,2
111190480252428,Radu Molnar,These ads ran without a disclaimer,452,1
101848988317118,Ilie Şuta,Partidul Social Democrat - Filiala Mures,452,1
147742309201775,Bogdan Gavrilescu,Biga Catalin,452,17
106240517684657,Felix Rache pentru Râmnicu Sărat,Felix Rache,451,4
518884591591983,Alianța pentru Unirea Românilor Buzău,Simion George-Nicolae,451,5
1762120650731832,Andrei Nicolae,These ads ran without a disclaimer,451,1
1642444026071303,Evoluție În Instituție,Evoluție În Instituție,450,3
101869214971959,Benone Moraru,Benone Moraru,450,6
248612345308435,Clubul Sportiv Municipal Bacău,Clubul Sportiv Municipal Bacau,450,5
584609918870342,Emanuel Truscai,Emanuel Truscai,450,3
187714574929339,Florin Adrian Hopșa,Florin-Adrian Hopsa,450,5
848466542007192,Școala9,Școala9,450,6
109909395729154,Albert Residence,These ads ran without a disclaimer,450,2
782920941862526,Liviu IOLU,Liviu Iolu,450,5
108632951050724,Lucian Moisa,Lollipop Advertising,450,22
107917574367679,Daniel Buda - Candidat Independent,WEDEV - IT,449,7
124634147604996,Gheorghe Bogdan Tomoiagă,These ads ran without a disclaimer,449,1
107452864201810,Sorin Constantin,PSD Prahova,448,8
2070693833256539,USR Moșoaia,USR Argeș,448,6
101911621476844,Alianța pentru Unirea Românilor Dâmbovița,Simion George-Nicolae,448,5
254195732000913,PRO România Teleorman,LU Agency Creative Ideas,448,4
352938858624501,Ecocare europe,These ads ran without a disclaimer,448,13
100411458297020,Alianța pentru Unirea Românilor Olt,Simion George-Nicolae,448,5
103283321455435,Eugen Grigoroiu,Grigoroiu Eugeniu,447,3
986103034910080,PSD Dobreni,Neamț Politic,447,1
441033649805355,Petrea Ionel,Petrea Ionel,447,19
112861500368605,Alianța pentru Unirea Românilor Bihor,Simion George-Nicolae,446,5
287216397965875,Festivalul Egalităţii de Gen,A.L.E.G.,446,9
100962241573951,Alianța pentru Unirea Românilor Vaslui,Simion George-Nicolae,445,5
210506176199355,PRO România București Sector 6,These ads ran without a disclaimer,445,35
323964814973633,PNL Darabani,Partidul Național Liberal - Botoșani,445,5
102704461327904,Radu Nedelcut Consilier Local Usr-Plus Sector 2,Radu Nedelcut,445,6
124783585715703,Andrei Leonte Ghiață,These ads ran without a disclaimer,444,4
102173247991605,"Alianța pentru Unirea Românilor, Filiala Vrancea",Simion George-Nicolae,444,5
105922157737115,Alianța pentru Unirea Românilor Satu Mare,Simion George-Nicolae,444,5
119283008140727,Pela Case,These ads ran without a disclaimer,444,40
112568623987356,Claudiu MANTA,Claudiu Manta,443,9
210506176199355,PRO România București Sector 6,PRO România,443,5
158227257847371,Catalin Stochita,Aurel-Catalin Stochita,443,4
112556927064891,Alianța pentru Unirea Românilor Caraș-Severin,Simion George-Nicolae,443,5
147742309201775,Bogdan Gavrilescu,Partidul Mișcarea Populară Neamț,443,8
107207030890665,Hojda Ciprian Catalin - candidat Moisei,Tagspot,443,6
104860947844205,Alianța pentru Unirea Românilor Teleorman,Simion George-Nicolae,442,4
104317171302721,Diana Finkelștain Consilier Local USR PLUS Iași,Alianța USR PLUS,442,3
103074994837661,Costin Iulian,Iulian-Dionisie Costin,442,6
106526574509254,PSD-Cluj,Cluj Manifest,442,10
102237494593482,PLUS Sângeorgiu de Mureș,"Partidul Libertate, Unitate și Solidaritate",442,12
112930477028463,AUR Brăila - Alianța pentru Unirea Românilor,Simion George-Nicolae,441,5
1475456576069377,Acupunctura Medicala,These ads ran without a disclaimer,441,2
454550588712867,Costel Cauciucuri,These ads ran without a disclaimer,441,19
186998094751949,Tineretul Național Liberal,These ads ran without a disclaimer,441,3
455104628021271,Adrian Dobre,These ads ran without a disclaimer,441,7
448680845198693,Șerban Nicolae,Georgiana Lucretia Apostolescu,440,12
2434959050124065,USR Desești,USR Maramureș,440,1
271881082995170,Reper24,Reper24h,440,4
111040200553460,Alianța pentru Unirea Românilor Covasna,Simion George-Nicolae,439,5
452967434777864,Adnanamatei.ro,These ads ran without a disclaimer,439,1
1119796118061092,Marian Oancea,Votează Marian Oancea,439,20
104555094358765,Francisc Constantin Boldea,PSD Timis prin Code ui,439,81
