Page ID,Page Name,Disclaimer,Amount Spent (HUF),Number of Ads in Library
745695918854943,Nyugati Fény,Nyugati Fény,1370479,30
132593883577930,Dr. Keresztes László Lóránt,Dr. Keresztes László Lóránt,1366262,391
228731803847927,Semjén Zsolt,KDNP frakció,1355268,201
422399638586608,Indítsuk Be Magyarországot Alapítvány,Indítsuk Be Magyarországot Alapítvány,1354719,51
173688126557724,Soproni Tamás,Soproni Tamás,1341876,90
2099839810244976,Promenad,Promenad,1326876,71
101899688012247,EzaLényeg.hu - Győr,EzaLényeg.hu,1325168,351
2074269302652716,Menczer Tamás,These ads ran without a disclaimer,1305172,18
773120112778785,Rig Lajos,Országgyűlés Hivatala Jobbik Frakció,1297934,184
525574220799452,Alfahír,Kiegyensúlyozott Médiáért Alapítvány,1295940,172
838631906208176,Ander Balázs,Országgyűlés Hivatala Jobbik Frakció,1295182,122
149061108240,Kocsis Máté,Fidesz frakció,1285590,53
100103228401991,Axióma,Axióma Kulturális Alapítvány,1283121,64
438674070213065,Magyar Állampapír,These ads ran without a disclaimer,1277298,37
113458260024230,EzaLényeg.hu - Körút,EzaLényeg.hu,1274482,525
632806306818605,Novák Katalin,Novák Katalin,1268610,36
112265210317688,Drinki,Drinki,1263946,1659
853618601425615,Dedoles,These ads ran without a disclaimer,1240436,8
1401080026811438,Csányi Tamás,Országgyűlés Hivatala Jobbik Frakció,1232324,152
822836871202195,Potocskáné Kőrösi Anita,Országgyűlés Hivatala Jobbik Frakció,1210051,132
555868611244245,Dr. Márton Roland,Dr. Márton Roland,1202398,107
252439751452248,Szegedma Hírportál,Szűcs Viktória,1200865,75
390232091384,Habitat for Humanity Magyarország,Habitat for Humanity Magyarország,1188298,96
112407120345686,Farkas Örs,Farkas Örs,1181610,14
1855311791415561,Nurofen Magyarország,These ads ran without a disclaimer,1173715,1
453253875264,Vágó Gábor,LMP - Lehet Más a Politika,1158540,35
734217673259088,Ujhelyi István dr.,MSZP,1158423,34
228731803847927,Semjén Zsolt,Országgyűlés Hivatala KDNP frakció,1150682,86
230385242742,KDNP és Frakciója,KDNP és Frakciója,1146504,174
260927000625137,VARJU László Újpest-Angyalföld,VARJU László Újpest-Angyalföld,1138555,60
103607814480517,Kovács Alex Gábor,Kovács Alex Gábor,1138100,149
729627343834501,Kialo,These ads ran without a disclaimer,1134764,299
134984140045777,Stummer János,Országgyűlés Hivatala Jobbik Frakció,1127515,115
248172631940,Mandiner,Mandiner,1126192,36
2367481733536787,MSN Magyarország,These ads ran without a disclaimer,1118140,1
126893087354793,Európai Parlament,Európai Parlament,1110887,196
243470906428319,Juhász Hajnalka,Juhász Hajnalka,1110737,41
1580459282191804,Agrármarketing Centrum,Agrármarketing Centrum,1090907,2
112064378854586,Terror Háza Múzeum / House of Terror Museum,Terror Háza Múzeum / House of Terror Museum,1082680,52
751133218288660,XXI. Század Intézet,Közép- és Kelet-európai Történelem és Társadalom Kutatásáért Közalapítvány,1076278,91
781150971947219,Jakab Péter,Jobbik Magyarországért Mozgalom,1075000,12
1429914920563493,Nunkovics Tibor,Országgyűlés Hivatala Jobbik Frakció,1058374,97
136387873164491,Csárdi Antal,Csárdi Antal országgyűlési képviselő,1051739,70
414715951917446,MSZP Budapest,MSZP Budapest,1042031,81
102111214501804,EzaLényeg.hu - Szombathely,EzaLényeg.hu,1034308,363
105140281027554,Hírnyolc,Hírnyolc,1029439,192
280629919516454,Velünk a Város,Velünk a Város Lokálpatrióta Egyesület,1029171,28
108988690853942,Kásler Miklós,Kásler Miklós,1020446,24
104375981028468,Kálló Gergely,Jobbik Magyarországért Mozgalom,1017814,118
1560795780732708,"Székely Sándor, az Igen Szolidaritás országgyűlési képviselője",Országgyűlés Hivatala,1015116,185
183174515027839,Szilágyi György,Országgyűlés Hivatala Jobbik Frakció,996889,91
211089588986612,"Tóth Csaba, Zugló országgyűlési képviselője",MSZP Zugló,990862,94
543788999005363,ORIGO,New Wave Media Goup Kft.,989540,123
1461534750733248,Schmuck Erzsébet,Zöld Baranya Kft._,985074,164
160102384102712,Szél Bernadett,Szél Bernadett,980589,263
230385242742,KDNP és Frakciója,Országgyűlés Hivatala KDNP frakció,970823,81
733923476636885,Szatmáry Kristóf,Kristóf Szatmáry,961925,220
108271872940329,Ara-Kovacs Attila,DK Delegation of the Progressive Alliance of Socialists & Democrats in the European Parliament,959158,51
237088069704442,Ádám Kósa MEP,"Adam Kosa, Member of the European Parliament",945021,11
781030738624077,Gyöngyösi Márton,Jobbik Magyarországért Mozgalom,943013,32
326763130286,Borsod Online,Borsod Online,934149,24
107898832590939,European Commission,These ads ran without a disclaimer,922811,10
329444931109132,Őrsi Gergely,Őrsi Gergely Ferenc,919319,172
1534911313439123,Ripost,Ripost,918624,24
1567420900021321,Kara Ákos,Kara Ákos,916674,596
184890488198962,Bana Tibor,Országgyűlés Hivatala Jobbik Frakció,915349,134
191946490841225,Dúró Dóra,These ads ran without a disclaimer,914457,61
127355373967413,Pécsi STOP.hu,Pécsi STOP.hu,913744,70
1786125951661386,Idetartozunk Egyesület,Idetartozunk Egyesület,906779,27
193697200816659,Glázer Tímea,Demokratikus Koalíció,902655,3
126893087354793,Európai Parlament,Európai Parlament Tájékoztatási Irodája,900048,55
694941900537141,Ágh Péter,Ágh Péter,891870,357
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,887840,13
132720449036,Magyar Kerékpárosklub,Magyar Kerékpárosklub,877150,121
1408906262689093,Nyitrai Zsolt,Nyitrai Zsolt,871471,304
110365580508798,EzaLényeg.hu - Csepel-Soroksár,EzaLényeg.hu,871381,500
76945222898,Startlap,Centrál Médiacsoport,860673,281
325939024967025,1 PERC Miskolc,Miskolci Kommunikációs Nonprofit Kft.,844439,25
1084749598210454,Dr. Szabó Tünde,Dr. Szabó Tünde,835536,84
748348838626461,888.hu,888.hu,835120,26
1652741928333536,KPSVR,Kaposváriakért Egyesület,834014,16
164978027477602,József Felföldi,József Felföldi,833030,46
1122781531137859,Ellenszél,Ellenszél,829812,24
407695802676878,Nyitottak vagyunk,Nyitottak vagyunk,827905,121
233529653487142,Karsay Ferenc,Karsay Ferenc,825058,35
804685603241491,Czuczor Gergely,Dr. Czuczor Gergely,822847,133
157270314427371,Simonka György,Simonkáné Gábor Marianna,822321,117
184922004946258,Horváth Csaba,Budapest Főváros XIV. Kerület Zugló Önkormányzata,818210,47
893935307435660,Bíró László,Bíró László,817407,87
1792920094355738,Simon Miklós országgyűlési képviselő,Dr. Simon Miklós,810507,216
714000945703554,Bomba Gábor Szekszárd,Bomba Gábor László,803354,50
1193391110688366,Highlights of Hungary,Highlights of Hungary,800000,7
108941857376911,Igen Szolidaritás,Igen Szolidaritás,791913,122
2168429696573513,Gál Erzsébet,HATVANONLINE,791381,21
122148514472963,Botka László,Összefogás Szegedért Egyesület,786030,75
1102138083139329,Mátraszőlős Község Szeretlek,Tóth Gyula,785311,382
2401182856761664,Horváth Ákos,Kaposváriakért Egyesület,784730,13
1377431695828132,Nagy István,Dr. Nagy István,784507,74
1193902320622038,Dr. Bajkai István,Dr. Bajkai István,783761,31
109117190565423,Számok - a baloldali álhírek ellenszere,Számok - a baloldali álhírek ellenszere,780820,93
1620606484919998,Alföldhír.hu,Alföldhír Kft.,777289,191
528480517197493,Krisztian Berki #aberki,Berki Krisztián,777070,16
206160682739388,Harrach Péter,Harrach Péter,776642,53
122159141138679,Magyar Helsinki Bizottság / Hungarian Helsinki Committee,Magyar Helsinki Bizottság / Hungarian Helsinki Committee,775774,59
128573907819549,Fekete-Győr András,Momentum Mozgalom,775671,24
155560531137359,Dorosz Dávid,Párbeszéd Magyarországért,774401,6
115230488549915,Political Capital (HU),Political Capital (HU),773823,152
131797633528377,Jávor Benedek,Párbeszéd Magyarországért,768663,37
537817739693723,Brain Bar,Brain Bar,763393,69
490006464353222,Dr. Lukács László György,Jobbik Magyarországért Mozgalom,761555,82
393705001216934,Dudás Róbert,Jobbik Magyarországért Mozgalom,759609,110
103024827750491,Mi Várunk,Országgyűlés Hivatala Jobbik Frakció,759554,24
1846213072090343,Gy. Németh Erzsébet,Demokratikus Koalíció,755144,14
102581967957130,Pávkovics Gábor,Pávkovics Gábor,753461,76
379369999371763,Pikó András polgármester,Momentum Mozgalom,750210,34
129382163754757,Jobbik Ifjúsági Tagozat,Jobbik Magyarországért Mozgalom,749985,10
100561241325032,EzaLényeg.hu - Baja,EzaLényeg.hu,739785,388
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,735811,18
162344823835042,atlatszo.hu,atlatszo.hu,730508,69
129382163754757,Jobbik Ifjúsági Tagozat,Országgyűlés Hivatala Jobbik Frakció,720550,22
247166652151336,Polgári Jászberény,Dr. Szabó Tamás,714580,55
205547789523736,Dr. Nemény András,Éljen Szombathely! Egyesület,712364,74
324029851594302,Pollreisz Balázs,MSZP,705046,28
362277097183663,VELUX,VELUX,702827,7
112879632128020,Novák Előd,These ads ran without a disclaimer,701909,90
428800467250448,Farkas Gergely,Farkas Gergely,690576,134
107792104113928,EzaLényeg.hu - Baranya,EzaLényeg.hu,683623,661
806011439524661,Zágráb Nándor: „A pénz visszajár",Zágráb Nándor,680850,241
281527466391,Magyar Zoltán,Országgyűlés Hivatala Jobbik Frakció,680174,65
730999340617214,Gábor Pintér,Dr. Pintér Gábor,675177,77
102641477991941,bahir.hu - BAHÍR,ZÖLD BARANYA KFT.,674968,332
111858283936607,Igaz Hang,József Felföldi,673909,44
123565977690316,Együtt Balatonfűzfőért,Pintér András,673001,54
161361167407820,Tuzson Bence,Tuzson Bence,663127,43
610740558997110,Balczó Zoltán,Jobbik Magyarországért Mozgalom,658628,47
562712570560978,Azbej Tristan ن,Azbej Tristan,658062,16
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,656936,20
101034934599890,Szücsné Posztovics Ilona,Szücsné Posztovics Ilona,654266,64
92932085233,TASZ,TASZ,652230,102
101715417969719,Erzsébetváros Hírei,Erzsébetváros Önkormányzat,651384,27
1496791343664981,Hegyvidéki Fidesz,Hegyvidéki Fidesz,650000,15
856433318046663,Tekauer Norbert önkormányzati képviselő - VÉD egyesület,Tekauer Norbert,648956,36
100808557949454,Mucsi Tamás,Mucsi Tamás,646693,354
246722998817639,Rónai Sándor,Rónai Sándor,644857,71
104815174368662,Molnár Tibor,Molnár Tibor,644483,77
447556782025193,Magyar Munkáspárt,Magyar Munkáspárt,643790,82
147547541961576,Council of the European Union,Council of the European Union,643694,237
278992483155,Tordai Bence,Párbeszéd Magyarországért,642956,33
1697376657149476,Dr.Szabó Ervin,Dr. Szabó Ervin,630248,76
211156277497,WWF Hungary,WWF Hungary,625637,101
483552231772101,Kriza Ákos,Kriza Ákos,623000,3
100145531349308,Kontrapro.hu,Kontrapro.hu Kft.,621741,41
2002177933337236,Déri Tibor,Déri Tibor,621115,69
100321944862320,EzaLényeg.hu - City,EzaLényeg.hu,618109,476
319007245486434,Hassay Zsófia,VI. kerületi Fidesz,617571,30
110069120361485,Dr.Dézsi Csaba András,Dr. Dézsi Csaba András,616383,126
1767688026844895,Zalaegerszeg Megyei Jogú Város,Zalaegerszegi Televízió,614051,106
221754767906167,Bencsik János - A Tatai medencéért,Bencsik János,613208,177
104337347681259,4trees,4trees,609149,78
734217673259088,Ujhelyi István dr.,These ads ran without a disclaimer,604943,10
206160682739388,Harrach Péter,Országgyűlés Hivatala KDNP frakció,600113,44
128210328817041,NoMorePlastic,Dialogue Creatives,600000,3
149035118614177,Magyar Nemzeti Bank,These ads ran without a disclaimer,598103,5
102753291819852,Europálya,Europálya,594981,7
112214777204963,Tóth Ádám,Igen Szolidaritás,593012,92
428800467250448,Farkas Gergely,Országgyűlés Hivatala Jobbik Frakció,591359,63
14792493292,Magyar Kétfarkú Kutya Párt,Magyar Kétfarkú Kutya Párt,590995,51
620030171664750,Mi Hazánk Mozgalom,These ads ran without a disclaimer,590538,18
314501110585,Kék Vonal,Kék Vonal,590368,271
116573845044900,Playersroom,These ads ran without a disclaimer,586954,1
102523611114066,Dr. Varga Norbert,Dr. Varga Norbert,586136,30
212126705625642,Kocsis-Cake Olivio,Párbeszéd Magyarországért,584944,34
164762586881530,Mága Zoltán hegedűművész,These ads ran without a disclaimer,584665,9
104375981028468,Kálló Gergely,Kálló Gergely,582654,47
128449957180084,T. Mészáros András,Összefogás Egyesület,578216,36
311203326391451,Ferencvárosi Fidesz,Fidesz Ferencváros,572489,24
174794299225626,LMP Vas megye,LMP - Lehet Más a Politika,571940,17
197850567575171,Mi Hazánk - Újbuda,Mi Hazánk Mozgalom,570520,33
115388925185513,Magyar Szocialista Párt,These ads ran without a disclaimer,569257,11
188002774639,Mesterházy Attila,Mesterházy Attila Csaba,567838,24
893102994164960,Hohn Krisztina,Zöld_Baranya_Kft_Ügynökség,566785,87
1926735160968885,Válasz Online,Válasz Online,566704,47
490006464353222,Dr. Lukács László György,Országgyűlés Hivatala Jobbik Frakció,565753,23
2280937925322660,Fehér Attila,Fehér Attila,565282,64
28312410177,World Food Programme,These ads ran without a disclaimer,563850,24
113028273433856,Budafok-Tétény / Közösségre kapcsolva,Közösségre kapcsolva 22,558482,12
283605605855438,Új Március,El a kezekkel a Kádár-sírtól,555567,10
153035221415533,angolnyelvtanitas.hu,These ads ran without a disclaimer,555324,1
451084968283411,Klímainnovációs Közösség,Pannon Pro Innovations,553747,43
1792502637527821,Borkai Zsolt,Borkai Zsolt,549771,27
446534016192202,Borbély Ádám,Borbély Ádám,549751,114
324029851594302,Pollreisz Balázs,Pollreisz Balázs,547717,67
103902721368423,Drót.info,Drót.info,545714,12
592204747588011,Momentum Mozgalom,These ads ran without a disclaimer,544184,43
1102138083139329,Mátraszőlős Község Szeretlek,These ads ran without a disclaimer,541415,199
101627321446580,Fürjes Balázs,Dr. Fürjes Balázs,537446,20
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,537272,58
180924612473518,Dr. Brenner Koloman,Dr. Brenner Koloman,536058,64
2158405567819066,Fülöp Attila,These ads ran without a disclaimer,535643,11
728260423984010,Böröcz László,Böröcz László,530367,66
44847086574,Amnesty International Magyarország,These ads ran without a disclaimer,526917,25
2875100582630649,30 éve szabadon,Közép- és Kelet-európai Történelem és Társadalom Kutatásáért Közalapítvány,526874,29
111950033611721,Zöld népszavazás 2020,LMP - Lehet Más a Politika,526337,23
108096777416791,EzaLényeg.hu - Nógrád,EzaLényeg.hu,522726,394
355633501941718,Neokohn,These ads ran without a disclaimer,520098,4
365977046868250,Nemzeti Agrárgazdasági Kamara - NAK,Nemzeti Agrárgazdasági Kamara - NAK,515549,22
197850567575171,Mi Hazánk - Újbuda,Milák Hajnalka,512287,17
128210328817041,NoMorePlastic,These ads ran without a disclaimer,510717,3
161957537171267,Schmidt Mária,Schmidt Mária,506096,22
110559013802381,EzaLenyeg.hu - Dunaújváros,EzaLényeg.hu,503997,259
240147763965,Baráth András - Gerilla Önéletrajz,These ads ran without a disclaimer,503185,16
113183730045421,Momentum Klímakörök,Momentum Mozgalom,498961,20
560157524019416,Szilvágyi László,LMP - Lehet Más a Politika,498576,33
103936480985864,Győri Enikő,Győri Enikő,497081,23
100885331634501,EzaLényeg.hu - Heves,EzaLényeg.hu,494009,407
618962048554434,Havasi Gábor,Havasi Gábor,492050,57
305113236215306,Tok-Shop.hu,These ads ran without a disclaimer,491399,2
440197766088272,Jeszenszki András,MSZP,488839,224
510078013063912,Rózsa László Péter,These ads ran without a disclaimer,487023,30
428566461319900,Baráth Gábor,Baráth Gábor,483679,86
164061553749320,Nemzeti Televízió,Kiegyensúlyozott Médiáért Alapítvány,483115,103
1439786569610603,Dr. Fekete Dávid,Fekete Dávid,481490,96
490030231058740,444,These ads ran without a disclaimer,479012,3
137851763633896,Barlabás András,Barlabás András,478923,765
618962048554434,Havasi Gábor,Momentum Mozgalom,478520,48
227518144860781,Balázsy Péter,Dr. Balázsy Péter,476546,40
341292696291575,Molnár Tamás 4. választókörzet Székesfehérvár,Molnár Tamás,471421,106
329107800543535,Sneider Tamás,Jobbik Magyarországért Mozgalom,471195,11
1936388216579939,II. kerületi Fidesz,II. Kerületi Fidesz,470400,83
2233605356754529,Újvárosi Valóság,PestiSracok.hu,465734,27
318239484894380,érdioldal.hu,Összefogás Egyesület,460591,48
114236027094531,Szedlák Attila,Szedlák Attila,456274,30
1406386486355924,Partizán,These ads ran without a disclaimer,456078,12
160935777365,bama.hu - a baranya megyei hírportál,bama.hu - a baranya megyei hírportál,454502,52
105316514364415,EzaLényeg.hu - Szeged,EzaLényeg.hu,451874,365
107270767561186,EzaLényeg.hu - Fehérvár,EzaLényeg.hu,451777,406
228208347319442,Pécs Jövője,Sik László Zoltán,450905,37
109637397268775,Nyugati Pályán,These ads ran without a disclaimer,450182,11
100105868381582,EzaLényeg.hu - Dél-Balaton,EzaLényeg.hu,449641,379
166359293376130,Hévíz Város Önkormányzata,Papp Gábor,448242,295
100680114833776,EzaLényeg.hu - Nyíregyháza,EzaLényeg.hu,448214,327
129875930406663,Udvari Kamaraszínház,Udvari Kamaraszínház,448066,26
1869511526651884,Dr. Zsigmond Barna Pál,Dr. Zsigmond Barna Pál,447240,184
2376623529248269,Bognár Róbert,Bognár Róbert János,446987,51
192540677451041,Gyémánt Út Buddhista Közösség,These ads ran without a disclaimer,445168,2
506348326210466,Ungár Péter,Ungár Péter országgyűlési képviselő,444615,15
141366725876424,European Greens,These ads ran without a disclaimer,442372,4
103520614495214,Ollero Marco képviselő,Ollero Marco,436665,166
