Page ID,Page Name,Disclaimer,Amount Spent (CZK),Number of Ads in Library
103068351300691,Eduard Stehlík,Eduard Stehlík,140308,135
117111438676,Asociace společenské odpovědnosti,Asociace společenské odpovědnosti,136894,61
1451376028412024,Pavel Svoboda,Křesťanská a demokratická unie - Československá strana lidová,133373,206
524288824339961,Václav Hampl,"PRAHA SOBĚ, KDU-ČSL, ZELENÍ, SENÁTOR 21",129370,186
103430204491217,Robert Šlachta,Šimway,128642,32
977639539069229,Jana Maláčová,Jana Maláčová,128340,118
378827025796132,Peak.cz,Peak.cz,127822,1385
161396423900274,Piráti - Pardubický kraj,Česká pirátská strana,126920,423
107116341083373,Ondřej Závodský,Ondřej Závodský,125687,67
55408246161,Amnesty International ČR,Amnesty International ČR,125178,65
163186777045684,Česká pirátská strana - Královéhradecký kraj,Verisova Libuse,122628,104
123858471641,iROZHLAS.cz,Český rozhlas,122330,39
149368281915233,ČSSD Jihočeský kraj,Česká strana sociálně demokratická,120246,124
104907604401326,Obnovme jihočeské lesy,Libor Moravec,119962,19
128758673882866,Václav Láska - Právo s Láskou,Senátor 21,119865,41
478284705683536,Mgr. Marek Šlapal,ČSSD,118420,38
117823623864,Transparency International ČR,Transparency International ČR,116355,134
224923858400165,Nenecháváme to tak,ATG Principal GROUP,116164,24
609246842426009,Rekonstrukce státu,Rekonstrukce státu,115493,219
277957209202178,Václav Klaus ml.,Trikolóra,114698,49
424122987643945,Jiří Štěpán,Jiří Štěpán,114559,108
193618398034790,Piráti a Starostové - Olomoucký kraj,Česká pirátská strana,114369,101
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,113820,128
120764052849694,World News 24,"World News Media, s.r.o.",110882,151
497198057045195,Monika Le Fay,Monika Le Fay,110607,41
100505211433010,Hejtmanka Petra Pecková,Starostové a nezávislí,110076,55
101354244586132,Československá socialistická tisková kancelář,Konektor Social,109622,65
141366725876424,European Greens,European Greens,108287,7
257529307701966,Jiří Pospíšil,TOP 09,106702,80
179497582061065,Tomio Okamura - SPD,These ads ran without a disclaimer,106082,223
375868542113,Piráti - Jihočeský kraj,Česká pirátská strana,104893,244
944358442253364,Jihočeský kraj - oficiální,Jihočeský kraj - oficiální,104217,49
43855944703,Svobodní,Svobodní,104033,61
150003828819986,Dedoles,These ads ran without a disclaimer,103416,2
111041662264882,ČSSD,ČESKÁ PRODUKČNÍ Social Media s.r.o.,99703,36
202974613060409,Pavel Poc,Poc Pavel,99298,40
662196877287140,Tomáš Třetina,"Společně pro Znojemsko – TOP 09, ODS, Starostové a nezávislí s podporou KDU-ČSL a hnutí Hlas",98398,159
100913275009934,Radim Holiš,ANO,97276,29
1917661888252695,Tomáš Goláň - senátor,Tomáš Goláň - senátor,95871,11
107720537499367,Vladimír Drápal,Vladimír Drápal,95473,135
100674998195047,Spolu pro Moravu,TOP 09 - Jihomoravský kraj,95000,241
1575409859416376,Roman Hanák,ČSSD,93707,27
106068147804151,"STAN, Zelení, Nezávislí pro Moravskoslezský kraj",Starostové a nezávislí • STAN,93688,50
937443906286455,Svoboda a přímá demokracie - SPD,Svoboda a přímá demokracie - SPD,93294,47
128259637824711,NEY spořitelní družstvo,NEY spořitelní družstvo,93000,12
302134090396266,Zdeněk Hřib - primátor Prahy,Česká pirátská strana - Praha,92365,122
307710452690539,Starostové a nezávislí - Jihomoravský kraj,Starostové a nezávislí • STAN,92296,71
2297075120544646,Spojenci pro kraj,JsmePRO! (Spojenci pro kraj),92047,152
2380171825590338,Markéta Gregorová - I Ty jsi Brusel,Markéta Gregorová,91842,15
495496033796328,Stanislav Blaha,Stanislav Blaha,91414,188
384187235387895,Alena Schillerová,ANO,90328,13
263441620339662,Nestlé,Nestlé Česko s.r.o.,87318,11
684198855000854,Václav Švenda,TOP 09,87146,40
146991996743,Gambrinus,These ads ran without a disclaimer,85844,3
110798200707730,MUDr. Petr Sládek,ODS,85837,38
1445448092361295,Jaroslav Klaška,KDU-ČSL,84788,69
1201085733241671,Café Evropa,EUROPEUM Institute for European Policy,84435,51
241366150202081,Pavol Lukša,Pavol Lukša,84273,35
106381804521913,Helena Pešatová - senátorka,Starostové a nezávislí • STAN,84002,16
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu,83711,72
109971530524897,Týdeník Hrot,Týdeník Hrot,83254,146
109213187226618,Jiří Nantl - náměstek hejtmana Jihomoravského kraje,Občanská demokratická strana,82912,126
566716406767894,Senátor Pavel Kárník,Starostové a nezávislí • STAN,82411,77
764700610326484,ODA,Občanská demokratická aliance,81345,66
108839520897805,Anna Šabatová,"Zelení, Senátor 21, Idealisté",80474,107
177168055984056,Reportáže z průmyslu,Lucie Rottenborn,79488,69
1900532106849242,Institute H21,Institute H21,79322,54
