Page ID,Page Name,Disclaimer,Amount Spent (PLN),Number of Ads in Library
196722357090264,Polskie Stowarzyszenie Energetyki Wiatrowej - PSEW,Polskie Stowarzyszenie Energetyki Wiatrowej,47205,112
1491476861156693,Marie Zélie,These ads ran without a disclaimer,46889,170
503202659703049,Centrum UNEP/GRID-Warszawa,Centrum UNEP/GRID-Warszawa przy użyciu kuponów reklamowych Facebooka,45868,24
141366725876424,European Greens,European Greens,45620,13
373903230004337,30. ROK WOLNOŚCI,These ads ran without a disclaimer,45486,95
447190942074880,Polskie Stowarzyszenie Obrońców Życia Człowieka,Polskie Stowarzyszenie Obrońców Życia Człowieka,44943,92
229797220398331,Kampania Przeciw Homofobii,Kampania Przeciw Homofobii,44771,362
107898832590939,European Commission,These ads ran without a disclaimer,44702,12
111123892282533,Wydawnictwo Insignis,Wydawnictwo Insignis,44305,133
141833139301,Krzysztof Bosak,KW Kandydata na Prezydenta Rzeczypospolitej Polskiej Krzysztofa Bosaka,44252,29
134214926657042,Radosław Sikorski,Radosław Sikorski,44189,142
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,43714,36
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro - Prawo do Życia,43642,154
405326618416,Parlament Europejski - Biuro w Polsce,Parlament Europejski - Biuro w Polsce,42980,109
295161506338,AKADEMIA PRZYSZŁOŚCI,AKADEMIA PRZYSZŁOŚCI,42930,265
104884392877324,Alivia - Fundacja Onkologiczna,These ads ran without a disclaimer,42706,78
220402816269,Miasto Stołeczne Warszawa,Miasto Stołeczne Warszawa,42465,47
118890385502947,"Sprawdź, kto oferuje Ci prąd i gaz",Clickad Interactive,41489,26
430323810469014,Razem,"KKW Lewica Razem - Razem, Unia Pracy, RSS",40810,100
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,40432,13
1181684038602267,Niepodległa,Niepodległa,39632,100
2215190752031133,Sven Zagała,KW Wiosna Roberta Biedronia,39608,116
513969188677442,Compassion Polska,Compassion Polska,38972,83
383296170843,Puls Biznesu,Puls Biznesu,38686,731
1579819912230855,Coca-Cola,Coca-Cola,38575,7
100560075131498,Arrena.pl,ARRENA.PL,38147,47
798249970192065,Edukacja dla Dobrego Klimatu,Pracownia na rzecz Wszystkich Istot,38130,29
104442609633150,Lubuskie,Lubuskie,37478,58
39589683944,U.S. Embassy Warsaw,U.S. Embassy Warsaw,37416,29
49490583862,Cropp,These ads ran without a disclaimer,36782,7
153829669753,INVICTA,These ads ran without a disclaimer,36528,39
102238234620423,Zmień piec,Wroclaw [Wroclove],35961,867
118055394941878,ABB,OS3 sp. z o.o.,34463,254
228951150597089,Adam Bielan,KW PRAWO I SPRAWIEDLIWOŚĆ,33671,41
185801044849040,Amazon Fulfillment Jobs,These ads ran without a disclaimer,33620,4
483998452409690,Waytosale,www.waytosale.pl,32798,42
260807840628894,Agencja Rozwoju Przemysłu S.A.,Agencja Rozwoju Przemysłu S.A.,32255,21
857809167586212,Jakub Bocheński,KW Sojusz Lewicy Demokratycznej,32252,44
213761292155457,Samir Kayyali Doradztwo Podatkowe,Samir Kayyali Doradztwo Podatkowe,31996,96
1235256026493430,EPG - Fotowoltaika dla Ciebie,These ads ran without a disclaimer,31853,229
627318417784097,Biokinetica,Aleksander Marek Kiecana,31328,30
397133490487852,Dawid Bagiński,These ads ran without a disclaimer,31142,19
1077045142306060,Grzegorz Schetyna,Platforma Obywatelska RP,30781,12
1231484993545202,Foton Technik,These ads ran without a disclaimer,30631,251
213911122748997,Goodvalley,These ads ran without a disclaimer,30604,1
1607487699534202,Krzysztof Hetman,Krzysztof Hetman,30113,179
1465965073732774,Łukasz Kohut,Łukasz Kohut,29880,181
127619873953536,Stefczyk.info,Stefczyk.info,29322,446
250008548428800,PanPablo.pl,PanPablo.pl,29009,41
342956762998558,KlimatAlert,Wojciech Makowski,28333,51
104609701196973,Allex,Jacek Jan Szczepan,28227,187
100276381956414,ESPC,These ads ran without a disclaimer,28177,49
108015612575658,Forbes.pl,Forbes.pl,27844,258
111036577086588,1971 zł Dla Opiekuna Dorosłej Osoby Niepełnosprawnej,Vestra,27460,22
221077284662,Kwartalnik Przekrój,Fundacja Przekrój,27403,292
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,27025,99
157255317751718,Kancelaria Mentzen,Kancelaria Mentzen,26958,155
373330199849811,Murapol- Najlepsze miejsca na świecie,Murapol,26956,308
391098174296294,se.pl,se.pl,26555,266
777991742238185,Semper Power,Janusz Parkitny,26345,25
1406676512964411,Echo24,Echo24,26035,5
114162699955990,Arkadiusz Czarnecki,KW Sojusz Lewicy Demokratycznej,25901,112
2039652406129097,Lekko. PL,Lekko.,25897,101
457690554629140,Narodowy Instytut Architektury i Urbanistyki,Narodowy Instytut Architektury i Urbanistyki,25725,30
372341662829366,Onet Styl Życia,Onet Styl Życia,25494,24
328170794051845,KUKIZ15,Komitet Wyborczy Wyborców Kukiz'15,25453,181
330644215221,Bankier.pl,Bankier.pl,25307,645
100412623352304,Decathlon Polska,Decathlon Polska,25163,14
104609701196973,Allex,Aleksander Jerzy Czerniewicz,24928,87
101675557899435,Wiadomości Szczecin,Szczecin Floating Garden,24487,58
100384718193249,Bosak2020,KW Kandydata na Prezydenta RP Krzysztofa Bosaka,24400,40
105625444279726,Icon Live Entertainment,Visual Production,24306,92
193417587881296,Royal Fashion,These ads ran without a disclaimer,23930,1
381003278691136,Szymon Hołownia,Fundacja Polska Od Nowa,23819,42
188972590657,Moto.pl,These ads ran without a disclaimer,23695,30
336438736394843,Wydawnictwo AGORA,Wydawnictwo AGORA,23646,960
101751661613203,Adam Lutkowski,Adam Andrzej Lutkowski,23607,142
1782125158778273,WASTA - Odnawialne Źródła Energii,Piotr Tadeusz Wardęga,22906,15
934442959950906,Krajowa Izba Radców Prawnych,Krajowa Izba Radców Prawnych,22792,12
221077284662,Kwartalnik Przekrój,Kwartalnik Przekrój,22405,255
1967695263556184,Sylwia Spurek,The Grens/EFA in the European Parliament,22200,90
317722036029,K MAG,K MAG,22009,1246
150412465290475,Kamila Gasiuk-Pihowicz,Kamila Gasiuk-PIhowicz KKW Koalicja Europejska PO PSL SLD .N Zieloni,21834,42
185265414715,Onet,Onet Wiadomości,21613,45
100384718193249,Bosak2020,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Krzysztofa Bosaka,21558,9
107969160908903,UczciwaWycena.pl,Uczciwa Wycena,21551,164
231241783585661,Ibuprom,These ads ran without a disclaimer,21400,3
173184660508,Centrum Myśli Jana Pawła II,Centrum Myśli Jana Pawła II,21286,69
171382802698,Klub Jagielloński,Klub Jagielloński,20988,122
100344868172671,Szkodaplus.pl,Szkodaplus,20530,165
69153026654,Jerzy Buzek,Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni,20405,59
148183311971804,Stanisław Żółtek,KW Kandydata na Prezydenta RP Stanisława Żółtka,20339,44
32104614789,Greenpeace Polska,These ads ran without a disclaimer,20171,57
1870187766453541,Charlotte Fashion,Łukasz Gancarz,19939,698
111994128873082,Sun Pro,Dominik Krause,19897,35
115661305179529,Platforma Obywatelska Region Lubelski,KKW Koalicja Obywatelska PO .N iPL Zieloni,19892,2
1246204728789474,Allegra,These ads ran without a disclaimer,19795,1
729627343834501,Kialo,These ads ran without a disclaimer,19617,326
292640324174614,Hellozdrowie.pl,Hellozdrowie.pl,19436,21
121388362246,Goldman Sachs,These ads ran without a disclaimer,19416,6
109290147401664,Polska Organizacja Handlu i Dystrybucji,Polska Organizacja Handlu i Dystrybucji,19371,48
531772040534886,Hity Sprzedaży,These ads ran without a disclaimer,19315,1
56024223012,Onet Wiadomości,Onet Wiadomości,19059,262
928240283878303,Konstanty Radziwiłł,KW PRAWO I SPRAWIEDLIWOŚĆ,19045,38
166983320096,Pomorskie w Unii,Pomorskie w Unii,19043,115
112427465462177,Śląskie. Pozytywna energia,JU Agencja,18800,47
102158341220030,Wolskie Rotundy,Wolskie Rotundy,18739,12
186282968121069,outfilm.pl,outfilm.pl,18659,18
904980706358533,Dodomuwszystko - akcesoria domowe,PMC,18643,175
136390556431938,Pracownia na rzecz Wszystkich Istot,Pracownia na rzecz Wszystkich Istot,18459,47
142210712522850,Województwo Podlaskie,Urząd Marszałkowski Województwa Podlaskiego,18337,36
144808095552639,ING Polska,ING Polska,18290,55
108007439221136,jestem na pTAK!,jestem na pTAK!,18091,144
1480642642217482,Marcin Dmowski,Marcin Antoni Dmowski,17864,85
141833139301,Krzysztof Bosak,KW Kandydata na Prezydenta RP Krzysztofa Bosaka,17853,27
284219099021432,Polskie Zakłady Bukmacherskie,These ads ran without a disclaimer,17827,2
308684629246305,Tomasz Latos,KW Prawo i Sprawiedliwość,17822,45
686125628235251,Szkolenia dofinansowane,Perfect English,17726,197
378891755591358,Cezary Przybylski - Marszałek Województwa Dolnośląskiego,Takie Studio,17710,79
128440100681377,Prawo dla ludzi,Prawo dla ludzi,17687,39
163878463633817,Platforma Obywatelska Mazowsze,KKW Koalicja Obywatelska PO .N iPL Zieloni,17565,5
312204349288060,Mariusz Gosek,"Mariusz Gosek, Poseł na Sejm RP",17518,411
277681892059,Janusz Korwin-Mikke,Willa Anielin sp. z o.o.,17516,349
228951150597089,Adam Bielan,Biuro Posła do Parlamentu Europejskiego Adama Bielana,17471,31
106552182752379,Fortum Polska,Fortum Polska,17471,161
118309719575561,Coway Polska,Coway Polska,17413,32
971833706177522,Kraków dla Mieszkańców,Kraków dla Mieszkańców,17409,118
590514511295079,Front Europejski,Medium: agencja reklamowa,17401,60
226093617419783,"Medicover Hospital, Warsaw, Wilanow",These ads ran without a disclaimer,17345,108
