Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
151858145215878,RedFox België,Redfox (België),15308,155
150977208365420,Assita Kanko,Nieuw-Vlaamse Alliantie,15212,12
1796765513978532,Vlaams Belang Bilzen,Vlaams Belang,15199,35
275607285891320,Johan Van Overtveldt,Nieuw-Vlaamse Alliantie,14752,14
1661453500556261,Peter De Roover,N-VA,14680,10
228307843991539,Alexander De Croo,Open Vld,14549,25
1474193815933413,ABVV Schoonmaak,ABVV Schoonmaak,14330,232
294055357407926,Koen Geens,CD&V,14275,97
1447842658809820,Valerie Van Peel,Nieuw-Vlaamse Alliantie,14163,8
780466711993867,Nespresso,Nespresso,13975,6
699243700236299,Lorin Parys,Nieuw-Vlaamse Alliantie,13915,18
153281801079,CGSLB - Syndicat libéral,CGSLB - Syndicat libéral,13661,181
108820070638334,Il fera beau demain - Mouvement positif,Il fera beau demain - Mouvement positif,13611,109
181975318662681,Raoul Hedebouw,PTB,13472,37
983442595060481,Steven Vandeput,Nieuw-Vlaamse Alliantie,13443,22
1375436739430055,Anneleen Van Bossuyt,Nieuw-Vlaamse Alliantie (Anneleen Van Bossuyt),13392,5
1797427180478228,Maurits Vande Reyde,Maurits Vande Reyde,13308,709
174309193235171,FGTB Construction,FGTB Construction,13278,231
616252382042509,ABVV Bouw,ABVV Bouw,13232,226
736539056400845,ABVV-Metaal,ABVV-Metaal,12637,754
512123045595812,Frosch Belgium,Frosch Belgium,12577,115
141790109882222,ABVV Bewaking,ABVV Bewaking,12513,225
1498177693625569,FGTB Gardiennage,FGTB Gardiennage,12396,215
53950718052,Médecins Sans Frontières,Médecins Sans Frontières (Belgique),12318,343
357699964322135,VIA Don Bosco,VIA Don Bosco,12153,317
188590271170028,ABVV,Algemeen Belgisch Vakverbond - ABVV,12152,78
138174122881,OxfamSolidarité OxfamSolidariteit,OxfamSolidarité-OxfamSolidariteit,12005,192
379749768826697,N-VA Stad Antwerpen,Nieuw-Vlaamse Alliantie,11779,32
403864600161608,Christian Leysen,Christian Leysen,11560,55
116000561802704,Oxfam-Wereldwinkels,Oxfam-Wereldwinkels,11354,226
231742536958,De Morgen,De Morgen,11046,57
1662059670679141,1712,1712 (Centrum voor Algemeen Welzijnswerk Oost-Brabant),10761,91
1797427180478228,Maurits Vande Reyde,Vande Reyde Maurits Jozef,10593,225
1070595116362186,Guy D'haeseleer,Vlaams Belang,10592,5
55736375278,Artsen Zonder Grenzen,Artsen Zonder Grenzen (België),10585,364
998887823550443,Brecht Warnez,Warnez Brecht Luc T,10475,785
595882667132447,Sihame El Kaouakibi,Sihame El Kaouakibi,10262,213
125138890876117,N-VA Gent,Nieuw-Vlaamse Alliantie,9939,35
121822074551891,Action Damien - Damiaanactie,Action Damien,9931,113
88984475432,Amnesty International Belgique francophone,Amnesty International Belgique francophone,9925,85
114095183370825,8AM,GMGroup,9833,22
414230891947291,Kruidvat België/Belgique,These ads ran without a disclaimer,9799,3
231742536958,De Morgen,These ads ran without a disclaimer,9760,322
367577357909,Denis Ducarme,Mathilde Francine M Vandenhoeke,9694,99
299844037256,sp.a Vlaams-Brabant,sp.a,9555,31
232597487340084,Benjamin Dalle,Benjamin Dalle,9387,55
80161254850,European Youth Forum,European Youth Forum,9374,14
99985820015,Guy Verhofstadt,Guy Verhofstadt,9107,71
250345941651306,BNP Paribas Fortis Belgique,These ads ran without a disclaimer,8840,10
118510721519982,CNCD-11.11.11,CNCD-11.11.11,8780,51
147059973378,ACLVB - Liberale Vakbond,CGSLB - Syndicat libéral,8772,87
384632394957341,Hilde Crevits,Hilde Crevits,8600,5
365242667182267,Barbara Pas,Vlaams Belang,8556,5
681552741902811,Service Citoyen - Samenlevingsdienst,Service Citoyen,8360,137
78944030699,Kanaal Z - Canal Z,Kanaal Z - Canal Z,8316,55
171238582919259,FGTB,FGTB - Fédération Générale du Travail de Belgique,8153,19
209799696641499,Filip Brusselmans,Filip Brusselmans,8000,78
585236024850280,Belgian Nuclear Forum,These ads ran without a disclaimer,7960,46
285791090989,Friends of Democrats Abroad Belgium,Democrats Abroad,7874,52
334361224413,N-VA,These ads ran without a disclaimer,7870,13
89846075866,ProDG,ProDG,7865,201
428344933899238,VELUX,VELUX_BE,7782,14
286270414893643,CBC Banque & Assurance,CBC Banque & Assurance,7777,24
495564387205601,CD&V Limburg,CD&V Limburg,7751,72
373843839334168,ACV,ACV,7719,27
1937666046354856,Meryame Kitir,sp.a,7657,14
149158155084,Gwendolyn Rutten,Gwendolyn Rutten,7594,71
948453825344452,UNHCR Belgium,Adrien Bastin,7521,92
518402351504731,Parti Socialiste (PS),These ads ran without a disclaimer,7507,25
558881267857893,walloniephotovoltaiques.com,LA PLATEFORME DU LEAD,7475,28
109988677044893,Filip De Man,Filip De Man,7440,21
220538077963325,Europees Parlement in België / Parlement européen en Belgique,Europees Parlement in België / Parlement européen en Belgique,7384,66
984867054996076,Joris Vandenbroucke,Vandenbroucke Joris Jeroen J,7348,37
356739147855925,ENGIE,These ads ran without a disclaimer,7320,27
348214928658029,Nestlé,Nestlé,7213,40
291477637981,Carrefour,Carrefour,7212,63
547978585231957,Vlaamse overheid,Vlaamse overheid,7186,4
156922821011409,Timberland,PHD Media,7154,4
230401813696911,Randstad Belgium,Randstad Belgium,7033,8
278916445349,SOS Faim,SOS Faim,7003,44
269157793205215,sp.a West-Vlaanderen,sp.a West-Vlaanderen,6747,48
175748449149784,Decathlon Belgium,These ads ran without a disclaimer,6582,19
534390356609579,Mustela Belgium,Laboratoires Expanscience,6553,43
283381275019979,Solvari Belgique,These ads ran without a disclaimer,6470,27
16301530829,Elio Di Rupo,Parti Socialiste (PS),6389,26
192181027566488,Kris Peeters,Kris Peeters,6372,26
1070595116362186,Guy D'haeseleer,Guy D'haeseleer,6135,33
925007000949719,ExxonMobil,These ads ran without a disclaimer,6120,9
1668403796577735,uwgratisgids.be,These ads ran without a disclaimer,6056,7
316139873331,A.S.Adventure,A.S.Adventure,6013,27
258877047783179,Macha,These ads ran without a disclaimer,5972,5
1953990651532264,Koen Van den Heuvel,Koen Van den Heuvel,5955,116
77629766074,Knack,These ads ran without a disclaimer,5943,17
341897923206486,Frédéric Daerden,Frédéric Charles R Daerden,5912,37
178016496357972,GuideGratuit.be,These ads ran without a disclaimer,5905,1
110540418715,VIER VOETERS,These ads ran without a disclaimer,5870,119
148097975226385,Party of European Socialists,Party of European Socialists,5842,146
652427761837497,Eva De Bleeker,De Bleeker Eva Maria A,5757,71
416251445083421,"FOD Economie, KMO, Middenstand en Energie","FOD Economie, KMO, Middenstand en Energie",5747,31
157445631732612,WAT WAT,De Ambrassade,5728,39
277636928983663,Hendrik Bogaert,Bogaert Hendrik Frank,5679,133
2868270846536203,Les chercheurs d'air,Les chercheurs d'air,5666,96
2261998510691434,Climate.brussels,Bruxelles Environnement - Leefmilieu Brussel,5648,14
596946040405796,Bart Somers,Bart Somers,5591,106
108711484093607,Coronavirus Covid-19 Masques Belgique,Patrick Pierre C Rary,5580,21
257794051588457,Peter Van Rompuy,CD&V,5522,45
603811736730421,Tom Vandendriessche,Vlaams Belang Europees Parlement,5480,37
156559267857740,CDH BW,cdH Brabant wallon,5471,28
125105154858140,Kristof Hendrickx,"Kristof Hendrickx, N-VA",5469,7
341930059223443,"SPF Economie, P.M.E., Classes moyennes et Energie","SPF Economie, P.M.E., Classes moyennes et Energie",5442,29
518573208206444,N-VA West-Vlaanderen,Ben Glorieux,5359,72
409051602452966,Tom De Meester,PVDA,5318,23
29384148415,Paul Magnette,Parti Socialiste (PS),5315,22
73232790238,Greenpeace Belgium,These ads ran without a disclaimer,5290,141
36858143935,Olivier Chastel,MR - Mouvement Réformateur,5265,26
874181082603060,L'affaire climat,Affaire Climat asbl,5213,29
544164299401463,Marc Botenga,Marc Botenga (MEP),5202,28
586599721528737,Résilux SA,These ads ran without a disclaimer,5144,2
150977208365420,Assita Kanko,Assita Kanko,5090,28
408479362538591,Vlaams Parlement,These ads ran without a disclaimer,5080,1
847529878688555,Edgard & Cooper,Edgard & Cooper,5016,100
491116271027288,Open Vld Kapellen,Dirk Van Mechelen,5000,1
216691838442767,CSC,ACV,4851,20
60589646095,UNICEF Belgium,These ads ran without a disclaimer,4851,301
244157445635331,one brussels,one.brussels,4835,99
206193139504506,Kathleen Van Brempt,Kathleen Van Brempt,4823,122
365952313470327,Médecins Du Monde Belgique,Médecins Du Monde Belgique,4815,64
2009430405846153,Canada Immigration Express,These ads ran without a disclaimer,4808,4
103746756361685,N-VA Brugge,Nieuw-Vlaamse Alliantie,4781,44
291699857688,EPP Group in the European Parliament,EPP Group in the European Parliament,4731,37
103670281004702,Elke Van den Brandt,Groen,4719,32
274961409207861,N-VA Groot Aalst,Nieuw-Vlaamse Alliantie,4627,22
1943402032590802,Meyrem Almaci,Meyrem Almaci,4621,127
194112584577482,Le JDE,Le JDE,4603,127
150977208365420,Assita Kanko,N-VA,4556,32
970323373060505,Maison Belge Du Crédit,MBC,4495,61
81497097451,Vluchtelingenwerk Vlaanderen,Vluchtelingenwerk Vlaanderen,4448,37
104343896272579,Mercy Ships Belgium,Mercy Ships Belgium vzw,4442,130
453850452100175,Marc Botenga - PVDA,Marc Botenga (MEP),4434,24
1585072555117186,Dries Van Langenhove,Vlaams Belang,4394,4
100276518432394,World Press Clubs Alliance for Climate,World Press Clubs Alliance for Climate with Facebook ad credits,4383,15
156044451121576,AXA,These ads ran without a disclaimer,4382,5
34071644883,Handicap International - Humanity & Inclusion,Handicap International - Humanity & Inclusion,4368,143
270994524621,VRT NWS,These ads ran without a disclaimer,4366,23
362996563734991,N-VA Kortrijk,Nieuw-Vlaamse Alliantie,4310,68
236485149843971,Peter Mertens,These ads ran without a disclaimer,4281,348
408119956043956,Beci Brussels,Beci Brussels,4258,81
356739147855925,ENGIE,ENGIE,4253,33
499682940133305,Vlaams Belang Brussel,These ads ran without a disclaimer,4224,10
449955361722067,SLFP Police,SLFP Police,4222,51
147547541961576,Council of the European Union,Council of the European Union,4210,251
178362315106,European Parliament,These ads ran without a disclaimer,4200,64
159664670746380,Les Belges d'abord.,These ads ran without a disclaimer,4145,3
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,4108,63
112961202185776,IKEA,These ads ran without a disclaimer,4020,15
368858263202551,Alpro,These ads ran without a disclaimer,4018,1
141231455955770,Belga Films,Belga Films,4009,50
228307843991539,Alexander De Croo,Alexander De Croo,3965,25
457092295137599,Wallonie Plus Propre dynamisé par Be Wapp asbl,Be WaPP,3942,13
74005234816,Le Vif,Le Vif,3931,49
422494677842575,Bplus Belgium,vzw B Plus asbl,3925,50
188973157812025,De Zondag,De Zondag,3923,35
