Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
1793847130933578,Giorgio Schembri,These ads ran without a disclaimer,443,2
1006969672715108,Ian Castaldi Paris,Ian Castaldi Paris,425,14
350105925081605,Newsbook.com.mt,Newsbook.com.mt,406,36
2658589594157095,Horeca Malta,Mailbox,400,13
1006969672715108,Ian Castaldi Paris,Lovin Malta,400,3
553957061374411,Albert Buttigieg,Albert Buttigieg,394,11
309359272432391,ADPD,Alternattiva Demokratika - The Green Party,390,24
201139016692218,Daniel Attard,These ads ran without a disclaimer,387,39
607391652607909,Vaccines Today,These ads ran without a disclaimer,385,17
2171614669626227,George Vella,These ads ran without a disclaimer,380,28
533692863422778,Marlene Farrugia,These ads ran without a disclaimer,379,18
108016007632265,Katya De Giovanni,Katya De Giovanni,377,9
527351247377965,European Committee of the Regions,European Committee of the Regions,374,103
316828082334273,Santa Cruz Bistro and Tapas,Lorraine Valvo,372,22
151496594943131,Ian Borg,These ads ran without a disclaimer,372,4
1125945327534590,Errol Cutajar,Errol Cutajar,371,15
2292226091046029,Omar E. Arab,These ads ran without a disclaimer,368,23
338711896237245,Anthony Chircop - Sliema Mayor,These ads ran without a disclaimer,365,6
164748337005707,Trevor Fenech Sindku -San Ġwann,These ads ran without a disclaimer,364,28
839942429396928,Briiz,Briiz,363,14
203197030603239,8 Billion Trees,These ads ran without a disclaimer,351,29
101539511550557,Medik Malta Store,Medik Malta Store,336,13
578267982580443,Johann Grech,These ads ran without a disclaimer,330,6
117406495021568,Francis Zammit Dimech,These ads ran without a disclaimer,321,16
1423096917943323,The Alfred Mizzi Foundation,The Alfred Mizzi Foundation,320,3
295310111175191,Romilda B. Zarb - Sindku u kandidata ghall-Elezzjoni Generali,These ads ran without a disclaimer,319,27
361092834465191,Repubblika,These ads ran without a disclaimer,319,8
519983634699152,Gabriel Micallef,Gabriel Micallef,307,33
539347289876986,Go Tec Globalized,These ads ran without a disclaimer,306,6
519983634699152,Gabriel Micallef,Gabriel Micallef,303,60
149809275605377,Vote16+,These ads ran without a disclaimer,302,3
1667798806848667,Herman Farrugia,These ads ran without a disclaimer,293,20
101511231469801,Slaven Micallef,These ads ran without a disclaimer,291,4
2036112743268961,CDE News,These ads ran without a disclaimer,290,6
40870184668,FŻL - Forum Żgħażagħ Laburisti,FŻL - Forum Żgħażagħ Laburisti,290,8
2134769826797857,Anton Debono,These ads ran without a disclaimer,290,18
110298813928985,Bartolo J Ivan,Ivan Bartolo,282,10
389073271181262,EU Funds Malta,EU Funds,280,6
320338858140932,Pierre Portelli Sliema Local Councillor,These ads ran without a disclaimer,279,8
111658128847068,Amnesty International,These ads ran without a disclaimer,276,7
735396419870282,MaltaGov,These ads ran without a disclaimer,271,1
1683577911708021,Volt Malta,Volt Malta,263,74
116353271736965,European Parliament in Malta / Il-Parlament Ewropew f'Malta,These ads ran without a disclaimer,255,5
639605909439300,MITA,These ads ran without a disclaimer,250,2
506829903185337,Doctors for Choice Malta,Jamie Grech,248,10
215890091811957,Chris Fearne,These ads ran without a disclaimer,248,7
1024305577762812,Malta Family Law Blog,Robert Thake,245,8
239063562820183,Gift of Life Malta,These ads ran without a disclaimer,241,16
325758517614182,Kevin Cauchi - Ghajnsielem,Kevin Cauchi,238,19
119400288227788,Clyde Puli,These ads ran without a disclaimer,236,14
208843695919509,Carm Mifsud Bonnici,These ads ran without a disclaimer,235,8
366906900097269,Ryan Callus,Ryan Callus,234,14
102966474756562,Fondi Ewropej,These ads ran without a disclaimer,231,2
1343072129119715,Robert Abela,These ads ran without a disclaimer,230,2
901167396713466,Manuel Delia,These ads ran without a disclaimer,230,2
102329635073756,Joseph Grech,Joseph Grech,225,7
263881160919130,Peter Agius,These ads ran without a disclaimer,223,36
370176067131807,Sephora Cutajar,These ads ran without a disclaimer,221,8
1125945327534590,Errol Cutajar,These ads ran without a disclaimer,221,5
962171353838693,Stefan Zrinzo Azzopardi,Stefan Zrinzo Azzopardi,220,8
162702787116992,Earth Garden,These ads ran without a disclaimer,220,1
2348335638559952,Chris Bonett,Christian Paul Bonett,219,13
485570778145314,Charles Bonello,Charles Bonello,218,16
562243087210860,Graziella Attard Previ - Sliema Deputy Mayor - General Election Candidate,These ads ran without a disclaimer,216,5
142764992538983,Christian Micallef,These ads ran without a disclaimer,214,8
104830741414076,The Island.mt,The Island,210,4
295310111175191,Romilda B. Zarb - Sindku u kandidata ghall-Elezzjoni Generali,Romilda Baldacchino Zarb,210,10
290132764760376,Clayton Bartolo,Kearon Bruno,203,7
100164765041410,finanzi,These ads ran without a disclaimer,200,1
235240306667037,Kopin Malta,Kopin Malta,200,4
185852885338199,Notmyagreement,Grixti Dario,199,12
87072433962,Aaron Farrugia,These ads ran without a disclaimer,198,11
2286824898201285,Water - Be The Change,These ads ran without a disclaimer,198,5
2160573460895828,Rebekah Cilia,Rebekah Cilia,197,3
290132764760376,Clayton Bartolo,These ads ran without a disclaimer,191,5
207317455970691,Aldo Busuttil,Aldo Busuttil,191,7
103782984308921,Blogz Available,These ads ran without a disclaimer,190,4
1198556280321936,Martin Cauchi Inglott,Martin Cauchi Inglot,190,4
411450196264363,Titan Power+,These ads ran without a disclaimer,180,6
1666258236737057,Conrad Borg Manché,These ads ran without a disclaimer,176,6
1911257335785088,David Stellini,These ads ran without a disclaimer,174,2
236517837179567,Frederick Aquilina,These ads ran without a disclaimer,169,27
194179617289088,Beppe Fenech Adami,These ads ran without a disclaimer,167,12
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,164,72
1695889637360770,Hempire,These ads ran without a disclaimer,164,22
265708320989344,Dr. Rebecca Dalli Gonzi,These ads ran without a disclaimer,156,4
506829903185337,Doctors for Choice Malta,Natalie Psaila,156,2
361934417981005,Joseph Buttigieg,These ads ran without a disclaimer,156,40
256633338596868,Charmaine St John,These ads ran without a disclaimer,152,4
310113712382001,Frank Salt Real Estate,Nick Bilocca,150,3
101948514879068,Investigative Journalism for Malta,Victor Borg,150,25
1990838864506831,Anja Goder,Anja Goder,150,5
446487702156732,Roselyn Borg Knight,These ads ran without a disclaimer,148,4
208860136344628,ActiVit Malta,These ads ran without a disclaimer,143,5
355087424564148,VoteWatch Europe,These ads ran without a disclaimer,141,12
1051745521542569,Vestech Malta,Zahra Joseph,140,18
178362315106,European Parliament,These ads ran without a disclaimer,131,25
202808526976518,Infrastructure Malta,Infrastructure Malta,131,11
358570157901383,Carlos Zarb,These ads ran without a disclaimer,131,6
855064458218830,Howard Joseph,These ads ran without a disclaimer,130,7
1417638468449319,Clint Camilleri,Clint Camilleri,130,28
352671194861746,Women's Rights Foundation,Women's Rights Foundation,130,7
289569618166195,Luke Caruana,Alternattiva Demokratika - The Green Party,128,13
194781217654528,Cyber Security - Malta,These ads ran without a disclaimer,124,2
166617437361908,Josef Caruana,These ads ran without a disclaimer,123,2
119283008140727,Pela Case,These ads ran without a disclaimer,123,57
208847592959887,Bernard Grech,These ads ran without a disclaimer,122,24
241512229256662,Rosianne Cutajar,These ads ran without a disclaimer,119,3
244715312774043,Malta Qabel Kollox,These ads ran without a disclaimer,117,1
331926673515276,Zerafa Daniel,These ads ran without a disclaimer,116,6
380497969456408,Anna Azzopardi,Ann Marie Azzopardi,114,10
1510459595942717,Esplora Interactive Science Centre,These ads ran without a disclaimer,114,3
110298813928985,Bartolo J Ivan,These ads ran without a disclaimer,114,9
227758668447234,Apap Meli Sean Kandidat l-1 u 6 Distrett - Avukat,Sean Apap Meli,114,7
764881470202582,Eddy G,These ads ran without a disclaimer,113,2
1944284412450242,A Bird's Eye View,Gianluca Vella,113,32
118206712183521,Keith Tanti,Keith John Tanti,113,2
722656708133257,Apap Meli Sean - Kunsillier Hal Qormi - Avukat,These ads ran without a disclaimer,111,18
401384523672118,Aqua Marine Water Sports,Aqua Marine,110,4
147547541961576,Council of the European Union,These ads ran without a disclaimer,110,6
102389457864860,Treehuggers Bracelets,These ads ran without a disclaimer,109,10
106971900737894,The United Arab Emirates Nation Brand,These ads ran without a disclaimer,109,1
334389020552520,Oskar Zerafa Gregory LC,These ads ran without a disclaimer,109,2
1050376408471129,James Grech,James Grech,108,14
116206531782887,Wise,These ads ran without a disclaimer,108,2
1635736753328236,Fortrade Online Trading,These ads ran without a disclaimer,105,27
312856209350487,Martin Vella,These ads ran without a disclaimer,105,9
109513924137905,1RUN,Switch - Digital & Brand,104,4
2388354714741824,EcoInnova,These ads ran without a disclaimer,101,7
362587730902797,Cristian Sapiano.Media,These ads ran without a disclaimer,101,11
199399966740401,Paul & Shark Malta,Lovin Malta,≤100,2
718028451554921,Transport Malta,These ads ran without a disclaimer,≤100,1
338404986350255,General Workers’ Union GWU,These ads ran without a disclaimer,≤100,1
2348335638559952,Chris Bonett,These ads ran without a disclaimer,≤100,1
1705881352982741,Violet Support Online,Victim Support Malta,≤100,10
146425212985,MGRM,MGRM,≤100,4
125032151495114,Rebels With A Cause,Rebels With A Cause,≤100,2
476630169484888,QLZH Foundation,Fabio Zuccaro,≤100,1
569537523066702,Darren Carabott,Darren Carabott,≤100,6
1157670554362496,Mark Causon Kandidat Partit Laburista,These ads ran without a disclaimer,≤100,6
477845969710130,Human like you,These ads ran without a disclaimer,≤100,2
175901929802789,Rodianne Haber,These ads ran without a disclaimer,≤100,2
105859844178357,Kudomalta,These ads ran without a disclaimer,≤100,6
722656708133257,Apap Meli Sean - Kunsillier Hal Qormi - Avukat,Sean Apap Meli,≤100,9
169080930225029,Noyah Spiteri Hammett,These ads ran without a disclaimer,≤100,3
