Page ID,Page Name,Disclaimer,Amount Spent (CZK)
101354244586132,Československá socialistická tisková kancelář,Konektor Social,5567
336328666439257,ŠKODA Česká republika,These ads ran without a disclaimer,5522
150003828819986,Dedoles,These ads ran without a disclaimer,5290
106792844444026,Petr Brábník - politik,Petr Brábník,5212
120764052849694,World News 24,"World News Media, s.r.o.",5183
378827025796132,Peak.cz,Peak.cz,5097
202974613060409,Pavel Poc,Poc Pavel,5053
609246842426009,Rekonstrukce státu,Rekonstrukce státu,5000
111041662264882,ČSSD,ČESKÁ PRODUKČNÍ Social Media s.r.o.,4867
1900532106849242,Institute H21,Institute H21,4841
2380171825590338,Markéta Gregorová - I Ty jsi Brusel,Markéta Gregorová,4828
128259637824711,NEY spořitelní družstvo,NEY spořitelní družstvo,4664
384187235387895,Alena Schillerová,ANO,4597
1439143123070953,Svoboda a přímá demokracie  Liberecký kraj - SPD,Radovan Vích,4562
117823623864,Transparency International ČR,Transparency International ČR,4468
263441620339662,Nestlé,Nestlé Česko s.r.o.,4438
177168055984056,Reportáže z průmyslu,Lucie Rottenborn,4340
189539264513469,Východočeši - Královéhradecký kraj,Adam Kracík,4273
114474108677288,Martin Kuba,Martin Kuba,4271
141366725876424,European Greens,European Greens,4242
952005618247538,Martin Červíček,Martin Červíček,4184
2244726532215982,Senátorský klub - Starostové a nezávislí,Senátorský klub Starostové a nezávislí,4182
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu,4110
43855944703,Svobodní,Svobodní,4094
146991996743,Gambrinus,These ads ran without a disclaimer,4085
112976130425108,Drahoslav Chudoba,These ads ran without a disclaimer,4069
394570898000897,Kniha Revoluce - Jakub Trpiš,These ads ran without a disclaimer,4027
466459903794526,MUDr. Ivan David,European Parliament,3955
55408246161,Amnesty International ČR,Amnesty International ČR,3911
513927259349822,Nadace Tipsport,Nadace TIPSPORT,3866
1917661888252695,Tomáš Goláň - senátor,Tomáš Goláň - senátor,3864
764700610326484,ODA,These ads ran without a disclaimer,3835
416775672237144,Milion chvilek - Vrchlabí,Jakub Omrt,3697
206407509818,Blesk.cz,Czech News Center a.s.,3693
2256794514563672,Češi v právu,Češi v právu,3570
374865462625217,I Love Primátor,These ads ran without a disclaimer,3526
1201085733241671,Café Evropa,EUROPEUM Institute for European Policy,3463
173387086117403,ODS Královéhradecký kraj,ODS Královéhradecký kraj,3424
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,3411
764700610326484,ODA,Občanská demokratická aliance,3354
105859461356280,Exekuční neřád,Rekonstrukce státu,3343
154875871195800,Piráti a nezávislí Trutnov,Česká pirátská strana KhK,3225
111041662264882,ČSSD,These ads ran without a disclaimer,3189
255088745405787,Alexandr Hrabálek - primátor města Hradec Králové,Kricfalusi Jiri,3157
417640701606199,Mgr. Václav Řehoř,Kricfalusi Jiri,3138
129832104026166,Motora,These ads ran without a disclaimer,3108
197010357446014,"Ondřej Prokop, místostarosta Prahy 11",Ondrej Prokop,3037
872454636138704,OBRAZ - Obránci zvířat,OBRAZ - Obránci zvířat,3019
578342809023884,Jsme fér,Prague Pride,3017
876081855773308,Pošta Zdarma,These ads ran without a disclaimer,2938
339021716804527,Volime-Hynka-007,ODS - Občanská demokratická strana,2794
115589329891193,Konference Budoucnost evropského zemědělství /2020,European Parliament,2792
179497582061065,Tomio Okamura - SPD,These ads ran without a disclaimer,2786
733410133337387,Michaela Šojdrová,KDU-ČSL,2785
107733504431288,CEVRO ARENA,Jiří Cieslar,2747
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,2679
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,2628
1487903284807764,"Mgr. Miroslav Půža, PhD - Volba pro město - Hradec Králové",Miroslav Půža,2577
1754507148208767,pujckybezpecne.cz,Czech Financial Consulting s.r.o.,2572
2675743919122449,Nakupino.cz,These ads ran without a disclaimer,2563
106149624597497,Manifest.cz,David Tesař,2514
18349420804,Heureka.cz,These ads ran without a disclaimer,2480
55408246161,Amnesty International ČR,These ads ran without a disclaimer,2474
1757913860945739,ORLEN Unipetrol,Unipetrol,2472
144298469843,Ronnie.cz,These ads ran without a disclaimer,2446
106359037468260,Jiří Bláha,Kricfalusi Jiri,2434
108726857444837,České zájmy v EU,České zájmy v EU,2416
108955600806152,Jakub Unucka - Občan a politik ODS,ODS,2411
162310277268109,"Ing. Jaromír Kohlíček, CSc.",Kohlicek Jaromir,2408
977639539069229,Jana Maláčová,Jana Maláčová,2390
1220066088147062,Ondřej Krutílek,ODS,2345
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,2312
342983399151939,Econea,Econea,2299
394054867410128,4Life Direct Česká Republika,These ads ran without a disclaimer,2259
1828572300805912,Rosatom Global,These ads ran without a disclaimer,2231
1866971343363946,Contraband.zone - Originální dárky,These ads ran without a disclaimer,2226
1505689656340996,Královéhradecký kraj,Královéhradecký kraj,2193
400970967000022,Jan Zahradil,ODS - Občanská demokratická strana,2184
