Page ID,Page Name,Disclaimer,Amount Spent (CZK)
1161002053978712,Jitka Seitlová,Lambert Vojtech,6117
207650279399445,ANO - Zlínský kraj,ANO,6060
778460319203526,Jaroslav Suchý,Lambert Vojtech,5883
535611970260854,Evropa společně,Evropa společně,5773
277957209202178,Václav Klaus ml.,Trikolóra,5650
733410133337387,Michaela Šojdrová,KDU-ČSL,5552
101354244586132,Československá socialistická tisková kancelář,Konektor Social,5390
123858471641,iROZHLAS.cz,Český rozhlas,5338
150003828819986,Dedoles,These ads ran without a disclaimer,5107
117111438676,Asociace společenské odpovědnosti,Asociace společenské odpovědnosti,5038
100761461345420,Hana Ančincová - statutární náměstkyně hejtmana Zlínského kraje,Česká pirátská strana,4988
609246842426009,Rekonstrukce státu,Rekonstrukce státu,4980
2380171825590338,Markéta Gregorová - I Ty jsi Brusel,Markéta Gregorová,4842
115573093213607,Trikolóra hnutí občanů Rožnov pod Radhoštěm,Radim Červenka,4799
497198057045195,Monika Le Fay,Monika Le Fay,4780
202974613060409,Pavel Poc,Poc Pavel,4759
378827025796132,Peak.cz,Peak.cz,4757
120764052849694,World News 24,"World News Media, s.r.o.",4718
124212050978293,Kverulant org,Kverulant org,4718
114031603734404,Radek Henner,Marek Pochylý,4686
55408246161,Amnesty International ČR,Amnesty International ČR,4498
356451014434612,Marian Jurečka,Lambert Vojtech,4488
764700610326484,ODA,Občanská demokratická aliance,4433
171976652332,Mladí demokraté,Mladí demokraté,4426
43855944703,Svobodní,Svobodní,4399
226207821151572,Marek Novák,Marek Novák,4388
1475405366058902,Kdu-Čsl Uherský Brod,David Surý,4276
141366725876424,European Greens,European Greens,4269
263441620339662,Nestlé,Nestlé Česko s.r.o.,4253
384187235387895,Alena Schillerová,ANO,4239
555596331313115,Jiří Korec,Jiří Korec,4159
111041662264882,ČSSD,ČESKÁ PRODUKČNÍ Social Media s.r.o.,4132
177168055984056,Reportáže z průmyslu,Lucie Rottenborn,4111
108955600806152,Jakub Unucka - Občan a politik ODS,ODS,4078
206630153142726,Marek Výborný,Macků Ondřej,4052
981962295256718,Táňa Valentová Nersesjan,ČSSD,3970
101937231589371,Čestmír Bouda,Čestmír Bouda,3962
146991996743,Gambrinus,These ads ran without a disclaimer,3928
101738078111175,Petr Vrána,Tomáš Navrátil,3886
394570898000897,Kniha Revoluce - Jakub Trpiš,These ads ran without a disclaimer,3615
106138857557725,Zachraňme Baťovu nemocnici,Tomáš Goláň - senátor,3612
128259637824711,NEY spořitelní družstvo,NEY spořitelní družstvo,3605
764700610326484,ODA,These ads ran without a disclaimer,3572
2114781368774539,Nezávislí - Holešov,Svatava Ságnerová,3500
466459903794526,MUDr. Ivan David,European Parliament,3496
298789466930469,KSČM - Komunistická strana Čech a Moravy,"Futura, a.s.",3458
1900532106849242,Institute H21,Institute H21,3407
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,3352
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu,3299
578342809023884,Jsme fér,Prague Pride,3263
2256794514563672,Češi v právu,Češi v právu,3176
111041662264882,ČSSD,These ads ran without a disclaimer,3132
206407509818,Blesk.cz,Czech News Center a.s.,3051
114474108677288,Martin Kuba,Martin Kuba,2931
179497582061065,Tomio Okamura - SPD,These ads ran without a disclaimer,2897
203833483473,Deník Referendum,Deník Referendum,2775
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,2729
105859461356280,Exekuční neřád,Rekonstrukce státu,2726
876081855773308,Pošta Zdarma,These ads ran without a disclaimer,2718
103490157887634,Lubomír Traub,These ads ran without a disclaimer,2669
108726857444837,České zájmy v EU,České zájmy v EU,2646
18349420804,Heureka.cz,These ads ran without a disclaimer,2636
173305846086912,Jiří Čunek,Jiří Čunek,2598
144298469843,Ronnie.cz,These ads ran without a disclaimer,2553
106149624597497,Manifest.cz,David Tesař,2527
581919708494005,STAN Zlínský kraj,Starostové a nezávislí • STAN,2491
129832104026166,Motora,These ads ran without a disclaimer,2452
872454636138704,OBRAZ - Obránci zvířat,OBRAZ - Obránci zvířat,2440
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,2435
109971530524897,Týdeník Hrot,Týdeník Hrot,2420
55408246161,Amnesty International ČR,These ads ran without a disclaimer,2399
115589329891193,Konference Budoucnost evropského zemědělství /2020,European Parliament,2399
1158239840904919,Jiří Kudláček,Koalice Trikolóra/ODA,2379
513927259349822,Nadace Tipsport,Nadace TIPSPORT,2367
2675743919122449,Nakupino.cz,These ads ran without a disclaimer,2343
107733504431288,CEVRO ARENA,Jiří Cieslar,2330
342983399151939,Econea,Econea,2322
1161002053978712,Jitka Seitlová,Jitka Seitlová,2277
162310277268109,"Ing. Jaromír Kohlíček, CSc.",Kohlicek Jaromir,2269
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,2234
1410403182565683,Petr Hladík,KDU-ČSL,2156
1757913860945739,ORLEN Unipetrol,Unipetrol,2153
350495845030493,Fairtrade Česko a Slovensko,Fairtrade Česko a Slovensko,2131
394054867410128,4Life Direct Česká Republika,These ads ran without a disclaimer,2122
1036986463173677,Humans of Piráti,These ads ran without a disclaimer,2104
1279149662233869,GRILL BOOM Burger,These ads ran without a disclaimer,2100
162620837267478,Jan Bartošek,Jan Bartošek,2048
40744295977,Brembo,These ads ran without a disclaimer,2043
171976652332,Mladí demokraté,These ads ran without a disclaimer,2030
197010357446014,"Ondřej Prokop, místostarosta Prahy 11",Ondrej Prokop,2013
1866971343363946,Contraband.zone - Originální dárky,These ads ran without a disclaimer,2013
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj,2012
321165708610626,Andrej Bóna,Vokoun Tomas,2009
1519178648365430,Petr Gazdík,Starostové a nezávislí • STAN,2000
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,1985
400970967000022,Jan Zahradil,ODS - Občanská demokratická strana,1978
1828572300805912,Rosatom Global,These ads ran without a disclaimer,1971
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,1967
100683176313,iDNES.cz,These ads ran without a disclaimer,1960
121742606287904,Zasaďme se Hnutí DUHA,Hnutí DUHA - Přátelé Země Česká republika,1954
1569827246387763,Energie pro život,These ads ran without a disclaimer,1939
100938454833016,Petr Michálek - ředitel zlínského divadla,Petr Michálek,1929
470593056405865,Kde fondy EU pomáhají,These ads ran without a disclaimer,1895
102433907827641,Bamboo Europe CZ,BAMBOO EUROPE CZ,1892
39371299263,Zelení - Strana zelených,Zelení - Strana zelených,1798
400970967000022,Jan Zahradil,Jan Zahradil,1796
257529307701966,Jiří Pospíšil,TOP 09,1742
284247164921991,Pirátská strana - Vysočina,Česká pirátská strana,1727
124596689571,Radio Wave,Český rozhlas,1723
137301989386,Aktuálně.cz,Aktuálně.cz,1713
113755299053,MUDr. Gabriela Pecková - TOP 09,Vondryska Jan,1682
113437470509035,Za normální svět,Karel Halačka,1675
1711374649101311,Piráti ValMez,Česká pirátská strana,1656
317398901621260,IKEA,These ads ran without a disclaimer,1650
2108659169383946,František Talíř,KDU-ČSL,1640
100411331619612,Čínský virus bez cenzury: Info a tipy,Jiří Chlebníček,1636
1247185735414347,Tradeinfo,These ads ran without a disclaimer,1612
289488138616649,Vitacredit,VITACREDIT s.r.o.,1543
117823623864,Transparency International ČR,These ads ran without a disclaimer,1542
312714815964343,Nestraníci pro Hradiště,Jan Zapletal,1533
109870957154839,Home Voluntarily / Домой добровольно / Tự nguyện hồi hương,Mezinárodní organizace pro migraci (IOM),1524
241585376752586,Doprava Zlín,Michal Čížek,1491
106891623334554,Adam Vojtěch,These ads ran without a disclaimer,1489
573004246504627,Bohéma,Dobrý spolek,1481
233045260129148,Evžen Tošenovský,Kasik Martin,1471
380128425460327,Tomáš Pajonk,These ads ran without a disclaimer,1457
202634290620318,Seventh Generation,Seventh Generation,1437
121241337968943,"Koruna Česká - monarchistická strana Čech, Moravy a Slezska","Koruna Česká - monarchistická strana Čech, Moravy a Slezska",1390
104654572907664,E.ON Energy Globe,These ads ran without a disclaimer,1388
400970967000022,Jan Zahradil,These ads ran without a disclaimer,1386
1704229819894849,Petr Kořenek,ČSSD,1384
350510278898035,Radim Ivan - Princ z ODS,PRINCZ Z ODS,1372
810056782516469,Patrik Nacher,Patrik Nacher,1355
