Page ID,Page Name,Disclaimer,Amount Spent (CZK)
150003828819986,Dedoles,These ads ran without a disclaimer,7490
111041662264882,ČSSD,ČESKÁ PRODUKČNÍ Social Media s.r.o.,7343
197010357446014,"Ondřej Prokop, místostarosta Prahy 11",Ondrej Prokop,7285
206407509818,Blesk.cz,Czech News Center a.s.,7251
363231251092690,Pavel Růžička,Hedvika Mašková,7231
764700610326484,ODA,These ads ran without a disclaimer,7213
129832104026166,Motora,These ads ran without a disclaimer,7154
567147076746992,Senátor Jiří Vosecký - Vosa v Senátu,Jiří Vosecký,7136
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,6849
229294384295513,"Přemysl Rabas, senátor",Premysl Rabas,6816
609246842426009,Rekonstrukce státu,Rekonstrukce státu,6812
146991996743,Gambrinus,These ads ran without a disclaimer,6783
1408993342760508,Město Louny,PRodukujeme s.r.o.,6761
764700610326484,ODA,Občanská demokratická aliance,6758
43855944703,Svobodní,Svobodní,6621
114474108677288,Martin Kuba,Martin Kuba,6565
108113941009542,Věra Nechybová,Miloš Štěpař,6546
631133217512876,JUDr. Jan Riedl -  nezávislý občanský kandidát do Senátu ČR,JUDr. Jan Riedl,6467
1917661888252695,Tomáš Goláň - senátor,Tomáš Goláň - senátor,6458
466459903794526,MUDr. Ivan David,European Parliament,6437
141366725876424,European Greens,European Greens,6416
497198057045195,Monika Le Fay,Monika Le Fay,6310
394054867410128,4Life Direct Česká Republika,These ads ran without a disclaimer,6272
578342809023884,Jsme fér,Prague Pride,6110
513927259349822,Nadace Tipsport,Nadace TIPSPORT,6093
2244726532215982,Senátorský klub - Starostové a nezávislí,Senátorský klub Starostové a nezávislí,6072
263441620339662,Nestlé,Nestlé Česko s.r.o.,6009
100124918477167,Petr Šmíd - Trikolora,Petr Šmíd,6004
321762510282,Michal Kučera,Michal Kučera,5981
111041662264882,ČSSD,These ads ran without a disclaimer,5903
876081855773308,Pošta Zdarma,These ads ran without a disclaimer,5895
1439143123070953,Svoboda a přímá demokracie  Liberecký kraj - SPD,Radovan Vích,5856
177168055984056,Reportáže z průmyslu,Lucie Rottenborn,5738
108726857444837,České zájmy v EU,České zájmy v EU,5711
179497582061065,Tomio Okamura - SPD,These ads ran without a disclaimer,5631
100171261843351,Adam Komenda - mostecký zastupitel,Adam Komenda,5600
394570898000897,Kniha Revoluce - Jakub Trpiš,These ads ran without a disclaimer,5551
109431260876425,Jan Paparega,Vít Nešpor,5403
1815379688541829,Jiří Nedvěd - radní,These ads ran without a disclaimer,5306
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,5277
872454636138704,OBRAZ - Obránci zvířat,OBRAZ - Obránci zvířat,5020
100982464653994,Petr Vinš,Petr Vinš,5000
567147076746992,Senátor Jiří Vosecký - Vosa v Senátu,Starostové pro Liberecký kraj,4965
107733504431288,CEVRO ARENA,Jiří Cieslar,4918
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,4882
109870957154839,Home Voluntarily / Домой добровольно / Tự nguyện hồi hương,Mezinárodní organizace pro migraci (IOM),4862
106149624597497,Manifest.cz,David Tesař,4827
162310277268109,"Ing. Jaromír Kohlíček, CSc.",Kohlicek Jaromir,4806
111664013910338,ZaRegion,ZaRegion,4792
1828572300805912,Rosatom Global,These ads ran without a disclaimer,4764
977639539069229,Jana Maláčová,Jana Maláčová,4695
55408246161,Amnesty International ČR,Amnesty International ČR,4631
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,4623
110766473981716,Bruselská dáma,Klimatická koalice,4596
350495845030493,Fairtrade Česko a Slovensko,Fairtrade Česko a Slovensko,4497
1451376028412024,Pavel Svoboda,Křesťanská a demokratická unie - Československá strana lidová,4483
192918874111245,KDU - ČSL Ústecký kraj,Jiří Skřivánek,4409
1451805735037441,Čisté Ústí,Tomáš Vandas,4318
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu,4314
111664013910338,ZaRegion,Impression Media,4288
18349420804,Heureka.cz,These ads ran without a disclaimer,4255
1541504502816894,Daniel Pitek - sedlák pod Milešovkou,SENÁTOR 21,4215
108955600806152,Jakub Unucka - Občan a politik ODS,ODS,4185
1443742905864726,Zbyněk Linhart - Krásná Lípa,These ads ran without a disclaimer,4125
470593056405865,Kde fondy EU pomáhají,These ads ran without a disclaimer,4114
1601272696606781,Petr Globočník - politik,These ads ran without a disclaimer,4080
105822804344879,Martin Klika,These ads ran without a disclaimer,4038
101948248244787,Předvolební debaty - Ústecký kraj,Jan Smítka,4029
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj,3976
400970967000022,Jan Zahradil,Jan Zahradil,3946
411145352422813,"Město Bílina, oficiální stránka",Mobilní Rozhlas,3926
109573630813341,Vize - národní socialisté,Vlasta Kaulerová,3921
113437470509035,Za normální svět,Karel Halačka,3893
106840744186103,Podbořanský PRAVDOvod,Martin Řepík,3887
2675743919122449,Nakupino.cz,These ads ran without a disclaimer,3817
1818344011729113,ODS Ústecký kraj,ODS Ústecký kraj,3808
577282959139813,Melnicko.cz,Josef Kowanda,3796
166647353891,DOBROTY S PŘÍBĚHEM,These ads ran without a disclaimer,3767
102433907827641,Bamboo Europe CZ,BAMBOO EUROPE CZ,3758
400970967000022,Jan Zahradil,ODS - Občanská demokratická strana,3753
1443742905864726,Zbyněk Linhart - Krásná Lípa,Zbyněk Linhart,3611
109971530524897,Týdeník Hrot,Týdeník Hrot,3563
104654572907664,E.ON Energy Globe,These ads ran without a disclaimer,3535
1866971343363946,Contraband.zone - Originální dárky,These ads ran without a disclaimer,3445
273367223021327,Veronika Vrecionová,Občanská demokratická strana,3427
109423727286984,Trikolóra Děčín,Trikolóra,3289
144298469843,Ronnie.cz,These ads ran without a disclaimer,3254
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,3249
810056782516469,Patrik Nacher,Patrik Nacher,3217
137301989386,Aktuálně.cz,Aktuálně.cz,3160
356451014434612,Marian Jurečka,Lambert Vojtech,3157
229294384295513,"Přemysl Rabas, senátor",These ads ran without a disclaimer,3156
1998785540399771,Doprava Ústeckého kraje,These ads ran without a disclaimer,3104
100683176313,iDNES.cz,These ads ran without a disclaimer,3092
317398901621260,IKEA,These ads ran without a disclaimer,3064
267806570729225,Národní Noviny,Hrubon Rudolf,3017
321165708610626,Andrej Bóna,Vokoun Tomas,2999
104968250999459,Dominik Hanko - SPD,Dominik Hanko,2955
102453624930062,Miroslav Andrt - politik,Ivo Stráník,2938
55408246161,Amnesty International ČR,These ads ran without a disclaimer,2859
113755299053,MUDr. Gabriela Pecková - TOP 09,Vondryska Jan,2794
115589329891193,Konference Budoucnost evropského zemědělství /2020,European Parliament,2770
257529307701966,Jiří Pospíšil,TOP 09,2752
1569827246387763,Energie pro život,These ads ran without a disclaimer,2728
1036986463173677,Humans of Piráti,Česká pirátská strana,2720
105822804344879,Martin Klika,Martin Klika,2706
102303404745971,Happy Planet - Travel,These ads ran without a disclaimer,2697
181998901995394,"ŽIŽLAVSKÝ, advokátní kancelář",These ads ran without a disclaimer,2686
103020631260626,Un viaggio a Bali,These ads ran without a disclaimer,2671
39371299263,Zelení - Strana zelených,Zelení - Strana zelených,2660
248770028560533,Integrační centrum Praha / Integration centre Prague,Integrační centrum Praha / Integration centre Prague,2646
122036837883954,"CYRRUS, a.s.",These ads ran without a disclaimer,2610
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,2596
106891623334554,Adam Vojtěch,These ads ran without a disclaimer,2578
121742606287904,Zasaďme se Hnutí DUHA,Hnutí DUHA - Přátelé Země Česká republika,2536
121241337968943,"Koruna Česká - monarchistická strana Čech, Moravy a Slezska","Koruna Česká - monarchistická strana Čech, Moravy a Slezska",2530
142069753862,TN.CZ,These ads ran without a disclaimer,2527
124596689571,Radio Wave,Český rozhlas,2464
34825122262,Časopis Reflex,Časopis Reflex,2457
100411331619612,Čínský virus bez cenzury: Info a tipy,Jiří Chlebníček,2455
2256794514563672,Češi v právu,These ads ran without a disclaimer,2448
371826356761478,Exekutorská komora České republiky,Exekutorská komora,2431
226207821151572,Marek Novák,Marek Novák,2429
2108659169383946,František Talíř,KDU-ČSL,2407
105822804344879,Martin Klika,Vít Nešpor,2366
280617905401953,Alexandra Udženija,These ads ran without a disclaimer,2358
1803608073027117,Společně Ústí nad Labem,Petr Vidlák,2353
6243987495,Spotify,These ads ran without a disclaimer,2317
701293073580805,Pražský hrad - Kancelář prezidenta republiky,These ads ran without a disclaimer,2307
284247164921991,Pirátská strana - Vysočina,Česká pirátská strana,2306
40744295977,Brembo,These ads ran without a disclaimer,2305
733410133337387,Michaela Šojdrová,KDU-ČSL,2303
198422827124,Saxo Bank,These ads ran without a disclaimer,2278
159128307628233,Jihočeská univerzita v Českých Budějovicích,Jihočeská univerzita v Českých Budějovicích,2275
549553085465854,Piráti a Zelení pro Most,Adam Komenda,2247
339021716804527,Volime-Hynka-007,ODS - Občanská demokratická strana,2239
400970967000022,Jan Zahradil,These ads ran without a disclaimer,2217
108263350822320,Spectr salad,These ads ran without a disclaimer,2209
313971562018913,STAN Středočeský kraj,Starostové a nezávislí,2140
614434815422565,Karla Maříková,Karla Maříková,2134
342983399151939,Econea,Econea,2133
202634290620318,Seventh Generation,Seventh Generation,2122
469612116404009,Enmag.cz,Jan Drahoš,2035
1754507148208767,pujckybezpecne.cz,Czech Financial Consulting s.r.o.,2015
120250914680166,EuroZprávy.cz,These ads ran without a disclaimer,2014
102757761309959,Tipeeto,Tipeeto,1999
214827221987263,Andrej Babiš,These ads ran without a disclaimer,1979
215892419185705,Makevision,Jan Páv,1937
474594005906021,Olga Sehnalová,Olga Sehnalová,1936
1900532106849242,Institute H21,Sova Miriam,1932
1247185735414347,Tradeinfo,These ads ran without a disclaimer,1912
356382154550156,e.on,e.on,1909
1917661888252695,Tomáš Goláň - senátor,"Tomáš Goláň, senátor za obvod č. 78 (Zlínsko)",1895
101997004521344,9 proti kolapsu zdravotnictví,Lékařský odborový klub - svaz českých lékařů,1881
117823623864,Transparency International ČR,These ads ran without a disclaimer,1881
415013742606508,Asiaskop,"Sinoskop – Institut pro současnou Čínu, z.s.",1878
573964139387685,"Prof. MUDr. Jaroslav Malý, CSc",Jaroslav Malý,1873
30575632699,ODS - Občanská demokratická strana,These ads ran without a disclaimer,1867
147547541961576,Council of the European Union,Council of the European Union,1859
1483237748591093,Festival svobody,Festival svobody,1858
111210916534,Příběhy bezpráví,"Člověk v tísni, o.p.s.",1810
106149624597497,Manifest.cz,Luděk Tesař,1809
105280227637808,Trikolóra Ústí nad Labem,Trikolóra,1805
102540667943116,Cisco Geek,Barbora Dugová,1757
1701718886552103,Moje Evropa,Moje Evropa,1737
511497365600515,Markéta Pekarová Adamová,Markéta Pekarová Adamová,1705
108113941009542,Věra Nechybová,Vít Nešpor,1688
1201085733241671,Café Evropa,EUROPEUM Institute for European Policy,1685
102762124737016,Jiří Suremka  Trikolora,Trikolóra,1644
356382154550156,e.on,These ads ran without a disclaimer,1638
43855944703,Svobodní,These ads ran without a disclaimer,1632
378072105614553,Daniel Herman,These ads ran without a disclaimer,1630
1868858213334919,Z Man,These ads ran without a disclaimer,1624
1161002053978712,Jitka Seitlová,Lambert Vojtech,1621
350510278898035,Radim Ivan - Princ z ODS,PRINCZ Z ODS,1619
93433992603,Hospodářské noviny,Aktuálně.cz,1602
605208513007852,Pavel Sehnal,These ads ran without a disclaimer,1601
119624098506,Kateřina Konečná,Konecna Katerina,1592
288578045399442,Czechsight,Patrik Malios,1592
378072105614553,Daniel Herman,Vasek Jiri,1577
370583064327,Starostové a nezávislí • STAN,Starostové (STAN) s regionálními partnery a TOP 09,1577
111339528899282,Statutární město Most,Mobilní Rozhlas,1568
110395247524264,Švýcarská demokracie,Razdik Tomas,1560
166706910203454,Cat Rugged Phones,These ads ran without a disclaimer,1540
212720159182655,KitKat,These ads ran without a disclaimer,1536
573004246504627,Bohéma,Dobrý spolek,1530
1562059410771351,Luboš Zálom,Luboš Zálom,1519
117330538358428,KDU-ČSL Vysočina,Krajská organizace KDU-ČSL Vysočina,1517
523450094407778,Marek Ženíšek,TOP 09,1510
125882380921089,ŠUDOMA  Peugeot,These ads ran without a disclaimer,1500
1220066088147062,Ondřej Krutílek,ODS,1487
1657306687747703,Lukáš Berta - Svobodná vlaštovka,Lukáš Berta,1486
123858471641,iROZHLAS.cz,These ads ran without a disclaimer,1471
196138910406401,Democrats Abroad Czech Republic,Democrats Abroad,1469
296826220595,SAZKA,These ads ran without a disclaimer,1467
251656685576,KDU-ČSL,These ads ran without a disclaimer,1460
346094695922955,Severočeši - Rumburk,Šárka Růžičková,1456
43855944703,Svobodní,Vondracek Libor,1452
121859381198702,Panasonic CZ / SK,These ads ran without a disclaimer,1451
496499714051187,Čína bez cenzury,Velčovský,1450
202003355940,Ekoškola,vzdělávací centrum Tereza z.ú.,1440
110477577043297,Hlas proti násilí,"Česká ženská lobby, z.s.",1439
432692927273545,Minidotaznik.cz,These ads ran without a disclaimer,1429
1712946595601632,Tomáš Hovorka,Tomáš Hovorka,1418
348317211885508,ING Česká republika,ING Česká republika,1418
1758963624352554,Jitka Volfová,ANO,1416
106785184177769,Mikuláš Minář,"PRO ČR, z. s.",1406
90002267161,TOP 09,These ads ran without a disclaimer,1397
60516116431,Člověk v tísni,These ads ran without a disclaimer,1395
581395601924343,Jan Čižinský,"3000 statečných, z.s.",1390
560110467429487,SAPELI dveře a zárubně,These ads ran without a disclaimer,1388
1823070624574265,Dobrý prezident,"Dobryprezident.cz, a.s.",1382
219333261570307,Dita Charanzová,ANO,1381
101535311316753,Megabrands,These ads ran without a disclaimer,1376
1440036052912404,Swimsuit.cz,Swimsuit.cz,1370
551976351670874,Zdeněk Hraba - senátor,Zdeněk Hraba - senátor,1367
