Page ID,Page Name,Disclaimer,Amount Spent (CZK)
1956144064659620,BlueTV,Občanská demokratická aliance,603
2211296132463085,Václav Fischer,These ads ran without a disclaimer,602
138596511403726,Evropa Neasi,Dark Side,601
101762771471952,Alerta s.r.o,Jakub Kunc,601
496346277123749,Piráti Ústecký kraj,Česká pirátská strana,601
511497365600515,Markéta Pekarová Adamová,TOP 09,594
1532749866981060,AynRand.cz,Luboš Zálom,592
636362799772077,Jan Železný - komentáře,ŽELEZNY JAN,591
2291917947743883,Splácej míň,Petr Dvořák,589
102089491196642,Nová energie Česka,Svaz moderní energetiky,587
170261140345723,Míša Tejmlová,Tejmlová Michaela,586
1588021691227567,Rovná odměna,MPSV,583
103028484714206,Kladenský měsíc,Kladensky mesic,582
103068351300691,Eduard Stehlík,Eduard Stehlík,577
104849318325905,Helena Langšádlová,TOP 09,576
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,576
102636664700472,Praha čistá a průjezdná,Svencom,574
116938576359818,Dalibor Uhlíř - Trikolóra,Dalibor Uhlíř,574
106876020726573,Martin Buršík - 1. místostarosta města Příbram,Martin Buršík,571
280544805883687,Vítězslav Pojezný SPD,Vítězslav Pojezný,570
126618627368438,Vojtěch Munzar,These ads ran without a disclaimer,566
106971900737894,The United Arab Emirates Nation Brand,These ads ran without a disclaimer,563
396101327619272,Alena Kolytyak,These ads ran without a disclaimer,563
188208418354402,Mladí starostové a nezávislí - Praha,These ads ran without a disclaimer,558
106149624597497,Manifest.cz,These ads ran without a disclaimer,557
49599996524,The Tap Tap,Šimon Ornest,556
105822804344879,Martin Klika,Martin Klika,556
171936526824,EKONOM.cz,EKONOM.cz,554
192826397742115,Události Luďka Staňka,These ads ran without a disclaimer,550
120569314674231,Microsoft CZ,These ads ran without a disclaimer,550
334720110067940,"Jaromír Štětina, člen EPP frakce Evropského parlamentu",These ads ran without a disclaimer,550
259225414266213,Tomáš Vandas,Tomáš Vandas,545
108149870772569,Probuďme Vysočinu,Občanská demokratická strana,543
315747282263515,"Jakub Stárek, místostarosta Šestky",ODS - Občanská demokratická strana,537
396502387141833,Michael „Silničář” Pánek,These ads ran without a disclaimer,535
2092588267635432,Cena Gratias Tibi,"Člověk v tísni, o.p.s.",533
110766473981716,Bruselská dáma,Klimatická koalice,530
482307365455517,Svět Chytře,These ads ran without a disclaimer,529
571338743346747,Respo Life,Tomáš Beneš,528
344542362982337,Heroine.cz,Heroine.cz,522
105460144379732,USR Diaspora - Cehia,These ads ran without a disclaimer,521
1956144064659620,BlueTV,SPGroup a.s.,516
435237393688140,"Vlastibor Čermák, kandidát SPD do EP 2019",Cermak Vlastibor,513
101393348465255,"Ing. Jiří Klíma, daňový poradce",Jiří Klíma,512
201008373872939,Zdenka Němečková Crkvenjaš,ODS,510
104554722938483,NKC - gender a věda,Kris Veitová,509
517999545027893,IKDP,Institut pro křesťansko-demokratickou politiku,504
101524701601093,Lucie Groene Odkolek,Lucie Groene Odkolek,503
282033615295005,Mladí lidovci Vysočina,Palan Jan,501
146713862010620,Martin Baxa,Martin Baxa,501
236657616931386,BLITZ UNION,These ads ran without a disclaimer,500
294820110903841,"Sanchin Dojo Benešov - Karate, Jiu-jitsu, Sebeobrana",These ads ran without a disclaimer,500
1539076396126259,Piráti - Kladno,Česká pirátská strana,500
977639539069229,Jana Maláčová,These ads ran without a disclaimer,500
277387695971927,Magazín ProRock,Michael Pánek,500
1993685137318931,ODS Jesenice,These ads ran without a disclaimer,498
39371299263,Zelení - Strana zelených,Berg Michal,496
133658853732637,Iniciativa 202020,These ads ran without a disclaimer,491
128758673882866,Václav Láska - Právo s Láskou,Senátor 21,491
290802627794622,SČP,These ads ran without a disclaimer,486
109921100493390,Spencer,These ads ran without a disclaimer,483
1116911338477386,Pro euro,Pro Euro,479
599435753834732,Tvůj kandidát,Konečný Daniel,477
516658892133415,Heroic - Magic Duel,These ads ran without a disclaimer,476
541077242579260,TOPAZ,Polkova Marketa,472
545254525495201,Pravý břeh - Institut Petra Fialy,"Pravý břeh, z.s.",456
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,455
232764210187279,Otevři oči (official),Otevři oči (official),452
320144481956623,HLAS,Hlas,448
1451376028412024,Pavel Svoboda,These ads ran without a disclaimer,445
244149929621521,Soft-sweet Chocolate,These ads ran without a disclaimer,445
112224893891986,Petr Kalina - kandidát do Senátu ČR,Petr Kalina - kandidát do Senátu,444
1033702273421005,Programy do voleb,Štěpán Ryšavý - Programy do voleb,443
1615668685326149,ODS Brandýs nad Labem - Stará Boleslav,These ads ran without a disclaimer,442
