Page ID,Page Name,Disclaimer,Amount Spent (CZK)
497198057045195,Monika Le Fay,Monika Le Fay,2652
206407509818,Blesk.cz,Czech News Center a.s.,2638
609246842426009,Rekonstrukce státu,Rekonstrukce státu,2545
197010357446014,"Ondřej Prokop, místostarosta Prahy 11",Ondrej Prokop,2541
466459903794526,MUDr. Ivan David,European Parliament,2529
150003828819986,Dedoles,These ads ran without a disclaimer,2514
106108747651248,SNK1 - Starostové našeho kraje,Markéta Sinkulová Moravcová,2494
117823623864,Transparency International ČR,Transparency International ČR,2474
513927259349822,Nadace Tipsport,Nadace TIPSPORT,2453
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,2417
1917661888252695,Tomáš Goláň - senátor,Tomáš Goláň - senátor,2392
394570898000897,Kniha Revoluce - Jakub Trpiš,These ads ran without a disclaimer,2373
764700610326484,ODA,These ads ran without a disclaimer,2371
111041662264882,ČSSD,ČESKÁ PRODUKČNÍ Social Media s.r.o.,2336
876081855773308,Pošta Zdarma,These ads ran without a disclaimer,2325
146991996743,Gambrinus,These ads ran without a disclaimer,2174
43855944703,Svobodní,Svobodní,2100
263441620339662,Nestlé,Nestlé Česko s.r.o.,2062
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,2056
141366725876424,European Greens,European Greens,2016
394054867410128,4Life Direct Česká Republika,These ads ran without a disclaimer,1963
177168055984056,Reportáže z průmyslu,Lucie Rottenborn,1947
179497582061065,Tomio Okamura - SPD,These ads ran without a disclaimer,1860
39371299263,Zelení - Strana zelených,Zelení - Strana zelených,1833
109971530524897,Týdeník Hrot,Týdeník Hrot,1829
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,1789
872454636138704,OBRAZ - Obránci zvířat,OBRAZ - Obránci zvířat,1760
1757913860945739,ORLEN Unipetrol,Unipetrol,1754
110766473981716,Bruselská dáma,Klimatická koalice,1743
111041662264882,ČSSD,These ads ran without a disclaimer,1741
108726857444837,České zájmy v EU,České zájmy v EU,1735
977639539069229,Jana Maláčová,Jana Maláčová,1695
162310277268109,"Ing. Jaromír Kohlíček, CSc.",Kohlicek Jaromir,1687
55408246161,Amnesty International ČR,Amnesty International ČR,1683
189097755083174,Miroslav Balatka - senátor,Starostové a nezávislí • STAN,1652
107733504431288,CEVRO ARENA,Jiří Cieslar,1631
2675743919122449,Nakupino.cz,These ads ran without a disclaimer,1630
106149624597497,Manifest.cz,David Tesař,1602
106262813454793,Místní hnutí nezávislých za harmonický rozvoj obcí a měst - klub Ostrov,Místní hnutí nezávislých za harmonický rozvoj obcí a měst,1584
636362799772077,Jan Železný - komentáře,ŽELEZNY JAN,1583
764700610326484,ODA,Občanská demokratická aliance,1538
1828572300805912,Rosatom Global,These ads ran without a disclaimer,1516
350495845030493,Fairtrade Česko a Slovensko,Fairtrade Česko a Slovensko,1490
102433907827641,Bamboo Europe CZ,BAMBOO EUROPE CZ,1433
1451376028412024,Pavel Svoboda,Křesťanská a demokratická unie - Československá strana lidová,1397
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj,1391
18349420804,Heureka.cz,These ads ran without a disclaimer,1382
470593056405865,Kde fondy EU pomáhají,These ads ran without a disclaimer,1374
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu,1371
2244726532215982,Senátorský klub - Starostové a nezávislí,Senátorský klub Starostové a nezávislí,1370
166647353891,DOBROTY S PŘÍBĚHEM,These ads ran without a disclaimer,1357
55408246161,Amnesty International ČR,These ads ran without a disclaimer,1326
108955600806152,Jakub Unucka - Občan a politik ODS,ODS,1326
400970967000022,Jan Zahradil,Jan Zahradil,1324
107592537758782,Karel Mika - pro kraj klika,These ads ran without a disclaimer,1323
113437470509035,Za normální svět,Karel Halačka,1309
103267461446612,Tomáš Pánek - Zdraví Sport Prosperita,Tomáš Pánek,1306
1866971343363946,Contraband.zone - Originální dárky,These ads ran without a disclaimer,1254
189097755083174,Miroslav Balatka - senátor,Petr Nutil,1251
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,1245
578342809023884,Jsme fér,Prague Pride,1215
370583064327,Starostové a nezávislí • STAN,Starostové (STAN) s regionálními partnery a TOP 09,1206
248770028560533,Integrační centrum Praha / Integration centre Prague,Integrační centrum Praha / Integration centre Prague,1202
1103062369784733,KOP KD sro,These ads ran without a disclaimer,1178
400970967000022,Jan Zahradil,ODS - Občanská demokratická strana,1154
1569827246387763,Energie pro život,These ads ran without a disclaimer,1138
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,1133
810056782516469,Patrik Nacher,Patrik Nacher,1128
356451014434612,Marian Jurečka,Lambert Vojtech,1104
113755299053,MUDr. Gabriela Pecková - TOP 09,Vondryska Jan,1101
2256794514563672,Češi v právu,These ads ran without a disclaimer,1097
137301989386,Aktuálně.cz,Aktuálně.cz,1082
621753957847521,Erich Kříž,Kriz Erich,1082
321165708610626,Andrej Bóna,Vokoun Tomas,1072
100411331619612,Čínský virus bez cenzury: Info a tipy,Jiří Chlebníček,1059
257529307701966,Jiří Pospíšil,TOP 09,1055
